EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NY-ALESUND, NORWAY (STAID: 5140)
Blended and updated with sources:34778 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5140, 34778,19731230,-9999,    9
  5140, 34778,19731231,-9999,    9
  5140, 34778,19740101,-9999,    9
  5140, 34778,19740102,-9999,    9
  5140, 34778,19740103,-9999,    9
  5140, 34778,19740104,-9999,    9
  5140, 34778,19740105,-9999,    9
  5140, 34778,19740106,-9999,    9
  5140, 34778,19740107,-9999,    9
  5140, 34778,19740108,-9999,    9
  5140, 34778,19740109,-9999,    9
  5140, 34778,19740110,-9999,    9
  5140, 34778,19740111,-9999,    9
  5140, 34778,19740112,-9999,    9
  5140, 34778,19740113,-9999,    9
  5140, 34778,19740114,-9999,    9
  5140, 34778,19740115,-9999,    9
  5140, 34778,19740116,-9999,    9
  5140, 34778,19740117,-9999,    9
  5140, 34778,19740118,-9999,    9
  5140, 34778,19740119,-9999,    9
  5140, 34778,19740120,-9999,    9
  5140, 34778,19740121,-9999,    9
  5140, 34778,19740122,-9999,    9
  5140, 34778,19740123,-9999,    9
  5140, 34778,19740124,-9999,    9
  5140, 34778,19740125,-9999,    9
  5140, 34778,19740126,-9999,    9
  5140, 34778,19740127,-9999,    9
  5140, 34778,19740128,-9999,    9
  5140, 34778,19740129,-9999,    9
  5140, 34778,19740130,-9999,    9
  5140, 34778,19740131,-9999,    9
  5140, 34778,19740201,-9999,    9
  5140, 34778,19740202,-9999,    9
  5140, 34778,19740203,-9999,    9
  5140, 34778,19740204,-9999,    9
  5140, 34778,19740205,-9999,    9
  5140, 34778,19740206,-9999,    9
  5140, 34778,19740207,-9999,    9
  5140, 34778,19740208,-9999,    9
  5140, 34778,19740209,-9999,    9
  5140, 34778,19740210,-9999,    9
  5140, 34778,19740211,-9999,    9
  5140, 34778,19740212,-9999,    9
  5140, 34778,19740213,-9999,    9
  5140, 34778,19740214,-9999,    9
  5140, 34778,19740215,-9999,    9
  5140, 34778,19740216,-9999,    9
  5140, 34778,19740217,-9999,    9
  5140, 34778,19740218,-9999,    9
  5140, 34778,19740219,-9999,    9
  5140, 34778,19740220,-9999,    9
  5140, 34778,19740221,-9999,    9
  5140, 34778,19740222,-9999,    9
  5140, 34778,19740223,-9999,    9
  5140, 34778,19740224,-9999,    9
  5140, 34778,19740225,-9999,    9
  5140, 34778,19740226,-9999,    9
  5140, 34778,19740227,-9999,    9
  5140, 34778,19740228,-9999,    9
  5140, 34778,19740301,-9999,    9
  5140, 34778,19740302,-9999,    9
  5140, 34778,19740303,-9999,    9
  5140, 34778,19740304,-9999,    9
  5140, 34778,19740305,-9999,    9
  5140, 34778,19740306,-9999,    9
  5140, 34778,19740307,-9999,    9
  5140, 34778,19740308,-9999,    9
  5140, 34778,19740309,-9999,    9
  5140, 34778,19740310,-9999,    9
  5140, 34778,19740311,-9999,    9
  5140, 34778,19740312,-9999,    9
  5140, 34778,19740313,-9999,    9
  5140, 34778,19740314,-9999,    9
  5140, 34778,19740315,-9999,    9
  5140, 34778,19740316,-9999,    9
  5140, 34778,19740317,-9999,    9
  5140, 34778,19740318,-9999,    9
  5140, 34778,19740319,-9999,    9
  5140, 34778,19740320,-9999,    9
  5140, 34778,19740321,-9999,    9
  5140, 34778,19740322,-9999,    9
  5140, 34778,19740323,-9999,    9
  5140, 34778,19740324,-9999,    9
  5140, 34778,19740325,-9999,    9
  5140, 34778,19740326,-9999,    9
  5140, 34778,19740327,-9999,    9
  5140, 34778,19740328,-9999,    9
  5140, 34778,19740329,-9999,    9
  5140, 34778,19740330,-9999,    9
  5140, 34778,19740331,-9999,    9
  5140, 34778,19740401,-9999,    9
  5140, 34778,19740402,-9999,    9
  5140, 34778,19740403,-9999,    9
  5140, 34778,19740404,-9999,    9
  5140, 34778,19740405,-9999,    9
  5140, 34778,19740406,-9999,    9
  5140, 34778,19740407,-9999,    9
  5140, 34778,19740408,-9999,    9
  5140, 34778,19740409,-9999,    9
  5140, 34778,19740410,-9999,    9
  5140, 34778,19740411,-9999,    9
  5140, 34778,19740412,-9999,    9
  5140, 34778,19740413,-9999,    9
  5140, 34778,19740414,-9999,    9
  5140, 34778,19740415,-9999,    9
  5140, 34778,19740416,-9999,    9
  5140, 34778,19740417,-9999,    9
  5140, 34778,19740418,-9999,    9
  5140, 34778,19740419,-9999,    9
  5140, 34778,19740420,-9999,    9
  5140, 34778,19740421,-9999,    9
  5140, 34778,19740422,-9999,    9
  5140, 34778,19740423,-9999,    9
  5140, 34778,19740424,-9999,    9
  5140, 34778,19740425,-9999,    9
  5140, 34778,19740426,-9999,    9
  5140, 34778,19740427,-9999,    9
  5140, 34778,19740428,-9999,    9
  5140, 34778,19740429,-9999,    9
  5140, 34778,19740430,-9999,    9
  5140, 34778,19740501,-9999,    9
  5140, 34778,19740502,-9999,    9
  5140, 34778,19740503,-9999,    9
  5140, 34778,19740504,-9999,    9
  5140, 34778,19740505,-9999,    9
  5140, 34778,19740506,-9999,    9
  5140, 34778,19740507,-9999,    9
  5140, 34778,19740508,-9999,    9
  5140, 34778,19740509,-9999,    9
  5140, 34778,19740510,-9999,    9
  5140, 34778,19740511,-9999,    9
  5140, 34778,19740512,-9999,    9
  5140, 34778,19740513,-9999,    9
  5140, 34778,19740514,-9999,    9
  5140, 34778,19740515,-9999,    9
  5140, 34778,19740516,-9999,    9
  5140, 34778,19740517,-9999,    9
  5140, 34778,19740518,-9999,    9
  5140, 34778,19740519,-9999,    9
  5140, 34778,19740520,-9999,    9
  5140, 34778,19740521,-9999,    9
  5140, 34778,19740522,-9999,    9
  5140, 34778,19740523,-9999,    9
  5140, 34778,19740524,-9999,    9
  5140, 34778,19740525,-9999,    9
  5140, 34778,19740526,-9999,    9
  5140, 34778,19740527,-9999,    9
  5140, 34778,19740528,-9999,    9
  5140, 34778,19740529,-9999,    9
  5140, 34778,19740530,-9999,    9
  5140, 34778,19740531,-9999,    9
  5140, 34778,19740601,-9999,    9
  5140, 34778,19740602,-9999,    9
  5140, 34778,19740603,-9999,    9
  5140, 34778,19740604,-9999,    9
  5140, 34778,19740605,-9999,    9
  5140, 34778,19740606,-9999,    9
  5140, 34778,19740607,-9999,    9
  5140, 34778,19740608,-9999,    9
  5140, 34778,19740609,-9999,    9
  5140, 34778,19740610,-9999,    9
  5140, 34778,19740611,-9999,    9
  5140, 34778,19740612,-9999,    9
  5140, 34778,19740613,-9999,    9
  5140, 34778,19740614,-9999,    9
  5140, 34778,19740615,-9999,    9
  5140, 34778,19740616,-9999,    9
  5140, 34778,19740617,-9999,    9
  5140, 34778,19740618,-9999,    9
  5140, 34778,19740619,-9999,    9
  5140, 34778,19740620,-9999,    9
  5140, 34778,19740621,-9999,    9
  5140, 34778,19740622,-9999,    9
  5140, 34778,19740623,-9999,    9
  5140, 34778,19740624,-9999,    9
  5140, 34778,19740625,-9999,    9
  5140, 34778,19740626,-9999,    9
  5140, 34778,19740627,-9999,    9
  5140, 34778,19740628,-9999,    9
  5140, 34778,19740629,-9999,    9
  5140, 34778,19740630,-9999,    9
  5140, 34778,19740701,-9999,    9
  5140, 34778,19740702,-9999,    9
  5140, 34778,19740703,-9999,    9
  5140, 34778,19740704,-9999,    9
  5140, 34778,19740705,-9999,    9
  5140, 34778,19740706,-9999,    9
  5140, 34778,19740707,-9999,    9
  5140, 34778,19740708,-9999,    9
  5140, 34778,19740709,-9999,    9
  5140, 34778,19740710,-9999,    9
  5140, 34778,19740711,-9999,    9
  5140, 34778,19740712,-9999,    9
  5140, 34778,19740713,-9999,    9
  5140, 34778,19740714,-9999,    9
  5140, 34778,19740715,-9999,    9
  5140, 34778,19740716,-9999,    9
  5140, 34778,19740717,-9999,    9
  5140, 34778,19740718,-9999,    9
  5140, 34778,19740719,-9999,    9
  5140, 34778,19740720,-9999,    9
  5140, 34778,19740721,-9999,    9
  5140, 34778,19740722,-9999,    9
  5140, 34778,19740723,-9999,    9
  5140, 34778,19740724,-9999,    9
  5140, 34778,19740725,-9999,    9
  5140, 34778,19740726,-9999,    9
