EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STAMMHAM-APPERTSHOFEN, GERMANY (STAID: 15321)
Blended and updated with sources:81047 82237 86173 88491 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15321, 82237,19410101,  106,    0
 15321, 82237,19410102,  184,    0
 15321, 82237,19410103,   15,    0
 15321, 82237,19410104,    3,    0
 15321, 81047,19410105,   28,    0
 15321, 81047,19410106,    0,    0
 15321, 81047,19410107,    0,    0
 15321, 82237,19410108,    4,    0
 15321, 81047,19410109,    0,    0
 15321, 81047,19410110,    0,    0
 15321, 81047,19410111,    0,    0
 15321, 81047,19410112,    0,    0
 15321, 81047,19410113,    0,    0
 15321, 81047,19410114,    0,    0
 15321, 81047,19410115,    0,    0
 15321, 82237,19410116,   18,    0
 15321, 82237,19410117,    2,    0
 15321, 82237,19410118,    2,    0
 15321, 82237,19410119,  105,    0
 15321, 81047,19410120,   50,    0
 15321, 81047,19410121,    0,    0
 15321, 82237,19410122,   89,    0
 15321, 82237,19410123,   34,    0
 15321, 82237,19410124,   40,    0
 15321, 82237,19410125,  150,    0
 15321, 81047,19410126,   51,    0
 15321, 81047,19410127,    0,    0
 15321, 81047,19410128,    0,    0
 15321, 81047,19410129,    0,    0
 15321, 81047,19410130,    0,    0
 15321, 81047,19410131,    0,    0
 15321, 82237,19410201,   33,    0
 15321, 81047,19410202,    0,    0
 15321, 81047,19410203,    0,    0
 15321, 82237,19410204,   53,    0
 15321, 82237,19410205,    1,    0
 15321, 82237,19410206,    1,    0
 15321, 82237,19410207,   16,    0
 15321, 82237,19410208,   38,    0
 15321, 81047,19410209,    0,    0
 15321, 81047,19410210,    0,    0
 15321, 81047,19410211,    0,    0
 15321, 82237,19410212,    3,    0
 15321, 81047,19410213,   45,    0
 15321, 81047,19410214,    0,    0
 15321, 81047,19410215,    0,    0
 15321, 81047,19410216,    0,    0
 15321, 81047,19410217,    0,    0
 15321, 81047,19410218,    0,    0
 15321, 82237,19410219,   12,    0
 15321, 82237,19410220,    2,    0
 15321, 82237,19410221,    7,    0
 15321, 82237,19410222,    7,    0
 15321, 82237,19410223,   62,    0
 15321, 81047,19410224,   79,    0
 15321, 81047,19410225,    6,    0
 15321, 82237,19410226,    5,    0
 15321, 82237,19410227,   40,    0
 15321, 82237,19410228,   66,    0
 15321, 81047,19410301,   25,    0
 15321, 81047,19410302,    0,    0
 15321, 81047,19410303,    0,    0
 15321, 81047,19410304,   50,    0
 15321, 81047,19410305,    0,    0
 15321, 81047,19410306,    0,    0
 15321, 81047,19410307,    0,    0
 15321, 81047,19410308,    0,    0
 15321, 81047,19410309,    0,    0
 15321, 81047,19410310,    0,    0
 15321, 81047,19410311,    9,    0
 15321, 81047,19410312,    0,    0
 15321, 81047,19410313,    0,    0
 15321, 81047,19410314,    0,    0
 15321, 81047,19410315,    0,    0
 15321, 81047,19410316,    0,    0
 15321, 81047,19410317,    0,    0
 15321, 81047,19410318,    0,    0
 15321, 81047,19410319,    0,    0
 15321, 81047,19410320,    0,    0
 15321, 82237,19410321,   12,    0
 15321, 82237,19410322,  175,    0
 15321, 81047,19410323,  144,    0
 15321, 81047,19410324,    0,    0
 15321, 82237,19410325,   32,    0
 15321, 82237,19410326,   18,    0
 15321, 82237,19410327,    3,    0
 15321, 82237,19410328,   14,    0
 15321, 82237,19410329,   21,    0
 15321, 82237,19410330,    1,    0
 15321, 81047,19410331,   50,    0
 15321, 81047,19410401,    0,    0
 15321, 81047,19410402,    8,    0
