EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OLEN'YA RECHKA, RUSSIAN FEDERATION (STAID: 8293)
Blended and updated with sources:50625 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  8293, 50625,19260101,-9999,    9
  8293, 50625,19260102,-9999,    9
  8293, 50625,19260103,-9999,    9
  8293, 50625,19260104,-9999,    9
  8293, 50625,19260105,-9999,    9
  8293, 50625,19260106,-9999,    9
  8293, 50625,19260107,-9999,    9
  8293, 50625,19260108,-9999,    9
  8293, 50625,19260109,-9999,    9
  8293, 50625,19260110,-9999,    9
  8293, 50625,19260111,-9999,    9
  8293, 50625,19260112,-9999,    9
  8293, 50625,19260113,-9999,    9
  8293, 50625,19260114,-9999,    9
  8293, 50625,19260115,-9999,    9
  8293, 50625,19260116,-9999,    9
  8293, 50625,19260117,-9999,    9
  8293, 50625,19260118,-9999,    9
  8293, 50625,19260119,-9999,    9
  8293, 50625,19260120,-9999,    9
  8293, 50625,19260121,-9999,    9
  8293, 50625,19260122,-9999,    9
  8293, 50625,19260123,-9999,    9
  8293, 50625,19260124,-9999,    9
  8293, 50625,19260125,-9999,    9
  8293, 50625,19260126,-9999,    9
  8293, 50625,19260127,-9999,    9
  8293, 50625,19260128,-9999,    9
  8293, 50625,19260129,-9999,    9
  8293, 50625,19260130,-9999,    9
  8293, 50625,19260131,-9999,    9
  8293, 50625,19260201,-9999,    9
  8293, 50625,19260202,-9999,    9
  8293, 50625,19260203,-9999,    9
  8293, 50625,19260204,-9999,    9
  8293, 50625,19260205,-9999,    9
  8293, 50625,19260206,-9999,    9
  8293, 50625,19260207,-9999,    9
  8293, 50625,19260208,-9999,    9
  8293, 50625,19260209,-9999,    9
  8293, 50625,19260210,-9999,    9
  8293, 50625,19260211,-9999,    9
  8293, 50625,19260212,-9999,    9
  8293, 50625,19260213,-9999,    9
  8293, 50625,19260214,-9999,    9
  8293, 50625,19260215,-9999,    9
  8293, 50625,19260216,-9999,    9
  8293, 50625,19260217,-9999,    9
  8293, 50625,19260218,-9999,    9
  8293, 50625,19260219,-9999,    9
  8293, 50625,19260220,-9999,    9
  8293, 50625,19260221,-9999,    9
  8293, 50625,19260222,-9999,    9
  8293, 50625,19260223,-9999,    9
  8293, 50625,19260224,-9999,    9
  8293, 50625,19260225,-9999,    9
  8293, 50625,19260226,-9999,    9
  8293, 50625,19260227,-9999,    9
  8293, 50625,19260228,-9999,    9
  8293, 50625,19260301,-9999,    9
  8293, 50625,19260302,-9999,    9
  8293, 50625,19260303,-9999,    9
  8293, 50625,19260304,-9999,    9
  8293, 50625,19260305,-9999,    9
  8293, 50625,19260306,-9999,    9
  8293, 50625,19260307,-9999,    9
  8293, 50625,19260308,-9999,    9
  8293, 50625,19260309,-9999,    9
  8293, 50625,19260310,-9999,    9
  8293, 50625,19260311,-9999,    9
  8293, 50625,19260312,-9999,    9
  8293, 50625,19260313,-9999,    9
  8293, 50625,19260314,-9999,    9
  8293, 50625,19260315,-9999,    9
  8293, 50625,19260316,-9999,    9
  8293, 50625,19260317,-9999,    9
  8293, 50625,19260318,-9999,    9
  8293, 50625,19260319,-9999,    9
  8293, 50625,19260320,-9999,    9
  8293, 50625,19260321,-9999,    9
  8293, 50625,19260322,-9999,    9
  8293, 50625,19260323,-9999,    9
  8293, 50625,19260324,-9999,    9
  8293, 50625,19260325,-9999,    9
  8293, 50625,19260326,-9999,    9
  8293, 50625,19260327,-9999,    9
  8293, 50625,19260328,-9999,    9
  8293, 50625,19260329,-9999,    9
  8293, 50625,19260330,-9999,    9
  8293, 50625,19260331,-9999,    9
  8293, 50625,19260401,-9999,    9
  8293, 50625,19260402,-9999,    9
  8293, 50625,19260403,-9999,    9
  8293, 50625,19260404,-9999,    9
  8293, 50625,19260405,-9999,    9
  8293, 50625,19260406,-9999,    9
  8293, 50625,19260407,-9999,    9
  8293, 50625,19260408,-9999,    9
  8293, 50625,19260409,-9999,    9
  8293, 50625,19260410,-9999,    9
  8293, 50625,19260411,-9999,    9
  8293, 50625,19260412,-9999,    9
  8293, 50625,19260413,-9999,    9
  8293, 50625,19260414,-9999,    9
  8293, 50625,19260415,-9999,    9
  8293, 50625,19260416,-9999,    9
  8293, 50625,19260417,-9999,    9
  8293, 50625,19260418,-9999,    9
  8293, 50625,19260419,-9999,    9
  8293, 50625,19260420,-9999,    9
  8293, 50625,19260421,-9999,    9
  8293, 50625,19260422,-9999,    9
  8293, 50625,19260423,-9999,    9
  8293, 50625,19260424,-9999,    9
  8293, 50625,19260425,-9999,    9
  8293, 50625,19260426,-9999,    9
  8293, 50625,19260427,-9999,    9
  8293, 50625,19260428,-9999,    9
  8293, 50625,19260429,-9999,    9
  8293, 50625,19260430,-9999,    9
  8293, 50625,19260501,-9999,    9
  8293, 50625,19260502,-9999,    9
  8293, 50625,19260503,-9999,    9
  8293, 50625,19260504,-9999,    9
  8293, 50625,19260505,-9999,    9
  8293, 50625,19260506,-9999,    9
  8293, 50625,19260507,-9999,    9
  8293, 50625,19260508,-9999,    9
  8293, 50625,19260509,-9999,    9
  8293, 50625,19260510,-9999,    9
  8293, 50625,19260511,-9999,    9
  8293, 50625,19260512,-9999,    9
  8293, 50625,19260513,-9999,    9
  8293, 50625,19260514,-9999,    9
  8293, 50625,19260515,-9999,    9
  8293, 50625,19260516,-9999,    9
  8293, 50625,19260517,-9999,    9
  8293, 50625,19260518,-9999,    9
  8293, 50625,19260519,-9999,    9
  8293, 50625,19260520,-9999,    9
  8293, 50625,19260521,-9999,    9
  8293, 50625,19260522,-9999,    9
  8293, 50625,19260523,-9999,    9
  8293, 50625,19260524,-9999,    9
  8293, 50625,19260525,-9999,    9
  8293, 50625,19260526,-9999,    9
  8293, 50625,19260527,-9999,    9
  8293, 50625,19260528,-9999,    9
  8293, 50625,19260529,-9999,    9
  8293, 50625,19260530,-9999,    9
  8293, 50625,19260531,-9999,    9
  8293, 50625,19260601,-9999,    9
  8293, 50625,19260602,-9999,    9
  8293, 50625,19260603,-9999,    9
