EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAPPELN, GERMANY (STAID: 13603)
Blended and updated with sources:23118 30906 85055 85057 86883 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13603, 86883,19310101,   14,    0
 13603, 86883,19310102,   17,    0
 13603, 86883,19310103,   36,    0
 13603, 86883,19310104,    0,    0
 13603, 86883,19310105,    0,    0
 13603, 86883,19310106,    0,    0
 13603, 86883,19310107,    0,    0
 13603, 86883,19310108,    0,    0
 13603, 86883,19310109,    0,    0
 13603, 86883,19310110,   28,    0
 13603, 86883,19310111,  136,    0
 13603, 86883,19310112,  138,    0
 13603, 86883,19310113,    0,    0
 13603, 86883,19310114,    0,    0
 13603, 86883,19310115,   83,    0
 13603, 86883,19310116,  121,    0
 13603, 86883,19310117,   19,    0
 13603, 86883,19310118,    3,    0
 13603, 86883,19310119,    0,    0
 13603, 86883,19310120,    1,    0
 13603, 86883,19310121,    0,    0
 13603, 86883,19310122,    7,    0
 13603, 86883,19310123,   85,    0
 13603, 86883,19310124,   36,    0
 13603, 86883,19310125,   54,    0
 13603, 86883,19310126,    1,    0
 13603, 86883,19310127,    7,    0
 13603, 86883,19310128,   22,    0
 13603, 86883,19310129,   15,    0
 13603, 86883,19310130,    0,    0
 13603, 86883,19310131,    0,    0
 13603, 86883,19310201,    0,    0
 13603, 86883,19310202,    1,    0
 13603, 86883,19310203,   31,    0
 13603, 86883,19310204,   35,    0
 13603, 86883,19310205,   30,    0
 13603, 86883,19310206,    3,    0
 13603, 86883,19310207,    0,    0
 13603, 86883,19310208,    0,    0
 13603, 86883,19310209,   19,    0
 13603, 86883,19310210,   71,    0
 13603, 86883,19310211,   27,    0
 13603, 86883,19310212,   56,    0
 13603, 86883,19310213,    0,    0
 13603, 86883,19310214,    0,    0
 13603, 86883,19310215,    9,    0
 13603, 86883,19310216,    0,    0
 13603, 86883,19310217,   10,    0
 13603, 86883,19310218,    0,    0
 13603, 86883,19310219,    0,    0
 13603, 86883,19310220,    0,    0
 13603, 86883,19310221,   91,    0
 13603, 86883,19310222,    0,    0
 13603, 86883,19310223,    0,    0
 13603, 86883,19310224,   11,    0
 13603, 86883,19310225,   55,    0
 13603, 86883,19310226,   59,    0
 13603, 86883,19310227,    0,    0
 13603, 86883,19310228,    0,    0
 13603, 86883,19310301,   20,    0
 13603, 86883,19310302,   45,    0
 13603, 86883,19310303,   15,    0
 13603, 86883,19310304,    0,    0
 13603, 86883,19310305,    0,    0
 13603, 86883,19310306,    0,    0
 13603, 86883,19310307,    0,    0
 13603, 86883,19310308,    3,    0
 13603, 86883,19310309,    2,    0
 13603, 86883,19310310,    0,    0
 13603, 86883,19310311,    0,    0
 13603, 86883,19310312,   28,    0
 13603, 86883,19310313,    0,    0
 13603, 86883,19310314,    0,    0
 13603, 86883,19310315,    0,    0
 13603, 86883,19310316,    0,    0
 13603, 86883,19310317,    0,    0
 13603, 86883,19310318,    0,    0
 13603, 86883,19310319,    0,    0
 13603, 86883,19310320,    0,    0
 13603, 86883,19310321,    0,    0
 13603, 86883,19310322,    0,    0
 13603, 86883,19310323,    0,    0
 13603, 86883,19310324,    0,    0
 13603, 86883,19310325,    0,    0
 13603, 86883,19310326,    0,    0
 13603, 86883,19310327,    0,    0
 13603, 86883,19310328,    0,    0
 13603, 86883,19310329,    0,    0
 13603, 86883,19310330,    0,    0
 13603, 86883,19310331,    0,    0
 13603, 86883,19310401,    0,    0
 13603, 86883,19310402,    0,    0
 13603, 86883,19310403,    0,    0
 13603, 86883,19310404,   20,    0
 13603, 86883,19310405,   50,    0
 13603, 86883,19310406,    0,    0
 13603, 86883,19310407,    0,    0
 13603, 86883,19310408,    0,    0
 13603, 86883,19310409,   69,    0
 13603, 86883,19310410,    0,    0
 13603, 86883,19310411,   57,    0
 13603, 86883,19310412,   24,    0
 13603, 86883,19310413,    9,    0
 13603, 86883,19310414,    0,    0
 13603, 86883,19310415,    0,    0
 13603, 86883,19310416,   30,    0
 13603, 86883,19310417,   42,    0
 13603, 86883,19310418,   70,    0
 13603, 86883,19310419,   12,    0
 13603, 86883,19310420,    0,    0
 13603, 86883,19310421,    0,    0
 13603, 86883,19310422,    0,    0
 13603, 86883,19310423,    0,    0
 13603, 86883,19310424,   27,    0
 13603, 86883,19310425,   22,    0
 13603, 86883,19310426,    0,    0
 13603, 86883,19310427,   39,    0
 13603, 86883,19310428,   12,    0
 13603, 86883,19310429,   13,    0
 13603, 86883,19310430,    0,    0
 13603, 86883,19310501,    0,    0
 13603, 86883,19310502,    0,    0
 13603, 86883,19310503,    0,    0
 13603, 86883,19310504,    0,    0
 13603, 86883,19310505,    0,    0
 13603, 86883,19310506,    0,    0
 13603, 86883,19310507,   79,    0
 13603, 86883,19310508,    0,    0
 13603, 86883,19310509,    0,    0
 13603, 86883,19310510,    0,    0
 13603, 86883,19310511,    0,    0
 13603, 86883,19310512,    0,    0
 13603, 86883,19310513,    0,    0
 13603, 86883,19310514,    0,    0
 13603, 86883,19310515,    0,    0
 13603, 86883,19310516,    0,    0
 13603, 86883,19310517,   71,    0
 13603, 86883,19310518,   52,    0
 13603, 86883,19310519,    0,    0
 13603, 86883,19310520,    0,    0
 13603, 86883,19310521,    0,    0
 13603, 86883,19310522,   41,    0
 13603, 86883,19310523,    0,    0
 13603, 86883,19310524,    0,    0
 13603, 86883,19310525,    0,    0
 13603, 86883,19310526,    0,    0
 13603, 86883,19310527,    0,    0
 13603, 86883,19310528,    0,    0
 13603, 86883,19310529,    0,    0
 13603, 86883,19310530,   33,    0
 13603, 86883,19310531,   18,    0
 13603, 86883,19310601,    0,    0
 13603, 86883,19310602,    0,    0
 13603, 86883,19310603,    0,    0
 13603, 86883,19310604,    0,    0
 13603, 86883,19310605,    0,    0
 13603, 86883,19310606,   28,    0
 13603, 86883,19310607,    0,    0
 13603, 86883,19310608,    5,    0
 13603, 86883,19310609,    0,    0
 13603, 86883,19310610,   88,    0
 13603, 86883,19310611,    0,    0
 13603, 86883,19310612,    0,    0
 13603, 86883,19310613,    0,    0
 13603, 86883,19310614,    0,    0
 13603, 86883,19310615,   12,    0
 13603, 86883,19310616,    0,    0
 13603, 86883,19310617,   17,    0
 13603, 86883,19310618,    0,    0
 13603, 86883,19310619,   32,    0
 13603, 86883,19310620,   44,    0
 13603, 86883,19310621,    0,    0
 13603, 86883,19310622,   14,    0
 13603, 86883,19310623,   23,    0
 13603, 86883,19310624,  169,    0
 13603, 86883,19310625,    0,    0
 13603, 86883,19310626,    0,    0
 13603, 86883,19310627,    0,    0
 13603, 86883,19310628,    0,    0
 13603, 86883,19310629,    0,    0
 13603, 86883,19310630,    0,    0
 13603, 86883,19310701,    0,    0
 13603, 86883,19310702,    0,    0
 13603, 86883,19310703,    0,    0
 13603, 86883,19310704,    0,    0
 13603, 86883,19310705,    0,    0
 13603, 86883,19310706,   54,    0
 13603, 86883,19310707,  266,    0
 13603, 86883,19310708, 1322,    0
 13603, 86883,19310709,  313,    0
 13603, 86883,19310710,    0,    0
 13603, 86883,19310711,    0,    0
 13603, 86883,19310712,    0,    0
 13603, 86883,19310713,    0,    0
 13603, 86883,19310714,   48,    0
 13603, 86883,19310715,  104,    0
 13603, 86883,19310716,  268,    0
 13603, 86883,19310717,   71,    0
 13603, 86883,19310718,  153,    0
 13603, 86883,19310719,    0,    0
 13603, 86883,19310720,    6,    0
 13603, 86883,19310721,    8,    0
 13603, 86883,19310722,   75,    0
 13603, 86883,19310723,    0,    0
 13603, 86883,19310724,    0,    0
 13603, 86883,19310725,   10,    0
 13603, 86883,19310726,    9,    0
 13603, 86883,19310727,   90,    0
 13603, 86883,19310728,   46,    0
 13603, 86883,19310729,   40,    0
 13603, 86883,19310730,   37,    0
 13603, 86883,19310731,    2,    0
 13603, 86883,19310801,    0,    0
 13603, 86883,19310802,    0,    0
 13603, 86883,19310803,    0,    0
 13603, 86883,19310804,    0,    0
 13603, 86883,19310805,    0,    0
 13603, 86883,19310806,   38,    0
 13603, 86883,19310807,    0,    0
 13603, 86883,19310808,  104,    0
 13603, 86883,19310809,    7,    0
 13603, 86883,19310810,   38,    0
 13603, 86883,19310811,   30,    0
 13603, 86883,19310812,   51,    0
 13603, 86883,19310813,   18,    0
 13603, 86883,19310814,   26,    0
 13603, 86883,19310815,   11,    0
 13603, 86883,19310816,   22,    0
 13603, 86883,19310817,  270,    0
 13603, 86883,19310818,  108,    0
 13603, 86883,19310819,   57,    0
 13603, 86883,19310820,   18,    0
 13603, 86883,19310821,   71,    0
 13603, 86883,19310822,   16,    0
 13603, 86883,19310823,   24,    0
 13603, 86883,19310824,    2,    0
 13603, 86883,19310825,    0,    0
 13603, 86883,19310826,    0,    0
 13603, 86883,19310827,    0,    0
 13603, 86883,19310828,    0,    0
 13603, 86883,19310829,    0,    0
 13603, 86883,19310830,    0,    0
 13603, 86883,19310831,    0,    0
 13603, 86883,19310901,    0,    0
 13603, 86883,19310902,    6,    0
 13603, 86883,19310903,   17,    0
 13603, 86883,19310904,  215,    0
 13603, 86883,19310905,  174,    0
 13603, 86883,19310906,   17,    0
 13603, 86883,19310907,   12,    0
 13603, 86883,19310908,   13,    0
 13603, 86883,19310909,   52,    0
 13603, 86883,19310910,    3,    0
 13603, 86883,19310911,   12,    0
 13603, 86883,19310912,   16,    0
 13603, 86883,19310913,   12,    0
 13603, 86883,19310914,    0,    0
 13603, 86883,19310915,    0,    0
 13603, 86883,19310916,    0,    0
 13603, 86883,19310917,    0,    0
 13603, 86883,19310918,    0,    0
 13603, 86883,19310919,    0,    0
 13603, 86883,19310920,   41,    0
 13603, 86883,19310921,   12,    0
 13603, 86883,19310922,    3,    0
 13603, 86883,19310923,    0,    0
 13603, 86883,19310924,    0,    0
 13603, 86883,19310925,    0,    0
 13603, 86883,19310926,    0,    0
 13603, 86883,19310927,   63,    0
 13603, 86883,19310928,    0,    0
 13603, 86883,19310929,    0,    0
 13603, 86883,19310930,    0,    0
 13603, 86883,19311001,    0,    0
 13603, 86883,19311002,    9,    0
 13603, 86883,19311003,    0,    0
