EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEL'KAN, RUSSIAN FEDERATION (STAID: 8404)
Blended and updated with sources:51180 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  8404, 51180,19390101,-9999,    9
  8404, 51180,19390102,-9999,    9
  8404, 51180,19390103,-9999,    9
  8404, 51180,19390104,-9999,    9
  8404, 51180,19390105,-9999,    9
  8404, 51180,19390106,-9999,    9
  8404, 51180,19390107,-9999,    9
  8404, 51180,19390108,-9999,    9
  8404, 51180,19390109,-9999,    9
  8404, 51180,19390110,-9999,    9
  8404, 51180,19390111,-9999,    9
  8404, 51180,19390112,-9999,    9
  8404, 51180,19390113,-9999,    9
  8404, 51180,19390114,-9999,    9
  8404, 51180,19390115,-9999,    9
  8404, 51180,19390116,-9999,    9
  8404, 51180,19390117,-9999,    9
  8404, 51180,19390118,-9999,    9
  8404, 51180,19390119,-9999,    9
  8404, 51180,19390120,-9999,    9
  8404, 51180,19390121,-9999,    9
  8404, 51180,19390122,-9999,    9
  8404, 51180,19390123,-9999,    9
  8404, 51180,19390124,-9999,    9
  8404, 51180,19390125,-9999,    9
  8404, 51180,19390126,-9999,    9
  8404, 51180,19390127,-9999,    9
  8404, 51180,19390128,-9999,    9
  8404, 51180,19390129,-9999,    9
  8404, 51180,19390130,-9999,    9
  8404, 51180,19390131,-9999,    9
  8404, 51180,19390201,-9999,    9
  8404, 51180,19390202,-9999,    9
  8404, 51180,19390203,-9999,    9
  8404, 51180,19390204,-9999,    9
  8404, 51180,19390205,-9999,    9
  8404, 51180,19390206,-9999,    9
  8404, 51180,19390207,-9999,    9
  8404, 51180,19390208,-9999,    9
  8404, 51180,19390209,-9999,    9
  8404, 51180,19390210,-9999,    9
  8404, 51180,19390211,-9999,    9
  8404, 51180,19390212,-9999,    9
  8404, 51180,19390213,-9999,    9
  8404, 51180,19390214,-9999,    9
  8404, 51180,19390215,-9999,    9
  8404, 51180,19390216,-9999,    9
  8404, 51180,19390217,-9999,    9
  8404, 51180,19390218,-9999,    9
  8404, 51180,19390219,-9999,    9
  8404, 51180,19390220,-9999,    9
  8404, 51180,19390221,-9999,    9
  8404, 51180,19390222,-9999,    9
  8404, 51180,19390223,-9999,    9
  8404, 51180,19390224,-9999,    9
  8404, 51180,19390225,-9999,    9
  8404, 51180,19390226,-9999,    9
  8404, 51180,19390227,-9999,    9
  8404, 51180,19390228,-9999,    9
  8404, 51180,19390301,-9999,    9
  8404, 51180,19390302,-9999,    9
  8404, 51180,19390303,-9999,    9
  8404, 51180,19390304,-9999,    9
  8404, 51180,19390305,-9999,    9
  8404, 51180,19390306,-9999,    9
  8404, 51180,19390307,-9999,    9
  8404, 51180,19390308,-9999,    9
  8404, 51180,19390309,-9999,    9
  8404, 51180,19390310,-9999,    9
  8404, 51180,19390311,-9999,    9
  8404, 51180,19390312,-9999,    9
  8404, 51180,19390313,-9999,    9
  8404, 51180,19390314,-9999,    9
  8404, 51180,19390315,-9999,    9
  8404, 51180,19390316,-9999,    9
