EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IKA, RUSSIAN FEDERATION (STAID: 8295)
Blended and updated with sources:50635 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  8295, 50635,19440101,-9999,    9
  8295, 50635,19440102,-9999,    9
  8295, 50635,19440103,-9999,    9
  8295, 50635,19440104,-9999,    9
  8295, 50635,19440105,-9999,    9
  8295, 50635,19440106,-9999,    9
  8295, 50635,19440107,-9999,    9
  8295, 50635,19440108,-9999,    9
  8295, 50635,19440109,-9999,    9
  8295, 50635,19440110,-9999,    9
  8295, 50635,19440111,-9999,    9
  8295, 50635,19440112,-9999,    9
  8295, 50635,19440113,-9999,    9
  8295, 50635,19440114,-9999,    9
  8295, 50635,19440115,-9999,    9
  8295, 50635,19440116,-9999,    9
  8295, 50635,19440117,-9999,    9
  8295, 50635,19440118,-9999,    9
  8295, 50635,19440119,-9999,    9
  8295, 50635,19440120,-9999,    9
  8295, 50635,19440121,-9999,    9
  8295, 50635,19440122,-9999,    9
  8295, 50635,19440123,-9999,    9
  8295, 50635,19440124,-9999,    9
  8295, 50635,19440125,-9999,    9
  8295, 50635,19440126,-9999,    9
  8295, 50635,19440127,-9999,    9
  8295, 50635,19440128,-9999,    9
  8295, 50635,19440129,-9999,    9
  8295, 50635,19440130,-9999,    9
  8295, 50635,19440131,-9999,    9
  8295, 50635,19440201,-9999,    9
  8295, 50635,19440202,-9999,    9
  8295, 50635,19440203,-9999,    9
  8295, 50635,19440204,-9999,    9
  8295, 50635,19440205,-9999,    9
  8295, 50635,19440206,-9999,    9
  8295, 50635,19440207,-9999,    9
  8295, 50635,19440208,-9999,    9
  8295, 50635,19440209,-9999,    9
  8295, 50635,19440210,-9999,    9
  8295, 50635,19440211,-9999,    9
  8295, 50635,19440212,-9999,    9
  8295, 50635,19440213,-9999,    9
  8295, 50635,19440214,-9999,    9
  8295, 50635,19440215,-9999,    9
  8295, 50635,19440216,-9999,    9
  8295, 50635,19440217,-9999,    9
  8295, 50635,19440218,-9999,    9
  8295, 50635,19440219,-9999,    9
  8295, 50635,19440220,-9999,    9
  8295, 50635,19440221,-9999,    9
  8295, 50635,19440222,-9999,    9
  8295, 50635,19440223,-9999,    9
  8295, 50635,19440224,-9999,    9
  8295, 50635,19440225,-9999,    9
  8295, 50635,19440226,-9999,    9
  8295, 50635,19440227,-9999,    9
  8295, 50635,19440228,-9999,    9
  8295, 50635,19440229,-9999,    9
  8295, 50635,19440301,-9999,    9
  8295, 50635,19440302,-9999,    9
  8295, 50635,19440303,-9999,    9
  8295, 50635,19440304,-9999,    9
  8295, 50635,19440305,-9999,    9
  8295, 50635,19440306,-9999,    9
  8295, 50635,19440307,-9999,    9
  8295, 50635,19440308,-9999,    9
  8295, 50635,19440309,-9999,    9
  8295, 50635,19440310,-9999,    9
  8295, 50635,19440311,-9999,    9
  8295, 50635,19440312,-9999,    9
  8295, 50635,19440313,-9999,    9
  8295, 50635,19440314,-9999,    9
  8295, 50635,19440315,-9999,    9
  8295, 50635,19440316,-9999,    9
  8295, 50635,19440317,-9999,    9
  8295, 50635,19440318,-9999,    9
  8295, 50635,19440319,-9999,    9
  8295, 50635,19440320,-9999,    9
  8295, 50635,19440321,-9999,    9
  8295, 50635,19440322,-9999,    9
  8295, 50635,19440323,-9999,    9
  8295, 50635,19440324,-9999,    9
  8295, 50635,19440325,-9999,    9
  8295, 50635,19440326,-9999,    9
  8295, 50635,19440327,-9999,    9
  8295, 50635,19440328,-9999,    9
  8295, 50635,19440329,-9999,    9
  8295, 50635,19440330,-9999,    9
  8295, 50635,19440331,-9999,    9
  8295, 50635,19440401,-9999,    9
  8295, 50635,19440402,-9999,    9
  8295, 50635,19440403,-9999,    9
  8295, 50635,19440404,-9999,    9
  8295, 50635,19440405,-9999,    9
  8295, 50635,19440406,-9999,    9
  8295, 50635,19440407,-9999,    9
  8295, 50635,19440408,-9999,    9
  8295, 50635,19440409,-9999,    9
  8295, 50635,19440410,-9999,    9
  8295, 50635,19440411,-9999,    9
  8295, 50635,19440412,-9999,    9
  8295, 50635,19440413,-9999,    9
  8295, 50635,19440414,-9999,    9
  8295, 50635,19440415,-9999,    9
  8295, 50635,19440416,-9999,    9
  8295, 50635,19440417,-9999,    9
  8295, 50635,19440418,-9999,    9
  8295, 50635,19440419,-9999,    9
  8295, 50635,19440420,-9999,    9
  8295, 50635,19440421,-9999,    9
  8295, 50635,19440422,-9999,    9
  8295, 50635,19440423,-9999,    9
  8295, 50635,19440424,-9999,    9
  8295, 50635,19440425,-9999,    9
  8295, 50635,19440426,-9999,    9
  8295, 50635,19440427,-9999,    9
  8295, 50635,19440428,-9999,    9
  8295, 50635,19440429,-9999,    9
  8295, 50635,19440430,-9999,    9
  8295, 50635,19440501,-9999,    9
  8295, 50635,19440502,-9999,    9
  8295, 50635,19440503,-9999,    9
  8295, 50635,19440504,-9999,    9
  8295, 50635,19440505,-9999,    9
  8295, 50635,19440506,-9999,    9
  8295, 50635,19440507,-9999,    9
  8295, 50635,19440508,-9999,    9
  8295, 50635,19440509,-9999,    9
  8295, 50635,19440510,-9999,    9
  8295, 50635,19440511,-9999,    9
  8295, 50635,19440512,-9999,    9
  8295, 50635,19440513,-9999,    9
  8295, 50635,19440514,-9999,    9
  8295, 50635,19440515,-9999,    9
  8295, 50635,19440516,-9999,    9
  8295, 50635,19440517,-9999,    9
  8295, 50635,19440518,-9999,    9
  8295, 50635,19440519,-9999,    9
  8295, 50635,19440520,-9999,    9
  8295, 50635,19440521,-9999,    9
  8295, 50635,19440522,-9999,    9
  8295, 50635,19440523,-9999,    9
  8295, 50635,19440524,-9999,    9
  8295, 50635,19440525,-9999,    9
  8295, 50635,19440526,-9999,    9
  8295, 50635,19440527,-9999,    9
  8295, 50635,19440528,-9999,    9
