EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OTTA - SKANSEN, NORWAY (STAID: 18035)
Blended and updated with sources:101428 101562 101676 101951 102173 102215 102419 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 18035,101428,19561201,-9999,    9
 18035,101428,19561202,-9999,    9
 18035,101428,19561203,-9999,    9
 18035,101428,19561204,-9999,    9
 18035,101428,19561205,-9999,    9
 18035,101428,19561206,-9999,    9
 18035,101428,19561207,-9999,    9
 18035,101428,19561208,-9999,    9
 18035,101428,19561209,-9999,    9
 18035,101428,19561210,-9999,    9
 18035,101428,19561211,-9999,    9
 18035,101428,19561212,-9999,    9
 18035,101428,19561213,-9999,    9
 18035,101428,19561214,-9999,    9
 18035,101428,19561215,-9999,    9
 18035,101428,19561216,-9999,    9
 18035,101428,19561217,-9999,    9
 18035,101428,19561218,-9999,    9
 18035,101428,19561219,-9999,    9
 18035,101428,19561220,-9999,    9
 18035,101428,19561221,-9999,    9
 18035,101428,19561222,-9999,    9
 18035,101428,19561223,-9999,    9
 18035,101428,19561224,-9999,    9
 18035,101428,19561225,-9999,    9
 18035,101428,19561226,-9999,    9
 18035,101428,19561227,-9999,    9
 18035,101428,19561228,-9999,    9
 18035,101428,19561229,-9999,    9
 18035,101428,19561230,-9999,    9
 18035,101428,19561231,    0,    0
 18035,101428,19570101,    0,    0
 18035,101428,19570102,    0,    0
 18035,101676,19570103,    1,    0
 18035,101428,19570104,   12,    0
 18035,101428,19570105,    0,    0
 18035,101428,19570106,    0,    0
 18035,101676,19570107,    1,    0
 18035,101676,19570108,    1,    0
 18035,101428,19570109,   76,    0
 18035,101428,19570110,   47,    0
 18035,101428,19570111,   31,    0
 18035,101428,19570112,   61,    0
 18035,101428,19570113,    0,    0
 18035,101428,19570114,    3,    0
 18035,101428,19570115,    0,    0
 18035,101428,19570116,    0,    0
 18035,101428,19570117,    0,    0
 18035,101428,19570118,    0,    0
 18035,101428,19570119,    0,    0
 18035,101428,19570120,  118,    0
 18035,101676,19570121,    1,    0
 18035,101428,19570122,    0,    0
 18035,101428,19570123,    0,    0
 18035,101428,19570124,    0,    0
 18035,101428,19570125,    0,    0
 18035,101428,19570126,    3,    0
 18035,101428,19570127,    0,    0
 18035,101951,19570128,    1,    0
 18035,101428,19570129,    0,    0
 18035,101428,19570130,    0,    0
 18035,101676,19570131,   16,    0
 18035,101676,19570201,    1,    0
 18035,101428,19570202,    4,    0
 18035,101428,19570203,    0,    0
 18035,101428,19570204,    0,    0
 18035,101428,19570205,    0,    0
 18035,101428,19570206,    0,    0
 18035,101428,19570207,    0,    0
 18035,101676,19570208,    6,    0
 18035,101428,19570209,    0,    0
