EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EHINGEN/DONAU, GERMANY (STAID: 12594)
Blended and updated with sources:83037 86361 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12594, 83037,19310101,   28,    0
 12594, 83037,19310102,   63,    0
 12594, 83037,19310103,    9,    0
 12594, 83037,19310104,  107,    0
 12594, 83037,19310105,    0,    0
 12594, 83037,19310106,    1,    0
 12594, 83037,19310107,    0,    0
 12594, 83037,19310108,    0,    0
 12594, 83037,19310109,    0,    0
 12594, 83037,19310110,    0,    0
 12594, 83037,19310111,    0,    0
 12594, 83037,19310112,    0,    0
 12594, 83037,19310113,    0,    0
 12594, 83037,19310114,    1,    0
 12594, 83037,19310115,    1,    0
 12594, 83037,19310116,   15,    0
 12594, 83037,19310117,   83,    0
 12594, 83037,19310118,   76,    0
 12594, 83037,19310119,  104,    0
 12594, 83037,19310120,   18,    0
 12594, 83037,19310121,    0,    0
 12594, 83037,19310122,    0,    0
 12594, 83037,19310123,   16,    0
 12594, 83037,19310124,   35,    0
 12594, 83037,19310125,   46,    0
 12594, 83037,19310126,  129,    0
 12594, 83037,19310127,    1,    0
 12594, 83037,19310128,   57,    0
 12594, 83037,19310129,    4,    0
 12594, 83037,19310130,    0,    0
 12594, 83037,19310131,    0,    0
 12594, 83037,19310201,    0,    0
 12594, 83037,19310202,    1,    0
 12594, 83037,19310203,    0,    0
 12594, 83037,19310204,    1,    0
 12594, 83037,19310205,    0,    0
 12594, 83037,19310206,    7,    0
 12594, 83037,19310207,    4,    0
 12594, 83037,19310208,    1,    0
 12594, 83037,19310209,    0,    0
 12594, 83037,19310210,    7,    0
 12594, 83037,19310211,   12,    0
 12594, 83037,19310212,   50,    0
 12594, 83037,19310213,    6,    0
 12594, 83037,19310214,    0,    0
 12594, 83037,19310215,    0,    0
 12594, 83037,19310216,    4,    0
 12594, 83037,19310217,   55,    0
 12594, 83037,19310218,    0,    0
 12594, 83037,19310219,    0,    0
 12594, 83037,19310220,    0,    0
 12594, 83037,19310221,   18,    0
 12594, 83037,19310222,    4,    0
 12594, 83037,19310223,    0,    0
 12594, 83037,19310224,    0,    0
 12594, 83037,19310225,   10,    0
 12594, 83037,19310226,   11,    0
 12594, 83037,19310227,   23,    0
 12594, 83037,19310228,   50,    0
 12594, 83037,19310301,   36,    0
 12594, 83037,19310302,    2,    0
 12594, 83037,19310303,   75,    0
 12594, 83037,19310304,   46,    0
 12594, 83037,19310305,    0,    0
 12594, 83037,19310306,   86,    0
 12594, 83037,19310307,   53,    0
 12594, 83037,19310308,   66,    0
 12594, 83037,19310309,   69,    0
 12594, 83037,19310310,  170,    0
 12594, 83037,19310311,    0,    0
 12594, 83037,19310312,    0,    0
 12594, 83037,19310313,    0,    0
 12594, 83037,19310314,    0,    0
 12594, 83037,19310315,    0,    0
 12594, 83037,19310316,    0,    0
 12594, 83037,19310317,    0,    0
 12594, 83037,19310318,    0,    0
 12594, 83037,19310319,    0,    0
 12594, 83037,19310320,    0,    0
 12594, 83037,19310321,   34,    0
 12594, 83037,19310322,    4,    0
 12594, 83037,19310323,    0,    0
 12594, 83037,19310324,    0,    0
 12594, 83037,19310325,    0,    0
 12594, 83037,19310326,    0,    0
 12594, 83037,19310327,    0,    0
 12594, 83037,19310328,    0,    0
 12594, 83037,19310329,    0,    0
 12594, 83037,19310330,    0,    0
 12594, 83037,19310331,    0,    0
 12594, 83037,19310401,    0,    0
 12594, 83037,19310402,    0,    0
 12594, 83037,19310403,   43,    0
 12594, 83037,19310404,   67,    0
 12594, 83037,19310405,    4,    0
 12594, 83037,19310406,   23,    0
 12594, 83037,19310407,    0,    0
 12594, 83037,19310408,    0,    0
 12594, 83037,19310409,    0,    0
 12594, 83037,19310410,    0,    0
 12594, 83037,19310411,    0,    0
 12594, 83037,19310412,    0,    0
 12594, 83037,19310413,    0,    0
 12594, 83037,19310414,    9,    0
 12594, 83037,19310415,   51,    0
 12594, 83037,19310416,   60,    0
 12594, 83037,19310417,   14,    0
 12594, 83037,19310418,    0,    0
 12594, 83037,19310419,   51,    0
 12594, 83037,19310420,   40,    0
 12594, 83037,19310421,    6,    0
 12594, 83037,19310422,    0,    0
 12594, 83037,19310423,    0,    0
 12594, 83037,19310424,    0,    0
 12594, 83037,19310425,   42,    0
 12594, 83037,19310426,    1,    0
 12594, 83037,19310427,   71,    0
 12594, 83037,19310428,   82,    0
 12594, 83037,19310429,   18,    0
 12594, 83037,19310430,    0,    0
 12594, 83037,19310501,   10,    0
 12594, 83037,19310502,    2,    0
 12594, 83037,19310503,    3,    0
 12594, 83037,19310504,   51,    0
 12594, 83037,19310505,    1,    0
 12594, 83037,19310506,  257,    0
 12594, 83037,19310507,  465,    0
 12594, 83037,19310508,    0,    0
 12594, 83037,19310509,    3,    0
 12594, 83037,19310510,    1,    0
 12594, 83037,19310511,    0,    0
 12594, 83037,19310512,    0,    0
 12594, 83037,19310513,    0,    0
 12594, 83037,19310514,  173,    0
 12594, 83037,19310515,    4,    0
 12594, 83037,19310516,    0,    0
 12594, 83037,19310517,   59,    0
 12594, 83037,19310518,   35,    0
 12594, 83037,19310519,    0,    0
 12594, 83037,19310520,  235,    0
 12594, 83037,19310521,   74,    0
 12594, 83037,19310522,   33,    0
 12594, 83037,19310523,    0,    0
 12594, 83037,19310524,    0,    0
 12594, 83037,19310525,    0,    0
 12594, 83037,19310526,    0,    0
 12594, 83037,19310527,    0,    0
 12594, 83037,19310528,    9,    0
 12594, 83037,19310529,    0,    0
 12594, 83037,19310530,    0,    0
 12594, 83037,19310531,   69,    0
 12594, 83037,19310601,   79,    0
 12594, 83037,19310602,    5,    0
 12594, 83037,19310603,    0,    0
 12594, 83037,19310604,    0,    0
