EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONTEACUTO VALLESE, ITALY (STAID: 2847)
Blended and updated with sources:96035 98099 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2847, 96035,20051201,-9999,    9
  2847, 96035,20051202,-9999,    9
  2847, 96035,20051203,-9999,    9
  2847, 96035,20051204,-9999,    9
  2847, 96035,20051205,-9999,    9
  2847, 96035,20051206,-9999,    9
  2847, 96035,20051207,-9999,    9
  2847, 96035,20051208,-9999,    9
  2847, 96035,20051209,-9999,    9
  2847, 96035,20051210,-9999,    9
  2847, 96035,20051211,-9999,    9
  2847, 96035,20051212,-9999,    9
  2847, 96035,20051213,-9999,    9
  2847, 96035,20051214,-9999,    9
  2847, 96035,20051215,-9999,    9
  2847, 96035,20051216,-9999,    9
  2847, 96035,20051217,-9999,    9
  2847, 96035,20051218,-9999,    9
  2847, 96035,20051219,-9999,    9
  2847, 96035,20051220,-9999,    9
  2847, 96035,20051221,-9999,    9
  2847, 96035,20051222,-9999,    9
  2847, 96035,20051223,-9999,    9
  2847, 96035,20051224,-9999,    9
  2847, 96035,20051225,-9999,    9
  2847, 96035,20051226,-9999,    9
  2847, 96035,20051227,-9999,    9
  2847, 96035,20051228,-9999,    9
  2847, 96035,20051229,-9999,    9
  2847, 96035,20051230,-9999,    9
  2847, 96035,20051231,   22,    0
  2847, 98099,20060101,    0,    0
  2847, 98099,20060102,   70,    0
  2847, 98099,20060103,    0,    0
  2847, 98099,20060104,    0,    0
  2847, 98099,20060105,    0,    0
  2847, 98099,20060106,    0,    0
  2847, 98099,20060107,    0,    0
  2847, 98099,20060108,    0,    0
  2847, 98099,20060109,    0,    0
  2847, 98099,20060110,    0,    0
  2847, 98099,20060111,    0,    0
  2847, 98099,20060112,    0,    0
  2847, 98099,20060113,    0,    0
  2847, 98099,20060114,    0,    0
  2847, 98099,20060115,    0,    0
  2847, 98099,20060116,    0,    0
  2847, 96035,20060117,   22,    0
  2847, 98099,20060118,    2,    0
  2847, 98099,20060119,    0,    0
  2847, 98099,20060120,    0,    0
  2847, 98099,20060121,    0,    0
  2847, 98099,20060122,    0,    0
  2847, 98099,20060123,    0,    0
  2847, 98099,20060124,    0,    0
  2847, 98099,20060125,    0,    0
  2847, 96035,20060126,  108,    0
  2847, 96035,20060127,   30,    0
  2847, 96035,20060128,   48,    0
  2847, 96035,20060129,   24,    0
  2847, 96035,20060130,   66,    0
  2847, 96035,20060131,    4,    0
  2847, 96035,20060201,    0,    0
  2847, 96035,20060202,    0,    0
  2847, 96035,20060203,    0,    0
  2847, 96035,20060204,    0,    0
  2847, 96035,20060205,    0,    0
  2847, 96035,20060206,    0,    0
  2847, 96035,20060207,    0,    0
  2847, 96035,20060208,    0,    0
  2847, 96035,20060209,    0,    0
  2847, 96035,20060210,    0,    0
  2847, 96035,20060211,    0,    0
  2847, 96035,20060212,    0,    0
  2847, 96035,20060213,    0,    0
  2847, 96035,20060214,    0,    0
  2847, 96035,20060215,    0,    0
  2847, 96035,20060216,    0,    0
