EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IJSSELMONDE, NETHERLANDS (STAID: 543)
Blended and updated with sources:1969 1975 8986 52490 55433 109384 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   543,109384,19080201,-9999,    9
   543,109384,19080202,-9999,    9
   543,109384,19080203,-9999,    9
   543,109384,19080204,-9999,    9
   543,109384,19080205,-9999,    9
   543,109384,19080206,-9999,    9
   543,109384,19080207,-9999,    9
   543,109384,19080208,-9999,    9
   543,109384,19080209,-9999,    9
   543,109384,19080210,-9999,    9
   543,109384,19080211,-9999,    9
   543,109384,19080212,-9999,    9
   543,109384,19080213,-9999,    9
   543,109384,19080214,-9999,    9
   543,109384,19080215,-9999,    9
   543,109384,19080216,-9999,    9
   543,109384,19080217,-9999,    9
   543,109384,19080218,-9999,    9
   543,109384,19080219,-9999,    9
   543,109384,19080220,-9999,    9
   543,109384,19080221,-9999,    9
   543,109384,19080222,-9999,    9
   543,109384,19080223,-9999,    9
   543,109384,19080224,-9999,    9
   543,109384,19080225,-9999,    9
   543,109384,19080226,-9999,    9
   543,109384,19080227,-9999,    9
   543,109384,19080228,-9999,    9
   543,109384,19080229,   63,    0
   543,109384,19080301,    0,    0
   543,109384,19080302,   41,    0
   543,109384,19080303,    2,    0
   543,109384,19080304,   53,    0
   543,109384,19080305,    0,    0
   543,109384,19080306,   62,    0
   543,109384,19080307,   20,    0
   543,109384,19080308,   19,    0
   543,109384,19080309,   33,    0
   543,109384,19080310,   40,    0
   543,109384,19080311,   13,    0
   543,109384,19080312,    1,    0
   543,109384,19080313,   13,    0
   543,109384,19080314,    2,    0
   543,109384,19080315,    0,    0
   543,109384,19080316,    0,    0
   543,109384,19080317,   14,    0
   543,109384,19080318,    0,    0
   543,109384,19080319,    1,    0
   543,109384,19080320,    4,    0
   543,109384,19080321,    0,    0
   543,109384,19080322,    0,    0
   543,109384,19080323,   10,    0
   543,109384,19080324,    0,    0
   543,109384,19080325,    3,    0
   543,109384,19080326,    0,    0
   543,109384,19080327,    0,    0
   543,109384,19080328,   19,    0
   543,109384,19080329,   20,    0
   543,109384,19080330,   40,    0
   543,109384,19080331,    9,    0
   543,109384,19080401,    0,    0
   543,109384,19080402,    6,    0
   543,109384,19080403,   10,    0
   543,109384,19080404,    8,    0
   543,109384,19080405,   12,    0
   543,109384,19080406,    0,    0
   543,109384,19080407,    0,    0
   543,109384,19080408,    0,    0
   543,109384,19080409,   13,    0
   543,109384,19080410,   12,    0
   543,109384,19080411,    0,    0
   543,109384,19080412,    0,    0
   543,109384,19080413,    3,    0
   543,109384,19080414,    0,    0
   543,109384,19080415,    0,    0
   543,109384,19080416,    0,    0
   543,109384,19080417,   16,    0
   543,109384,19080418,    0,    0
   543,109384,19080419,   15,    0
   543,109384,19080420,    0,    0
   543,109384,19080421,   19,    0
   543,109384,19080422,    2,    0
   543,109384,19080423,   43,    0
   543,109384,19080424,   10,    0
   543,109384,19080425,    0,    0
   543,109384,19080426,    8,    0
   543,109384,19080427,    0,    0
   543,109384,19080428,   44,    0
   543,109384,19080429,    0,    0
   543,109384,19080430,   84,    0
   543,109384,19080501,    0,    0
   543,109384,19080502,    0,    0
   543,109384,19080503,    0,    0
   543,109384,19080504,    0,    0
   543,109384,19080505,   69,    0
   543,109384,19080506,   44,    0
   543,109384,19080507,   38,    0
   543,109384,19080508,    7,    0
   543,109384,19080509,    0,    0
   543,109384,19080510,    0,    0
   543,109384,19080511,    0,    0
   543,109384,19080512,    0,    0
   543,109384,19080513,    0,    0
   543,109384,19080514,    0,    0
   543,109384,19080515,  100,    0
   543,109384,19080516,    0,    0
   543,109384,19080517,    0,    0
   543,109384,19080518,    0,    0
   543,109384,19080519,    0,    0
   543,109384,19080520,    0,    0
   543,109384,19080521,  124,    0
   543,109384,19080522,    0,    0
   543,109384,19080523,    0,    0
   543,109384,19080524,    0,    0
   543,109384,19080525,   17,    0
   543,109384,19080526,    0,    0
   543,109384,19080527,    0,    0
   543,109384,19080528,    0,    0
   543,109384,19080529,   90,    0
   543,109384,19080530,   32,    0
   543,109384,19080531,-9999,    9
   543,109384,19080601,-9999,    9
   543,109384,19080602,-9999,    9
   543,109384,19080603,-9999,    9
   543,109384,19080604,-9999,    9
   543,109384,19080605,-9999,    9
   543,109384,19080606,-9999,    9
   543,109384,19080607,-9999,    9
   543,109384,19080608,-9999,    9
   543,109384,19080609,-9999,    9
   543,109384,19080610,-9999,    9
   543,109384,19080611,-9999,    9
   543,109384,19080612,-9999,    9
   543,109384,19080613,-9999,    9
   543,109384,19080614,-9999,    9
   543,109384,19080615,-9999,    9
   543,109384,19080616,-9999,    9
   543,109384,19080617,-9999,    9
   543,109384,19080618,-9999,    9
   543,109384,19080619,-9999,    9
   543,109384,19080620,-9999,    9
   543,109384,19080621,-9999,    9
   543,109384,19080622,-9999,    9
   543,109384,19080623,-9999,    9
   543,109384,19080624,-9999,    9
   543,109384,19080625,-9999,    9
   543,109384,19080626,-9999,    9
   543,109384,19080627,-9999,    9
   543,109384,19080628,-9999,    9
   543,109384,19080629,-9999,    9
   543,109384,19080630,-9999,    9
   543,109384,19080701,-9999,    9
   543,109384,19080702,-9999,    9
   543,109384,19080703,-9999,    9
   543,109384,19080704,-9999,    9
   543,109384,19080705,-9999,    9
   543,109384,19080706,-9999,    9
   543,109384,19080707,-9999,    9
   543,109384,19080708,-9999,    9
   543,109384,19080709,-9999,    9
   543,109384,19080710,-9999,    9
   543,109384,19080711,-9999,    9
   543,109384,19080712,-9999,    9
   543,109384,19080713,-9999,    9
   543,109384,19080714,-9999,    9
   543,109384,19080715,-9999,    9
   543,109384,19080716,-9999,    9
   543,109384,19080717,-9999,    9
   543,109384,19080718,-9999,    9
   543,109384,19080719,-9999,    9
   543,109384,19080720,-9999,    9
   543,109384,19080721,-9999,    9
   543,109384,19080722,-9999,    9
   543,109384,19080723,-9999,    9
   543,109384,19080724,-9999,    9
   543,109384,19080725,-9999,    9
   543,109384,19080726,-9999,    9
   543,109384,19080727,-9999,    9
   543,109384,19080728,-9999,    9
   543,109384,19080729,-9999,    9
   543,109384,19080730,-9999,    9
   543,109384,19080731,-9999,    9
   543,109384,19080801,-9999,    9
   543,109384,19080802,-9999,    9
   543,109384,19080803,-9999,    9
   543,109384,19080804,-9999,    9
   543,109384,19080805,-9999,    9
   543,109384,19080806,-9999,    9
   543,109384,19080807,-9999,    9
   543,109384,19080808,-9999,    9
   543,109384,19080809,-9999,    9
   543,109384,19080810,-9999,    9
   543,109384,19080811,-9999,    9
   543,109384,19080812,-9999,    9
   543,109384,19080813,-9999,    9
   543,109384,19080814,-9999,    9
   543,109384,19080815,-9999,    9
   543,109384,19080816,-9999,    9
   543,109384,19080817,-9999,    9
   543,109384,19080818,-9999,    9
   543,109384,19080819,-9999,    9
   543,109384,19080820,-9999,    9
   543,109384,19080821,-9999,    9
   543,109384,19080822,-9999,    9
   543,109384,19080823,-9999,    9
   543,109384,19080824,-9999,    9
   543,109384,19080825,-9999,    9
   543,109384,19080826,-9999,    9
   543,109384,19080827,-9999,    9
   543,109384,19080828,-9999,    9
   543,109384,19080829,-9999,    9
   543,109384,19080830,-9999,    9
   543,109384,19080831,-9999,    9
   543,109384,19080901,-9999,    9
   543,109384,19080902,-9999,    9
   543,109384,19080903,-9999,    9
   543,109384,19080904,-9999,    9
   543,109384,19080905,-9999,    9
   543,109384,19080906,-9999,    9
   543,109384,19080907,-9999,    9
   543,109384,19080908,-9999,    9
   543,109384,19080909,-9999,    9
   543,109384,19080910,-9999,    9
   543,109384,19080911,-9999,    9
   543,109384,19080912,-9999,    9
   543,109384,19080913,-9999,    9
   543,109384,19080914,-9999,    9
   543,109384,19080915,-9999,    9
   543,109384,19080916,-9999,    9
   543,109384,19080917,-9999,    9
   543,109384,19080918,-9999,    9
   543,109384,19080919,-9999,    9
   543,109384,19080920,-9999,    9
   543,109384,19080921,-9999,    9
   543,109384,19080922,-9999,    9
   543,109384,19080923,-9999,    9
   543,109384,19080924,-9999,    9
   543,109384,19080925,-9999,    9
   543,109384,19080926,-9999,    9
   543,109384,19080927,-9999,    9
   543,109384,19080928,-9999,    9
   543,109384,19080929,-9999,    9
   543,109384,19080930,-9999,    9
   543,109384,19081001,-9999,    9
   543,109384,19081002,-9999,    9
   543,109384,19081003,-9999,    9
   543,109384,19081004,-9999,    9
   543,109384,19081005,-9999,    9
   543,109384,19081006,-9999,    9
   543,109384,19081007,-9999,    9
   543,109384,19081008,-9999,    9
   543,109384,19081009,-9999,    9
   543,109384,19081010,-9999,    9
   543,109384,19081011,-9999,    9
   543,109384,19081012,-9999,    9
   543,109384,19081013,-9999,    9
   543,109384,19081014,-9999,    9
   543,109384,19081015,-9999,    9
   543,109384,19081016,-9999,    9
   543,109384,19081017,-9999,    9
   543,109384,19081018,-9999,    9
   543,109384,19081019,-9999,    9
   543,109384,19081020,-9999,    9
   543,109384,19081021,-9999,    9
   543,109384,19081022,-9999,    9
   543,109384,19081023,-9999,    9
   543,109384,19081024,-9999,    9
   543,109384,19081025,-9999,    9
   543,109384,19081026,-9999,    9
   543,109384,19081027,-9999,    9
   543,109384,19081028,-9999,    9
   543,109384,19081029,-9999,    9
   543,109384,19081030,-9999,    9
   543,109384,19081031,-9999,    9
   543,109384,19081101,-9999,    9
   543,109384,19081102,-9999,    9
   543,109384,19081103,-9999,    9
   543,109384,19081104,-9999,    9
   543,109384,19081105,-9999,    9
   543,109384,19081106,-9999,    9
   543,109384,19081107,-9999,    9
   543,109384,19081108,-9999,    9
   543,109384,19081109,-9999,    9
   543,109384,19081110,-9999,    9
   543,109384,19081111,-9999,    9
   543,109384,19081112,-9999,    9
   543,109384,19081113,-9999,    9
   543,109384,19081114,-9999,    9
   543,109384,19081115,-9999,    9
   543,109384,19081116,-9999,    9
   543,109384,19081117,-9999,    9
   543,109384,19081118,-9999,    9
   543,109384,19081119,-9999,    9
   543,109384,19081120,-9999,    9
   543,109384,19081121,-9999,    9
   543,109384,19081122,-9999,    9
   543,109384,19081123,-9999,    9
   543,109384,19081124,-9999,    9
   543,109384,19081125,-9999,    9
   543,109384,19081126,-9999,    9
   543,109384,19081127,-9999,    9
   543,109384,19081128,-9999,    9
   543,109384,19081129,-9999,    9
   543,109384,19081130,-9999,    9
   543,109384,19081201,-9999,    9
   543,109384,19081202,-9999,    9
   543,109384,19081203,-9999,    9
   543,109384,19081204,-9999,    9
   543,109384,19081205,-9999,    9
   543,109384,19081206,-9999,    9
   543,109384,19081207,-9999,    9
   543,109384,19081208,-9999,    9
   543,109384,19081209,-9999,    9
   543,109384,19081210,-9999,    9
   543,109384,19081211,-9999,    9
   543,109384,19081212,-9999,    9
   543,109384,19081213,-9999,    9
   543,109384,19081214,-9999,    9
   543,109384,19081215,-9999,    9
   543,109384,19081216,-9999,    9
   543,109384,19081217,-9999,    9
   543,109384,19081218,-9999,    9
   543,109384,19081219,-9999,    9
   543,109384,19081220,-9999,    9
   543,109384,19081221,-9999,    9
   543,109384,19081222,-9999,    9
   543,109384,19081223,-9999,    9
   543,109384,19081224,-9999,    9
   543,109384,19081225,-9999,    9
   543,109384,19081226,-9999,    9
   543,109384,19081227,-9999,    9
   543,109384,19081228,-9999,    9
   543,109384,19081229,-9999,    9
   543,109384,19081230,-9999,    9
   543,109384,19081231,-9999,    9
   543,109384,19090101,-9999,    9
   543,109384,19090102,-9999,    9
   543,109384,19090103,-9999,    9
   543,109384,19090104,-9999,    9
   543,109384,19090105,-9999,    9
   543,109384,19090106,-9999,    9
   543,109384,19090107,-9999,    9
   543,109384,19090108,-9999,    9
   543,109384,19090109,-9999,    9
   543,109384,19090110,-9999,    9
   543,109384,19090111,-9999,    9
   543,109384,19090112,-9999,    9
   543,109384,19090113,-9999,    9
   543,109384,19090114,-9999,    9
   543,109384,19090115,-9999,    9
   543,109384,19090116,-9999,    9
   543,109384,19090117,-9999,    9
   543,109384,19090118,-9999,    9
   543,109384,19090119,-9999,    9
   543,109384,19090120,-9999,    9
   543,109384,19090121,-9999,    9
   543,109384,19090122,-9999,    9
   543,109384,19090123,-9999,    9
   543,109384,19090124,-9999,    9
   543,109384,19090125,-9999,    9
   543,109384,19090126,-9999,    9
   543,109384,19090127,-9999,    9
   543,109384,19090128,-9999,    9
   543,109384,19090129,-9999,    9
   543,109384,19090130,-9999,    9
   543,109384,19090131,-9999,    9
   543,109384,19090201,-9999,    9
   543,109384,19090202,-9999,    9
   543,109384,19090203,-9999,    9
   543,109384,19090204,-9999,    9
   543,109384,19090205,-9999,    9
   543,109384,19090206,-9999,    9
   543,109384,19090207,-9999,    9
   543,109384,19090208,-9999,    9
   543,109384,19090209,-9999,    9
   543,109384,19090210,-9999,    9
   543,109384,19090211,-9999,    9
   543,109384,19090212,-9999,    9
   543,109384,19090213,-9999,    9
   543,109384,19090214,-9999,    9
   543,109384,19090215,-9999,    9
   543,109384,19090216,-9999,    9
   543,109384,19090217,-9999,    9
   543,109384,19090218,-9999,    9
   543,109384,19090219,-9999,    9
   543,109384,19090220,-9999,    9
   543,109384,19090221,-9999,    9
   543,109384,19090222,-9999,    9
   543,109384,19090223,-9999,    9
   543,109384,19090224,-9999,    9
   543,109384,19090225,-9999,    9
   543,109384,19090226,-9999,    9
   543,109384,19090227,-9999,    9
   543,109384,19090228,-9999,    9
   543,109384,19090301,-9999,    9
   543,109384,19090302,-9999,    9
   543,109384,19090303,-9999,    9
   543,109384,19090304,-9999,    9
   543,109384,19090305,-9999,    9
   543,109384,19090306,-9999,    9
   543,109384,19090307,-9999,    9
   543,109384,19090308,-9999,    9
   543,109384,19090309,-9999,    9
   543,109384,19090310,-9999,    9
   543,109384,19090311,-9999,    9
   543,109384,19090312,-9999,    9
   543,109384,19090313,-9999,    9
   543,109384,19090314,-9999,    9
   543,109384,19090315,-9999,    9
   543,109384,19090316,-9999,    9
   543,109384,19090317,-9999,    9
   543,109384,19090318,-9999,    9
   543,109384,19090319,-9999,    9
   543,109384,19090320,-9999,    9
   543,109384,19090321,-9999,    9
   543,109384,19090322,-9999,    9
   543,109384,19090323,-9999,    9
   543,109384,19090324,-9999,    9
   543,109384,19090325,-9999,    9
   543,109384,19090326,-9999,    9
   543,109384,19090327,-9999,    9
   543,109384,19090328,-9999,    9
   543,109384,19090329,-9999,    9
   543,109384,19090330,-9999,    9
   543,109384,19090331,-9999,    9
   543,109384,19090401,-9999,    9
   543,109384,19090402,-9999,    9
   543,109384,19090403,-9999,    9
   543,109384,19090404,-9999,    9
   543,109384,19090405,-9999,    9
   543,109384,19090406,-9999,    9
   543,109384,19090407,-9999,    9
   543,109384,19090408,-9999,    9
   543,109384,19090409,-9999,    9
   543,109384,19090410,-9999,    9
   543,109384,19090411,-9999,    9
   543,109384,19090412,-9999,    9
   543,109384,19090413,-9999,    9
   543,109384,19090414,-9999,    9
   543,109384,19090415,-9999,    9
   543,109384,19090416,-9999,    9
   543,109384,19090417,-9999,    9
   543,109384,19090418,-9999,    9
   543,109384,19090419,-9999,    9
   543,109384,19090420,-9999,    9
   543,109384,19090421,-9999,    9
   543,109384,19090422,-9999,    9
   543,109384,19090423,-9999,    9
   543,109384,19090424,-9999,    9
   543,109384,19090425,-9999,    9
   543,109384,19090426,-9999,    9
   543,109384,19090427,-9999,    9
   543,109384,19090428,-9999,    9
   543,109384,19090429,-9999,    9
   543,109384,19090430,-9999,    9
   543,109384,19090501,-9999,    9
   543,109384,19090502,-9999,    9
   543,109384,19090503,-9999,    9
   543,109384,19090504,-9999,    9
   543,109384,19090505,-9999,    9
   543,109384,19090506,-9999,    9
   543,109384,19090507,-9999,    9
   543,109384,19090508,-9999,    9
   543,109384,19090509,-9999,    9
   543,109384,19090510,-9999,    9
   543,109384,19090511,-9999,    9
   543,109384,19090512,-9999,    9
   543,109384,19090513,-9999,    9
   543,109384,19090514,-9999,    9
   543,109384,19090515,-9999,    9
   543,109384,19090516,-9999,    9
   543,109384,19090517,-9999,    9
   543,109384,19090518,-9999,    9
   543,109384,19090519,-9999,    9
   543,109384,19090520,-9999,    9
   543,109384,19090521,-9999,    9
   543,109384,19090522,-9999,    9
   543,109384,19090523,-9999,    9
   543,109384,19090524,-9999,    9
   543,109384,19090525,-9999,    9
   543,109384,19090526,-9999,    9
   543,109384,19090527,-9999,    9
   543,109384,19090528,-9999,    9
   543,109384,19090529,-9999,    9
   543,109384,19090530,-9999,    9
   543,109384,19090531,-9999,    9
   543,109384,19090601,-9999,    9
   543,109384,19090602,-9999,    9
   543,109384,19090603,-9999,    9
   543,109384,19090604,-9999,    9
   543,109384,19090605,-9999,    9
   543,109384,19090606,-9999,    9
   543,109384,19090607,-9999,    9
   543,109384,19090608,-9999,    9
