EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station 'S HEERENHOEK, NETHERLANDS (STAID: 2350)
Blended and updated with sources:2039 2053 8958 52484 109313 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2350,  2039,18541201,-9999,    9
  2350,  2039,18541202,-9999,    9
  2350,  2039,18541203,-9999,    9
  2350,  2039,18541204,-9999,    9
  2350,  2039,18541205,-9999,    9
  2350,  2039,18541206,-9999,    9
  2350,  2039,18541207,-9999,    9
  2350,  2039,18541208,-9999,    9
  2350,  2039,18541209,-9999,    9
  2350,  2039,18541210,-9999,    9
  2350,  2039,18541211,-9999,    9
  2350,  2039,18541212,-9999,    9
  2350,  2039,18541213,-9999,    9
  2350,  2039,18541214,-9999,    9
  2350,  2039,18541215,-9999,    9
  2350,  2039,18541216,-9999,    9
  2350,  2039,18541217,-9999,    9
  2350,  2039,18541218,-9999,    9
  2350,  2039,18541219,-9999,    9
  2350,  2039,18541220,-9999,    9
  2350,  2039,18541221,-9999,    9
  2350,  2039,18541222,-9999,    9
  2350,  2039,18541223,-9999,    9
  2350,  2039,18541224,-9999,    9
  2350,  2039,18541225,-9999,    9
  2350,  2039,18541226,-9999,    9
  2350,  2039,18541227,-9999,    9
  2350,  2039,18541228,-9999,    9
  2350,  2039,18541229,-9999,    9
  2350,  2039,18541230,-9999,    9
  2350,  2039,18541231,    0,    0
  2350,  2039,18550101,   42,    0
  2350,  2039,18550102,   10,    0
  2350,  2039,18550103,    2,    0
  2350,  2039,18550104,    0,    0
  2350,  2039,18550105,   29,    0
  2350,  2039,18550106,    7,    0
  2350,  2039,18550107,    0,    0
  2350,  2039,18550108,    0,    0
  2350,  2039,18550109,   11,    0
  2350,  2039,18550110,    0,    0
  2350,  2039,18550111,    5,    0
  2350,  2039,18550112,    4,    0
  2350,  2039,18550113,   20,    0
  2350,  2039,18550114,   16,    0
  2350,  2039,18550115,   25,    0
  2350,  2039,18550116,    0,    0
  2350,  2039,18550117,    0,    0
  2350,  2039,18550118,    0,    0
  2350,  2039,18550119,    0,    0
  2350,  2039,18550120,    0,    0
  2350,  2039,18550121,    0,    0
  2350,  2039,18550122,    0,    0
  2350,  2039,18550123,    0,    0
  2350,  2039,18550124,    0,    0
  2350,  2039,18550125,    0,    0
  2350,  2039,18550126,    0,    0
  2350,  2039,18550127,    0,    0
  2350,  2039,18550128,    0,    0
  2350,  2039,18550129,    0,    0
  2350,  2039,18550130,    0,    0
  2350,  2039,18550131,    0,    0
  2350,  2039,18550201,    0,    0
  2350,  2039,18550202,    0,    0
  2350,  2039,18550203,    0,    0
  2350,  2039,18550204,    0,    0
  2350,  2039,18550205,    0,    0
  2350,  2039,18550206,   15,    0
  2350,  2039,18550207,    0,    0
  2350,  2039,18550208,    0,    0
  2350,  2039,18550209,    0,    0
  2350,  2039,18550210,    0,    0
  2350,  2039,18550211,    0,    0
  2350,  2039,18550212,    0,    0
  2350,  2039,18550213,    0,    0
  2350,  2039,18550214,    0,    0
  2350,  2039,18550215,    0,    0
  2350,  2039,18550216,    0,    0
  2350,  2039,18550217,    0,    0
  2350,  2039,18550218,    0,    0
