EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REICHELSHEIM-DORN-ASSENHEIM, GERMANY (STAID: 14787)
Blended and updated with sources:83479 86617 87349 87423 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14787, 83479,19310101,   72,    0
 14787, 83479,19310102,   30,    0
 14787, 83479,19310103,  105,    0
 14787, 83479,19310104,    5,    0
 14787, 83479,19310105,    3,    0
 14787, 83479,19310106,    3,    0
 14787, 83479,19310107,    0,    0
 14787, 83479,19310108,    0,    0
 14787, 83479,19310109,    0,    0
 14787, 83479,19310110,    0,    0
 14787, 83479,19310111,    0,    0
 14787, 83479,19310112,    0,    0
 14787, 83479,19310113,    0,    0
 14787, 83479,19310114,   11,    0
 14787, 83479,19310115,    1,    0
 14787, 83479,19310116,   42,    0
 14787, 83479,19310117,   54,    0
 14787, 83479,19310118,   13,    0
 14787, 83479,19310119,   28,    0
 14787, 83479,19310120,   18,    0
 14787, 83479,19310121,    3,    0
 14787, 83479,19310122,    0,    0
 14787, 83479,19310123,   96,    0
 14787, 83479,19310124,   26,    0
 14787, 83479,19310125,   29,    0
 14787, 83479,19310126,    0,    0
 14787, 83479,19310127,    4,    0
 14787, 83479,19310128,    5,    0
 14787, 83479,19310129,   26,    0
 14787, 83479,19310130,   11,    0
 14787, 83479,19310131,    0,    0
 14787, 83479,19310201,    0,    0
 14787, 83479,19310202,   30,    0
 14787, 83479,19310203,   14,    0
 14787, 83479,19310204,   23,    0
 14787, 83479,19310205,   15,    0
 14787, 83479,19310206,    0,    0
 14787, 83479,19310207,    0,    0
 14787, 83479,19310208,    0,    0
 14787, 83479,19310209,    0,    0
 14787, 83479,19310210,    0,    0
 14787, 83479,19310211,  145,    0
 14787, 83479,19310212,   39,    0
 14787, 83479,19310213,    0,    0
 14787, 83479,19310214,    0,    0
 14787, 83479,19310215,    3,    0
 14787, 83479,19310216,   98,    0
 14787, 83479,19310217,   85,    0
 14787, 83479,19310218,    0,    0
 14787, 83479,19310219,    0,    0
 14787, 83479,19310220,    0,    0
 14787, 83479,19310221,    0,    0
 14787, 83479,19310222,    0,    0
 14787, 83479,19310223,    0,    0
 14787, 83479,19310224,    0,    0
 14787, 83479,19310225,    0,    0
 14787, 83479,19310226,   37,    0
 14787, 83479,19310227,    0,    0
 14787, 83479,19310228,   79,    0
 14787, 83479,19310301,    1,    0
 14787, 83479,19310302,    0,    0
 14787, 83479,19310303,    0,    0
 14787, 83479,19310304,    0,    0
 14787, 83479,19310305,    0,    0
 14787, 83479,19310306,    0,    0
 14787, 83479,19310307,    0,    0
 14787, 83479,19310308,    0,    0
 14787, 83479,19310309,    0,    0
 14787, 83479,19310310,    0,    0
 14787, 83479,19310311,    7,    0
 14787, 83479,19310312,    0,    0
 14787, 83479,19310313,    0,    0
 14787, 83479,19310314,    0,    0
 14787, 83479,19310315,    0,    0
 14787, 83479,19310316,    0,    0
 14787, 83479,19310317,    0,    0
 14787, 83479,19310318,    0,    0
 14787, 83479,19310319,    0,    0
 14787, 83479,19310320,    0,    0
 14787, 83479,19310321,   38,    0
