EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOERSFELD, GERMANY (STAID: 14189)
Blended and updated with sources:81865 86227 89753 90333 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14189, 81865,19310101,   88,    0
 14189, 81865,19310102,   45,    0
 14189, 81865,19310103,  135,    0
 14189, 81865,19310104,    3,    0
 14189, 81865,19310105,    2,    0
 14189, 81865,19310106,    0,    0
 14189, 81865,19310107,    0,    0
 14189, 81865,19310108,    0,    0
 14189, 81865,19310109,    0,    0
 14189, 81865,19310110,    0,    0
 14189, 81865,19310111,    0,    0
 14189, 81865,19310112,    0,    0
 14189, 81865,19310113,    0,    0
 14189, 81865,19310114,    9,    0
 14189, 81865,19310115,    0,    0
 14189, 81865,19310116,   43,    0
 14189, 81865,19310117,    6,    0
 14189, 81865,19310118,   10,    0
 14189, 81865,19310119,   38,    0
 14189, 81865,19310120,    0,    0
 14189, 81865,19310121,    0,    0
 14189, 81865,19310122,    0,    0
 14189, 81865,19310123,   81,    0
 14189, 81865,19310124,   18,    0
 14189, 81865,19310125,   37,    0
 14189, 81865,19310126,   60,    0
 14189, 81865,19310127,    0,    0
 14189, 81865,19310128,   36,    0
 14189, 81865,19310129,   17,    0
 14189, 81865,19310130,    5,    0
 14189, 81865,19310131,    0,    0
 14189, 81865,19310201,    0,    0
 14189, 81865,19310202,    5,    0
 14189, 81865,19310203,  115,    0
 14189, 81865,19310204,   89,    0
 14189, 81865,19310205,   12,    0
 14189, 81865,19310206,    6,    0
 14189, 81865,19310207,    0,    0
 14189, 81865,19310208,    0,    0
 14189, 81865,19310209,    0,    0
 14189, 81865,19310210,    2,    0
 14189, 81865,19310211,   45,    0
 14189, 81865,19310212,    3,    0
 14189, 81865,19310213,   35,    0
 14189, 81865,19310214,    0,    0
 14189, 81865,19310215,    0,    0
 14189, 81865,19310216,   45,    0
 14189, 81865,19310217,  136,    0
 14189, 81865,19310218,    0,    0
 14189, 81865,19310219,    0,    0
 14189, 81865,19310220,    0,    0
 14189, 81865,19310221,    5,    0
 14189, 81865,19310222,    0,    0
 14189, 81865,19310223,    0,    0
 14189, 81865,19310224,    0,    0
 14189, 81865,19310225,   25,    0
 14189, 81865,19310226,    6,    0
 14189, 81865,19310227,   31,    0
 14189, 81865,19310228,   99,    0
 14189, 81865,19310301,   12,    0
