EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERLEBURG BAD-WINGESHAUSEN, GERMANY (STAID: 12060)
Blended and updated with sources:81969 83223 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12060, 81969,19310101,  152,    0
 12060, 81969,19310102,    4,    0
 12060, 81969,19310103,  156,    0
 12060, 81969,19310104,   17,    0
 12060, 81969,19310105,   41,    0
 12060, 81969,19310106,   24,    0
 12060, 81969,19310107,    0,    0
 12060, 81969,19310108,    0,    0
 12060, 81969,19310109,    0,    0
 12060, 81969,19310110,    0,    0
 12060, 81969,19310111,    6,    0
 12060, 81969,19310112,   14,    0
 12060, 81969,19310113,   20,    0
 12060, 81969,19310114,   15,    0
 12060, 81969,19310115,   10,    0
 12060, 81969,19310116,   98,    0
 12060, 81969,19310117,   92,    0
 12060, 81969,19310118,   27,    0
 12060, 81969,19310119,   45,    0
 12060, 81969,19310120,   18,    0
 12060, 81969,19310121,    0,    0
 12060, 81969,19310122,    0,    0
 12060, 81969,19310123,  133,    0
 12060, 81969,19310124,  147,    0
 12060, 81969,19310125,   84,    0
 12060, 81969,19310126,   57,    0
 12060, 81969,19310127,    5,    0
 12060, 81969,19310128,   49,    0
 12060, 81969,19310129,   46,    0
 12060, 81969,19310130,  167,    0
 12060, 81969,19310131,    2,    0
 12060, 81969,19310201,    0,    0
 12060, 81969,19310202,   39,    0
 12060, 81969,19310203,    9,    0
 12060, 81969,19310204,   12,    0
 12060, 81969,19310205,    5,    0
 12060, 81969,19310206,    0,    0
 12060, 81969,19310207,    0,    0
 12060, 81969,19310208,    0,    0
 12060, 81969,19310209,    0,    0
 12060, 81969,19310210,   40,    0
 12060, 81969,19310211,  153,    0
 12060, 81969,19310212,   39,    0
 12060, 81969,19310213,    8,    0
 12060, 81969,19310214,    0,    0
 12060, 81969,19310215,    6,    0
 12060, 81969,19310216,  121,    0
 12060, 81969,19310217,   17,    0
 12060, 81969,19310218,    9,    0
 12060, 81969,19310219,    0,    0
 12060, 81969,19310220,    0,    0
 12060, 81969,19310221,   18,    0
 12060, 81969,19310222,    0,    0
 12060, 81969,19310223,    0,    0
 12060, 81969,19310224,    0,    0
 12060, 81969,19310225,   32,    0
 12060, 81969,19310226,   65,    0
 12060, 81969,19310227,   76,    0
 12060, 81969,19310228,  204,    0
 12060, 81969,19310301,   32,    0
 12060, 81969,19310302,    0,    0
 12060, 81969,19310303,    0,    0
 12060, 81969,19310304,    0,    0
 12060, 81969,19310305,    0,    0
 12060, 81969,19310306,    0,    0
 12060, 81969,19310307,    0,    0
 12060, 81969,19310308,    0,    0
 12060, 81969,19310309,    0,    0
 12060, 81969,19310310,   11,    0
 12060, 81969,19310311,   89,    0
 12060, 81969,19310312,    6,    0
 12060, 81969,19310313,    0,    0
 12060, 81969,19310314,    0,    0
 12060, 81969,19310315,    0,    0
 12060, 81969,19310316,    0,    0
 12060, 81969,19310317,    0,    0
 12060, 81969,19310318,    0,    0
 12060, 81969,19310319,    0,    0
 12060, 81969,19310320,    0,    0
 12060, 81969,19310321,   27,    0
 12060, 81969,19310322,   16,    0
 12060, 81969,19310323,    0,    0
 12060, 81969,19310324,    3,    0
 12060, 81969,19310325,    0,    0
 12060, 81969,19310326,    0,    0
 12060, 81969,19310327,    0,    0
 12060, 81969,19310328,    0,    0
 12060, 81969,19310329,    0,    0
 12060, 81969,19310330,    0,    0
 12060, 81969,19310331,    0,    0
 12060, 81969,19310401,    0,    0
 12060, 81969,19310402,    0,    0
 12060, 81969,19310403,    0,    0
 12060, 81969,19310404,   18,    0
 12060, 81969,19310405,   96,    0
 12060, 81969,19310406,    3,    0
 12060, 81969,19310407,    0,    0
 12060, 81969,19310408,    0,    0
 12060, 81969,19310409,    8,    0
 12060, 81969,19310410,   11,    0
 12060, 81969,19310411,    0,    0
 12060, 81969,19310412,    0,    0
 12060, 81969,19310413,   40,    0
 12060, 81969,19310414,   48,    0
 12060, 81969,19310415,    4,    0
 12060, 81969,19310416,    1,    0
 12060, 81969,19310417,  117,    0
 12060, 81969,19310418,    8,    0
 12060, 81969,19310419,    0,    0
 12060, 81969,19310420,    0,    0
 12060, 81969,19310421,    0,    0
 12060, 81969,19310422,   29,    0
 12060, 81969,19310423,    0,    0
 12060, 81969,19310424,    0,    0
 12060, 81969,19310425,   56,    0
 12060, 81969,19310426,   15,    0
 12060, 81969,19310427,  170,    0
 12060, 81969,19310428,  138,    0
 12060, 81969,19310429,   37,    0
 12060, 81969,19310430,    0,    0
 12060, 81969,19310501,    0,    0
 12060, 81969,19310502,    0,    0
 12060, 81969,19310503,   22,    0
 12060, 81969,19310504,    0,    0
 12060, 81969,19310505,    0,    0
 12060, 81969,19310506,  107,    0
 12060, 81969,19310507,  255,    0
 12060, 81969,19310508,    2,    0
 12060, 81969,19310509,   26,    0
 12060, 81969,19310510,    0,    0
 12060, 81969,19310511,    0,    0
 12060, 81969,19310512,    0,    0
 12060, 81969,19310513,    0,    0
 12060, 81969,19310514,    2,    0
 12060, 81969,19310515,   59,    0
 12060, 81969,19310516,    1,    0
 12060, 81969,19310517,   20,    0
 12060, 81969,19310518,    0,    0
 12060, 81969,19310519,    4,    0
 12060, 81969,19310520,    0,    0
 12060, 81969,19310521,    0,    0
 12060, 81969,19310522,    5,    0
 12060, 81969,19310523,    0,    0
 12060, 81969,19310524,    0,    0
 12060, 81969,19310525,    0,    0
 12060, 81969,19310526,    0,    0
 12060, 81969,19310527,    0,    0
 12060, 81969,19310528,    0,    0
 12060, 81969,19310529,   12,    0
 12060, 81969,19310530,  307,    0
 12060, 81969,19310531,   86,    0
 12060, 81969,19310601,   37,    0
 12060, 81969,19310602,   27,    0
 12060, 81969,19310603,    1,    0
 12060, 81969,19310604,    0,    0
 12060, 81969,19310605,    0,    0
 12060, 81969,19310606,   51,    0
 12060, 81969,19310607,  118,    0
 12060, 81969,19310608,  109,    0
 12060, 81969,19310609,  147,    0
 12060, 81969,19310610,   18,    0
 12060, 81969,19310611,    0,    0
 12060, 81969,19310612,    0,    0
 12060, 81969,19310613,    0,    0
 12060, 81969,19310614,    2,    0
 12060, 81969,19310615,    0,    0
 12060, 81969,19310616,    0,    0
 12060, 81969,19310617,   49,    0
 12060, 81969,19310618,    7,    0
 12060, 81969,19310619,    6,    0
 12060, 81969,19310620,    0,    0
 12060, 81969,19310621,    0,    0
 12060, 81969,19310622,    0,    0
 12060, 81969,19310623,    0,    0
 12060, 81969,19310624,    0,    0
 12060, 81969,19310625,    0,    0
 12060, 81969,19310626,    0,    0
 12060, 81969,19310627,    0,    0
 12060, 81969,19310628,    0,    0
 12060, 81969,19310629,    0,    0
 12060, 81969,19310630,    0,    0
 12060, 81969,19310701,    0,    0
 12060, 81969,19310702,    0,    0
 12060, 81969,19310703,   16,    0
 12060, 81969,19310704,    3,    0
 12060, 81969,19310705,  102,    0
 12060, 81969,19310706,  128,    0
 12060, 81969,19310707,  150,    0
 12060, 81969,19310708,    3,    0
 12060, 81969,19310709,    0,    0
 12060, 81969,19310710,   62,    0
 12060, 81969,19310711,    0,    0
 12060, 81969,19310712,    0,    0
 12060, 81969,19310713,    1,    0
 12060, 81969,19310714,  152,    0
 12060, 81969,19310715,  121,    0
 12060, 81969,19310716,   66,    0
 12060, 81969,19310717,  139,    0
 12060, 81969,19310718,   11,    0
 12060, 81969,19310719,   28,    0
 12060, 81969,19310720,   30,    0
 12060, 81969,19310721,   16,    0
 12060, 81969,19310722,    0,    0
 12060, 81969,19310723,    0,    0
 12060, 81969,19310724,    0,    0
 12060, 81969,19310725,   86,    0
 12060, 81969,19310726,   87,    0
 12060, 81969,19310727,   33,    0
 12060, 81969,19310728,    7,    0
 12060, 81969,19310729,    0,    0
 12060, 81969,19310730,    8,    0
 12060, 81969,19310731,    0,    0
 12060, 81969,19310801,    0,    0
 12060, 81969,19310802,    0,    0
