EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIENBURG, GERMANY (STAID: 4471)
Blended and updated with sources:26742 88525 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4471, 88525,19410101,    0,    0
  4471, 88525,19410102,    0,    0
  4471, 88525,19410103,    6,    0
  4471, 88525,19410104,    0,    0
  4471, 88525,19410105,    1,    0
  4471, 88525,19410106,    0,    0
  4471, 88525,19410107,    0,    0
  4471, 88525,19410108,    0,    0
  4471, 88525,19410109,    0,    0
  4471, 88525,19410110,    0,    0
  4471, 88525,19410111,    0,    0
  4471, 88525,19410112,   40,    0
  4471, 88525,19410113,   15,    0
  4471, 88525,19410114,   41,    0
  4471, 88525,19410115,    0,    0
  4471, 88525,19410116,    0,    0
  4471, 88525,19410117,    0,    0
  4471, 88525,19410118,   10,    0
  4471, 88525,19410119,   51,    0
  4471, 88525,19410120,   63,    0
  4471, 88525,19410121,  130,    0
  4471, 88525,19410122,   12,    0
  4471, 88525,19410123,    0,    0
  4471, 88525,19410124,   35,    0
  4471, 88525,19410125,    0,    0
  4471, 88525,19410126,    0,    0
  4471, 88525,19410127,    0,    0
  4471, 88525,19410128,    0,    0
  4471, 88525,19410129,    0,    0
  4471, 88525,19410130,    0,    0
  4471, 88525,19410131,    0,    0
  4471, 88525,19410201,   24,    0
  4471, 88525,19410202,   35,    0
  4471, 88525,19410203,   29,    0
  4471, 88525,19410204,    1,    0
  4471, 88525,19410205,    0,    0
  4471, 88525,19410206,    0,    0
  4471, 88525,19410207,   21,    0
  4471, 88525,19410208,   65,    0
  4471, 88525,19410209,   36,    0
  4471, 88525,19410210,   16,    0
  4471, 88525,19410211,    0,    0
  4471, 88525,19410212,    0,    0
  4471, 88525,19410213,   68,    0
  4471, 88525,19410214,    0,    0
  4471, 88525,19410215,    0,    0
  4471, 88525,19410216,   83,    0
  4471, 88525,19410217,    0,    0
  4471, 88525,19410218,   22,    0
  4471, 88525,19410219,   14,    0
  4471, 88525,19410220,    7,    0
  4471, 88525,19410221,    0,    0
  4471, 88525,19410222,    0,    0
  4471, 88525,19410223,    8,    0
  4471, 88525,19410224,   13,    0
  4471, 88525,19410225,   13,    0
