EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GEMUENDEN/MAIN-ADELSBERG, GERMANY (STAID: 12901)
Blended and updated with sources:83285 83651 85075 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12901, 83285,19310101,   58,    0
 12901, 83285,19310102,   21,    0
 12901, 83285,19310103,  102,    0
 12901, 83285,19310104,    8,    0
 12901, 83285,19310105,    2,    0
 12901, 83285,19310106,    0,    0
 12901, 83285,19310107,    0,    0
 12901, 83285,19310108,    0,    0
 12901, 83285,19310109,    0,    0
 12901, 83285,19310110,    0,    0
 12901, 83285,19310111,    0,    0
 12901, 83285,19310112,    0,    0
 12901, 83285,19310113,    0,    0
 12901, 83285,19310114,   15,    0
 12901, 83285,19310115,    7,    0
 12901, 83285,19310116,   66,    0
 12901, 83285,19310117,   35,    0
 12901, 83285,19310118,    2,    0
 12901, 83285,19310119,   20,    0
 12901, 83285,19310120,   23,    0
 12901, 83285,19310121,    0,    0
 12901, 83285,19310122,    0,    0
 12901, 83285,19310123,   26,    0
 12901, 83285,19310124,   24,    0
 12901, 83285,19310125,   41,    0
 12901, 83285,19310126,    6,    0
 12901, 83285,19310127,   19,    0
 12901, 83285,19310128,   28,    0
 12901, 83285,19310129,   23,    0
 12901, 83285,19310130,   26,    0
 12901, 83285,19310131,    0,    0
 12901, 83285,19310201,    0,    0
 12901, 83285,19310202,   18,    0
 12901, 83285,19310203,   26,    0
 12901, 83285,19310204,   55,    0
 12901, 83285,19310205,   23,    0
 12901, 83285,19310206,    0,    0
 12901, 83285,19310207,    0,    0
 12901, 83285,19310208,    0,    0
 12901, 83285,19310209,    0,    0
 12901, 83285,19310210,    0,    0
 12901, 83285,19310211,   61,    0
 12901, 83285,19310212,   36,    0
 12901, 83285,19310213,    0,    0
 12901, 83285,19310214,    0,    0
 12901, 83285,19310215,    0,    0
 12901, 83285,19310216,   12,    0
 12901, 83285,19310217,   20,    0
 12901, 83285,19310218,    0,    0
 12901, 83285,19310219,    0,    0
 12901, 83285,19310220,    0,    0
 12901, 83285,19310221,   53,    0
 12901, 83285,19310222,    0,    0
 12901, 83285,19310223,    0,    0
 12901, 83285,19310224,    0,    0
 12901, 83285,19310225,    0,    0
 12901, 83285,19310226,   81,    0
 12901, 83285,19310227,    7,    0
 12901, 83285,19310228,   72,    0
 12901, 83285,19310301,   13,    0
 12901, 83285,19310302,    0,    0
 12901, 83285,19310303,    0,    0
 12901, 83285,19310304,    0,    0
 12901, 83285,19310305,    0,    0
 12901, 83285,19310306,    0,    0
 12901, 83285,19310307,    0,    0
 12901, 83285,19310308,    0,    0
 12901, 83285,19310309,    2,    0
 12901, 83285,19310310,    8,    0
 12901, 83285,19310311,    3,    0
 12901, 83285,19310312,    0,    0
 12901, 83285,19310313,    0,    0
 12901, 83285,19310314,    0,    0
 12901, 83285,19310315,    0,    0
 12901, 83285,19310316,    0,    0
 12901, 83285,19310317,    0,    0
 12901, 83285,19310318,    0,    0
 12901, 83285,19310319,    0,    0
 12901, 83285,19310320,    0,    0
 12901, 83285,19310321,    3,    0
 12901, 83285,19310322,   48,    0
 12901, 83285,19310323,    0,    0
 12901, 83285,19310324,    0,    0
