EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARIEDAL, SWEDEN (STAID: 5935)
Blended and updated with sources:37674 37678 37688 37690 37702 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  5935, 37674,19450101,    0,    0
  5935, 37674,19450102,   26,    0
  5935, 37674,19450103,   45,    0
  5935, 37674,19450104,   48,    0
  5935, 37674,19450105,   38,    0
  5935, 37674,19450106,    5,    0
  5935, 37674,19450107,    8,    0
  5935, 37674,19450108,   16,    0
  5935, 37674,19450109,   36,    0
  5935, 37674,19450110,   61,    0
  5935, 37674,19450111,    0,    0
  5935, 37674,19450112,    0,    0
  5935, 37674,19450113,    0,    0
  5935, 37674,19450114,    0,    0
  5935, 37674,19450115,    0,    0
  5935, 37674,19450116,   38,    0
  5935, 37674,19450117,    0,    0
  5935, 37674,19450118,  182,    0
  5935, 37674,19450119,    3,    0
  5935, 37674,19450120,    0,    0
  5935, 37674,19450121,    0,    0
  5935, 37674,19450122,    0,    0
  5935, 37674,19450123,    0,    0
  5935, 37674,19450124,    0,    0
  5935, 37674,19450125,   36,    0
  5935, 37674,19450126,   96,    0
  5935, 37674,19450127,  153,    0
  5935, 37674,19450128,    0,    0
  5935, 37674,19450129,    0,    0
  5935, 37674,19450130,    0,    0
  5935, 37674,19450131,   40,    0
  5935, 37674,19450201,  110,    0
  5935, 37674,19450202,   91,    0
  5935, 37674,19450203,    0,    0
  5935, 37674,19450204,    0,    0
  5935, 37674,19450205,    0,    0
  5935, 37674,19450206,    2,    0
  5935, 37674,19450207,   63,    0
  5935, 37674,19450208,    0,    0
  5935, 37674,19450209,    2,    0
  5935, 37674,19450210,   48,    0
  5935, 37674,19450211,   46,    0
  5935, 37674,19450212,    0,    0
  5935, 37674,19450213,   91,    0
  5935, 37674,19450214,   34,    0
  5935, 37674,19450215,    0,    0
  5935, 37674,19450216,    0,    0
  5935, 37674,19450217,    0,    0
  5935, 37674,19450218,    9,    0
  5935, 37674,19450219,    6,    0
  5935, 37674,19450220,   17,    0
  5935, 37674,19450221,    0,    0
  5935, 37674,19450222,    2,    0
  5935, 37674,19450223,    0,    0
  5935, 37674,19450224,    0,    0
  5935, 37674,19450225,  105,    0
  5935, 37674,19450226,    0,    0
  5935, 37674,19450227,    0,    0
  5935, 37674,19450228,    0,    0
  5935, 37674,19450301,   14,    0
  5935, 37674,19450302,    0,    0
  5935, 37674,19450303,    0,    0
  5935, 37674,19450304,    0,    0
  5935, 37674,19450305,    0,    0
  5935, 37674,19450306,    0,    0
  5935, 37674,19450307,    0,    0
  5935, 37674,19450308,    0,    0
  5935, 37674,19450309,    0,    0
  5935, 37674,19450310,    0,    0
  5935, 37674,19450311,    0,    0
  5935, 37674,19450312,    0,    0
  5935, 37674,19450313,    6,    0
  5935, 37674,19450314,    0,    0
  5935, 37674,19450315,    0,    0
  5935, 37674,19450316,   45,    0
  5935, 37674,19450317,   12,    0
  5935, 37674,19450318,    0,    0
  5935, 37674,19450319,   44,    0
  5935, 37674,19450320,    4,    0
  5935, 37674,19450321,    0,    0
  5935, 37674,19450322,    0,    0
  5935, 37674,19450323,    0,    0
  5935, 37674,19450324,    0,    0
  5935, 37674,19450325,    0,    0
  5935, 37674,19450326,    0,    0
  5935, 37674,19450327,    0,    0
  5935, 37674,19450328,    0,    0
  5935, 37674,19450329,   50,    0
  5935, 37674,19450330,   12,    0
  5935, 37674,19450331,   63,    0
  5935, 37674,19450401,   84,    0
  5935, 37674,19450402,   91,    0
  5935, 37674,19450403,   88,    0
  5935, 37674,19450404,   12,    0
  5935, 37674,19450405,    0,    0
  5935, 37674,19450406,    0,    0
  5935, 37674,19450407,    0,    0
  5935, 37674,19450408,    0,    0
  5935, 37674,19450409,    0,    0
  5935, 37674,19450410,    0,    0
  5935, 37674,19450411,    0,    0
  5935, 37674,19450412,    0,    0
  5935, 37674,19450413,   51,    0
  5935, 37674,19450414,    0,    0
  5935, 37674,19450415,    0,    0
  5935, 37674,19450416,    0,    0
  5935, 37674,19450417,    0,    0
  5935, 37674,19450418,    3,    0
  5935, 37674,19450419,    0,    0
