EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PAULINZELLA, GERMANY (STAID: 14602)
Blended and updated with sources:82775 83613 83849 87053 88467 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14602, 87053,19470301,    0,    0
 14602, 87053,19470302,    0,    0
 14602, 87053,19470303,    0,    0
 14602, 87053,19470304,    0,    0
 14602, 87053,19470305,    0,    0
 14602, 87053,19470306,    0,    0
 14602, 87053,19470307,    0,    0
 14602, 87053,19470308,    0,    0
 14602, 87053,19470309,    0,    0
 14602, 87053,19470310,   15,    0
 14602, 87053,19470311,   20,    0
 14602, 87053,19470312,    0,    0
 14602, 87053,19470313,   15,    0
 14602, 87053,19470314,    0,    0
 14602, 87053,19470315,    0,    0
 14602, 87053,19470316,    0,    0
 14602, 87053,19470317,    0,    0
 14602, 87053,19470318,    0,    0
 14602, 87053,19470319,   40,    0
 14602, 87053,19470320,   30,    0
 14602, 87053,19470321,    0,    0
 14602, 87053,19470322,   50,    0
 14602, 87053,19470323,    0,    0
 14602, 87053,19470324,    0,    0
 14602, 87053,19470325,    0,    0
 14602, 87053,19470326,   20,    0
 14602, 87053,19470327,    0,    0
 14602, 87053,19470328,    0,    0
 14602, 87053,19470329,    0,    0
 14602, 87053,19470330,   50,    0
 14602, 87053,19470331,    0,    0
 14602, 87053,19470401,    0,    0
 14602, 87053,19470402,    0,    0
 14602, 87053,19470403,   10,    0
 14602, 87053,19470404,   40,    0
 14602, 87053,19470405,    0,    0
 14602, 87053,19470406,   50,    0
 14602, 87053,19470407,   40,    0
 14602, 87053,19470408,   20,    0
 14602, 87053,19470409,   10,    0
 14602, 87053,19470410,    0,    0
 14602, 87053,19470411,    0,    0
 14602, 87053,19470412,    0,    0
 14602, 87053,19470413,    0,    0
 14602, 87053,19470414,    0,    0
 14602, 87053,19470415,    0,    0
 14602, 87053,19470416,    0,    0
 14602, 87053,19470417,    0,    0
 14602, 87053,19470418,    0,    0
 14602, 87053,19470419,   50,    0
 14602, 87053,19470420,    0,    0
 14602, 87053,19470421,    0,    0
 14602, 87053,19470422,   50,    0
 14602, 87053,19470423,   40,    0
 14602, 87053,19470424,    0,    0
 14602, 87053,19470425,   15,    0
 14602, 87053,19470426,    0,    0
 14602, 87053,19470427,   25,    0
 14602, 87053,19470428,   15,    0
 14602, 87053,19470429,    0,    0
 14602, 87053,19470430,    0,    0
 14602, 87053,19470501,    0,    0
 14602, 87053,19470502,    0,    0
 14602, 87053,19470503,    0,    0
 14602, 87053,19470504,    0,    0
 14602, 87053,19470505,    0,    0
 14602, 87053,19470506,    0,    0
 14602, 87053,19470507,    0,    0
 14602, 87053,19470508,    0,    0
 14602, 87053,19470509,    0,    0
 14602, 87053,19470510,    0,    0
 14602, 87053,19470511,    0,    0
 14602, 87053,19470512,    0,    0
 14602, 87053,19470513,   20,    0
 14602, 87053,19470514,    0,    0
 14602, 87053,19470515,  125,    0
 14602, 87053,19470516,    0,    0
 14602, 87053,19470517,   20,    0
 14602, 87053,19470518,   51,    0
 14602, 87053,19470519,  150,    0
 14602, 87053,19470520,    0,    0
 14602, 87053,19470521,    0,    0
 14602, 87053,19470522,    0,    0
