EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VARFU OMUL, ROMANIA (STAID: 226)
Blended and updated with sources:906 12327 915280 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   226, 12327,19280101,    0,    1
   226, 12327,19280102,    0,    1
   226, 12327,19280103,    0,    1
   226, 12327,19280104,    0,    1
   226, 12327,19280105,    0,    1
   226, 12327,19280106,    0,    1
   226, 12327,19280107,    0,    1
   226, 12327,19280108,    0,    1
   226, 12327,19280109,    0,    1
   226, 12327,19280110,    0,    1
   226, 12327,19280111,    0,    1
   226, 12327,19280112,    0,    1
   226, 12327,19280113,    0,    1
   226, 12327,19280114,    0,    1
   226, 12327,19280115,    0,    1
   226, 12327,19280116,    0,    1
   226, 12327,19280117,    0,    1
   226, 12327,19280118,    0,    1
   226, 12327,19280119,    0,    1
   226, 12327,19280120,    0,    1
   226, 12327,19280121,    0,    1
   226, 12327,19280122,    0,    1
   226, 12327,19280123,    0,    1
   226, 12327,19280124,    0,    1
   226, 12327,19280125,    0,    1
   226, 12327,19280126,    0,    1
   226, 12327,19280127,    0,    1
   226, 12327,19280128,    0,    1
   226, 12327,19280129,    0,    1
   226, 12327,19280130,    0,    1
   226, 12327,19280131,    0,    1
   226, 12327,19280201,    0,    1
   226, 12327,19280202,    0,    1
   226, 12327,19280203,    0,    1
   226, 12327,19280204,    0,    1
   226, 12327,19280205,    0,    1
   226, 12327,19280206,    0,    1
   226, 12327,19280207,    0,    1
   226, 12327,19280208,    0,    1
   226, 12327,19280209,    0,    1
   226, 12327,19280210,    0,    1
   226, 12327,19280211,    0,    1
   226, 12327,19280212,    0,    1
   226, 12327,19280213,    0,    1
   226, 12327,19280214,    0,    1
   226, 12327,19280215,    0,    1
   226, 12327,19280216,    0,    1
   226, 12327,19280217,    0,    1
   226, 12327,19280218,    0,    1
   226, 12327,19280219,    0,    1
   226, 12327,19280220,    0,    1
   226, 12327,19280221,    0,    1
   226, 12327,19280222,    0,    1
   226, 12327,19280223,    0,    1
   226, 12327,19280224,    0,    1
   226, 12327,19280225,    0,    1
   226, 12327,19280226,    0,    1
   226, 12327,19280227,    0,    1
   226, 12327,19280228,    0,    1
   226, 12327,19280229,    0,    1
   226, 12327,19280301,    0,    1
   226, 12327,19280302,    0,    1
   226, 12327,19280303,    0,    1
   226, 12327,19280304,    0,    1
   226, 12327,19280305,    0,    1
   226, 12327,19280306,    0,    1
   226, 12327,19280307,    0,    1
   226, 12327,19280308,    0,    1
   226, 12327,19280309,    0,    1
   226, 12327,19280310,    0,    1
   226, 12327,19280311,    0,    1
   226, 12327,19280312,    0,    1
   226, 12327,19280313,    0,    1
   226, 12327,19280314,    0,    1
   226, 12327,19280315,    0,    1
   226, 12327,19280316,    0,    1
   226, 12327,19280317,    0,    1
   226, 12327,19280318,    0,    1
   226, 12327,19280319,    0,    1
   226, 12327,19280320,    0,    1
   226, 12327,19280321,    0,    1
   226, 12327,19280322,    0,    1
   226, 12327,19280323,    0,    1
   226, 12327,19280324,    0,    1
   226, 12327,19280325,    0,    1
   226, 12327,19280326,    0,    1
   226, 12327,19280327,    0,    1
   226, 12327,19280328,    0,    1
   226, 12327,19280329,    0,    1
   226, 12327,19280330,    0,    1
   226, 12327,19280331,    0,    1
   226, 12327,19280401,    0,    1
   226, 12327,19280402,    0,    1
   226, 12327,19280403,    0,    1
   226, 12327,19280404,    0,    1
   226, 12327,19280405,    0,    1
   226, 12327,19280406,    0,    1
   226, 12327,19280407,    0,    1
   226, 12327,19280408,    0,    1
   226, 12327,19280409,    0,    1
   226, 12327,19280410,    0,    1
   226, 12327,19280411,    0,    1
   226, 12327,19280412,    0,    1
   226, 12327,19280413,    0,    1
   226, 12327,19280414,    0,    1
   226, 12327,19280415,    0,    1
   226, 12327,19280416,    0,    1
   226, 12327,19280417,    0,    1
   226, 12327,19280418,    0,    1
   226, 12327,19280419,    0,    1
   226, 12327,19280420,    0,    1
   226, 12327,19280421,    0,    1
   226, 12327,19280422,    0,    1
   226, 12327,19280423,    0,    1
   226, 12327,19280424,    0,    1
   226, 12327,19280425,    0,    1
   226, 12327,19280426,    0,    1
   226, 12327,19280427,    0,    1
   226, 12327,19280428,    0,    1
   226, 12327,19280429,    0,    1
   226, 12327,19280430,    0,    1
