EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIEUW BUINEN, NETHERLANDS (STAID: 2480)
Blended and updated with sources:500 9094 9218 109286 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2480,   500,18901201,-9999,    9
  2480,   500,18901202,-9999,    9
  2480,   500,18901203,-9999,    9
  2480,   500,18901204,-9999,    9
  2480,   500,18901205,-9999,    9
  2480,   500,18901206,-9999,    9
  2480,   500,18901207,-9999,    9
  2480,   500,18901208,-9999,    9
  2480,   500,18901209,-9999,    9
  2480,   500,18901210,-9999,    9
  2480,   500,18901211,-9999,    9
  2480,   500,18901212,-9999,    9
  2480,   500,18901213,-9999,    9
  2480,   500,18901214,-9999,    9
  2480,   500,18901215,-9999,    9
  2480,   500,18901216,-9999,    9
  2480,   500,18901217,-9999,    9
  2480,   500,18901218,-9999,    9
  2480,   500,18901219,-9999,    9
  2480,   500,18901220,-9999,    9
  2480,   500,18901221,-9999,    9
  2480,   500,18901222,-9999,    9
  2480,   500,18901223,-9999,    9
  2480,   500,18901224,-9999,    9
  2480,   500,18901225,-9999,    9
  2480,   500,18901226,-9999,    9
  2480,   500,18901227,-9999,    9
  2480,   500,18901228,-9999,    9
  2480,   500,18901229,-9999,    9
  2480,   500,18901230,-9999,    9
  2480,   500,18901231,-9999,    9
  2480,   500,18910101,-9999,    9
  2480,   500,18910102,-9999,    9
  2480,   500,18910103,-9999,    9
  2480,   500,18910104,-9999,    9
  2480,   500,18910105,-9999,    9
  2480,   500,18910106,-9999,    9
  2480,   500,18910107,-9999,    9
  2480,   500,18910108,-9999,    9
  2480,   500,18910109,-9999,    9
  2480,   500,18910110,-9999,    9
  2480,   500,18910111,-9999,    9
  2480,   500,18910112,-9999,    9
  2480,   500,18910113,-9999,    9
  2480,   500,18910114,-9999,    9
  2480,   500,18910115,-9999,    9
  2480,   500,18910116,-9999,    9
  2480,   500,18910117,-9999,    9
  2480,   500,18910118,-9999,    9
  2480,   500,18910119,-9999,    9
  2480,   500,18910120,-9999,    9
  2480,   500,18910121,-9999,    9
  2480,   500,18910122,-9999,    9
  2480,   500,18910123,-9999,    9
  2480,   500,18910124,-9999,    9
  2480,   500,18910125,-9999,    9
  2480,   500,18910126,-9999,    9
  2480,   500,18910127,-9999,    9
  2480,   500,18910128,-9999,    9
  2480,   500,18910129,-9999,    9
  2480,   500,18910130,-9999,    9
  2480,   500,18910131,-9999,    9
  2480,   500,18910201,-9999,    9
  2480,   500,18910202,-9999,    9
  2480,   500,18910203,-9999,    9
  2480,   500,18910204,-9999,    9
  2480,   500,18910205,-9999,    9
  2480,   500,18910206,-9999,    9
  2480,   500,18910207,-9999,    9
  2480,   500,18910208,-9999,    9
  2480,   500,18910209,-9999,    9
  2480,   500,18910210,-9999,    9
  2480,   500,18910211,-9999,    9
  2480,   500,18910212,-9999,    9
  2480,   500,18910213,-9999,    9
  2480,   500,18910214,-9999,    9
  2480,   500,18910215,-9999,    9
  2480,   500,18910216,-9999,    9
  2480,   500,18910217,-9999,    9
  2480,   500,18910218,-9999,    9
  2480,   500,18910219,-9999,    9
  2480,   500,18910220,-9999,    9
  2480,   500,18910221,-9999,    9
  2480,   500,18910222,-9999,    9
  2480,   500,18910223,-9999,    9
  2480,   500,18910224,-9999,    9
  2480,   500,18910225,-9999,    9
  2480,   500,18910226,-9999,    9
  2480,   500,18910227,-9999,    9
  2480,   500,18910228,-9999,    9
  2480,   500,18910301,-9999,    9
  2480,   500,18910302,-9999,    9
  2480,   500,18910303,-9999,    9
  2480,   500,18910304,-9999,    9
  2480,   500,18910305,-9999,    9
  2480,   500,18910306,-9999,    9
  2480,   500,18910307,-9999,    9
  2480,   500,18910308,-9999,    9
  2480,   500,18910309,-9999,    9
  2480,   500,18910310,-9999,    9
  2480,   500,18910311,-9999,    9
  2480,   500,18910312,-9999,    9
  2480,   500,18910313,-9999,    9
  2480,   500,18910314,-9999,    9
  2480,   500,18910315,-9999,    9
  2480,   500,18910316,-9999,    9
  2480,   500,18910317,-9999,    9
  2480,   500,18910318,-9999,    9
  2480,   500,18910319,-9999,    9
  2480,   500,18910320,-9999,    9
  2480,   500,18910321,-9999,    9
  2480,   500,18910322,-9999,    9
  2480,   500,18910323,-9999,    9
  2480,   500,18910324,-9999,    9
  2480,   500,18910325,-9999,    9
  2480,   500,18910326,-9999,    9
  2480,   500,18910327,-9999,    9
  2480,   500,18910328,-9999,    9
  2480,   500,18910329,-9999,    9
  2480,   500,18910330,-9999,    9
  2480,   500,18910331,-9999,    9
  2480,   500,18910401,-9999,    9
  2480,   500,18910402,-9999,    9
  2480,   500,18910403,-9999,    9
  2480,   500,18910404,-9999,    9
  2480,   500,18910405,-9999,    9
  2480,   500,18910406,-9999,    9
  2480,   500,18910407,-9999,    9
  2480,   500,18910408,-9999,    9
  2480,   500,18910409,-9999,    9
  2480,   500,18910410,-9999,    9
  2480,   500,18910411,-9999,    9
  2480,   500,18910412,-9999,    9
  2480,   500,18910413,-9999,    9
  2480,   500,18910414,-9999,    9
  2480,   500,18910415,-9999,    9
  2480,   500,18910416,-9999,    9
  2480,   500,18910417,-9999,    9
  2480,   500,18910418,-9999,    9
  2480,   500,18910419,-9999,    9
  2480,   500,18910420,-9999,    9
  2480,   500,18910421,-9999,    9
  2480,   500,18910422,-9999,    9
  2480,   500,18910423,-9999,    9
  2480,   500,18910424,-9999,    9
  2480,   500,18910425,-9999,    9
  2480,   500,18910426,-9999,    9
  2480,   500,18910427,-9999,    9
  2480,   500,18910428,-9999,    9
  2480,   500,18910429,-9999,    9
  2480,   500,18910430,-9999,    9
  2480,   500,18910501,-9999,    9
  2480,   500,18910502,-9999,    9
  2480,   500,18910503,-9999,    9
  2480,   500,18910504,-9999,    9
  2480,   500,18910505,-9999,    9
