EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRANEBJERG OEST-1, DENMARK (STAID: 305)
Blended and updated with sources:418 980 17952 71540 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   305,   418,18711201,-9999,    9
   305,   418,18711202,-9999,    9
   305,   418,18711203,-9999,    9
   305,   418,18711204,-9999,    9
   305,   418,18711205,-9999,    9
   305,   418,18711206,-9999,    9
   305,   418,18711207,-9999,    9
   305,   418,18711208,-9999,    9
   305,   418,18711209,-9999,    9
   305,   418,18711210,-9999,    9
   305,   418,18711211,-9999,    9
   305,   418,18711212,-9999,    9
   305,   418,18711213,-9999,    9
   305,   418,18711214,-9999,    9
   305,   418,18711215,-9999,    9
   305,   418,18711216,-9999,    9
   305,   418,18711217,-9999,    9
   305,   418,18711218,-9999,    9
   305,   418,18711219,-9999,    9
   305,   418,18711220,-9999,    9
   305,   418,18711221,-9999,    9
   305,   418,18711222,-9999,    9
   305,   418,18711223,-9999,    9
   305,   418,18711224,-9999,    9
   305,   418,18711225,-9999,    9
   305,   418,18711226,-9999,    9
   305,   418,18711227,-9999,    9
   305,   418,18711228,-9999,    9
   305,   418,18711229,-9999,    9
   305,   418,18711230,-9999,    9
   305,   418,18711231,-9999,    9
   305,   418,18720101,-9999,    9
   305,   418,18720102,-9999,    9
   305,   418,18720103,-9999,    9
   305,   418,18720104,-9999,    9
   305,   418,18720105,-9999,    9
   305,   418,18720106,-9999,    9
   305,   418,18720107,-9999,    9
