EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station K13                 , NETHERLANDS (STAID: 3179)
Blended and updated with sources:52511 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3179, 52511,20090301,-9999,    9
  3179, 52511,20090302,-9999,    9
  3179, 52511,20090303,-9999,    9
  3179, 52511,20090304,-9999,    9
  3179, 52511,20090305,-9999,    9
  3179, 52511,20090306,-9999,    9
  3179, 52511,20090307,-9999,    9
  3179, 52511,20090308,-9999,    9
  3179, 52511,20090309,-9999,    9
  3179, 52511,20090310,-9999,    9
  3179, 52511,20090311,-9999,    9
  3179, 52511,20090312,-9999,    9
  3179, 52511,20090313,-9999,    9
  3179, 52511,20090314,-9999,    9
  3179, 52511,20090315,-9999,    9
  3179, 52511,20090316,-9999,    9
  3179, 52511,20090317,-9999,    9
  3179, 52511,20090318,-9999,    9
  3179, 52511,20090319,-9999,    9
  3179, 52511,20090320,-9999,    9
  3179, 52511,20090321,-9999,    9
  3179, 52511,20090322,-9999,    9
  3179, 52511,20090323,-9999,    9
  3179, 52511,20090324,-9999,    9
  3179, 52511,20090325,-9999,    9
  3179, 52511,20090326,-9999,    9
  3179, 52511,20090327,-9999,    9
  3179, 52511,20090328,-9999,    9
  3179, 52511,20090329,-9999,    9
  3179, 52511,20090330,-9999,    9
  3179, 52511,20090331,-9999,    9
  3179, 52511,20090401,-9999,    9
  3179, 52511,20090402,-9999,    9
  3179, 52511,20090403,-9999,    9
  3179, 52511,20090404,-9999,    9
  3179, 52511,20090405,-9999,    9
  3179, 52511,20090406,-9999,    9
  3179, 52511,20090407,-9999,    9
  3179, 52511,20090408,-9999,    9
  3179, 52511,20090409,-9999,    9
  3179, 52511,20090410,-9999,    9
  3179, 52511,20090411,-9999,    9
  3179, 52511,20090412,-9999,    9
  3179, 52511,20090413,-9999,    9
  3179, 52511,20090414,-9999,    9
  3179, 52511,20090415,-9999,    9
  3179, 52511,20090416,-9999,    9
  3179, 52511,20090417,-9999,    9
  3179, 52511,20090418,-9999,    9
  3179, 52511,20090419,-9999,    9
  3179, 52511,20090420,-9999,    9
  3179, 52511,20090421,-9999,    9
  3179, 52511,20090422,-9999,    9
  3179, 52511,20090423,-9999,    9
  3179, 52511,20090424,-9999,    9
  3179, 52511,20090425,-9999,    9
  3179, 52511,20090426,-9999,    9
  3179, 52511,20090427,-9999,    9
  3179, 52511,20090428,-9999,    9
  3179, 52511,20090429,-9999,    9
  3179, 52511,20090430,-9999,    9
  3179, 52511,20090501,-9999,    9
  3179, 52511,20090502,-9999,    9
  3179, 52511,20090503,-9999,    9
  3179, 52511,20090504,-9999,    9
  3179, 52511,20090505,-9999,    9
  3179, 52511,20090506,-9999,    9
  3179, 52511,20090507,-9999,    9
  3179, 52511,20090508,-9999,    9
  3179, 52511,20090509,-9999,    9
  3179, 52511,20090510,-9999,    9
  3179, 52511,20090511,-9999,    9
  3179, 52511,20090512,-9999,    9
  3179, 52511,20090513,-9999,    9
  3179, 52511,20090514,-9999,    9
  3179, 52511,20090515,-9999,    9
  3179, 52511,20090516,-9999,    9
  3179, 52511,20090517,-9999,    9
  3179, 52511,20090518,-9999,    9
  3179, 52511,20090519,-9999,    9
  3179, 52511,20090520,-9999,    9
  3179, 52511,20090521,-9999,    9
  3179, 52511,20090522,-9999,    9
  3179, 52511,20090523,-9999,    9
  3179, 52511,20090524,-9999,    9
  3179, 52511,20090525,-9999,    9
  3179, 52511,20090526,-9999,    9
  3179, 52511,20090527,-9999,    9
  3179, 52511,20090528,-9999,    9
  3179, 52511,20090529,-9999,    9
  3179, 52511,20090530,-9999,    9
  3179, 52511,20090531,-9999,    9
  3179, 52511,20090601,-9999,    9
  3179, 52511,20090602,-9999,    9
  3179, 52511,20090603,-9999,    9
  3179, 52511,20090604,-9999,    9
  3179, 52511,20090605,-9999,    9
  3179, 52511,20090606,-9999,    9
