EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GUENSTEDT, GERMANY (STAID: 13125)
Blended and updated with sources:83273 84099 88351 88643 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13125, 88643,18990101,    0,    0
 13125, 88643,18990102,   10,    0
 13125, 88643,18990103,   20,    0
 13125, 88643,18990104,    0,    0
 13125, 88643,18990105,    0,    0
 13125, 88643,18990106,    0,    0
 13125, 88643,18990107,    0,    0
 13125, 88643,18990108,    0,    0
 13125, 88643,18990109,    0,    0
 13125, 88643,18990110,    0,    0
 13125, 88643,18990111,    0,    0
 13125, 88643,18990112,   83,    0
 13125, 88643,18990113,   66,    0
 13125, 88643,18990114,    0,    0
 13125, 88643,18990115,    0,    0
 13125, 88643,18990116,   58,    0
 13125, 88643,18990117,   28,    0
 13125, 88643,18990118,    0,    0
 13125, 88643,18990119,    0,    0
 13125, 88643,18990120,    0,    0
 13125, 88643,18990121,    0,    0
 13125, 88643,18990122,    0,    0
 13125, 88643,18990123,    0,    0
 13125, 88643,18990124,    9,    0
 13125, 88643,18990125,    0,    0
 13125, 88643,18990126,    0,    0
 13125, 88643,18990127,    0,    0
 13125, 88643,18990128,    0,    0
 13125, 88643,18990129,    0,    0
 13125, 88643,18990130,   17,    0
 13125, 88643,18990131,    0,    0
 13125, 88643,18990201,    0,    0
 13125, 88643,18990202,    0,    0
 13125, 88643,18990203,    0,    0
 13125, 88643,18990204,   35,    0
 13125, 88643,18990205,    0,    0
 13125, 88643,18990206,    0,    0
 13125, 88643,18990207,   60,    0
 13125, 88643,18990208,    0,    0
 13125, 88643,18990209,   25,    0
 13125, 88643,18990210,    0,    0
 13125, 88643,18990211,    0,    0
 13125, 88643,18990212,    0,    0
 13125, 88643,18990213,    0,    0
 13125, 88643,18990214,    0,    0
 13125, 88643,18990215,    0,    0
 13125, 88643,18990216,    0,    0
 13125, 88643,18990217,   20,    0
 13125, 88643,18990218,    0,    0
 13125, 88643,18990219,    0,    0
 13125, 88643,18990220,    0,    0
 13125, 88643,18990221,    0,    0
 13125, 88643,18990222,    0,    0
 13125, 88643,18990223,    0,    0
 13125, 88643,18990224,    0,    0
 13125, 88643,18990225,   15,    0
 13125, 88643,18990226,    0,    0
 13125, 88643,18990227,    0,    0
 13125, 88643,18990228,    0,    0
 13125, 88643,18990301,    0,    0
 13125, 88643,18990302,    0,    0
 13125, 88643,18990303,    0,    0
 13125, 88643,18990304,    0,    0
 13125, 88643,18990305,   10,    0
 13125, 88643,18990306,    0,    0
 13125, 88643,18990307,    0,    0
 13125, 88643,18990308,    0,    0
 13125, 88643,18990309,   55,    0
 13125, 88643,18990310,   84,    0
 13125, 88643,18990311,    0,    0
 13125, 88643,18990312,    0,    0
 13125, 88643,18990313,    0,    0
 13125, 88643,18990314,    0,    0
 13125, 88643,18990315,    0,    0
 13125, 88643,18990316,    0,    0
 13125, 88643,18990317,    0,    0
 13125, 88643,18990318,    0,    0
 13125, 88643,18990319,    0,    0
 13125, 88643,18990320,    0,    0
 13125, 88643,18990321,    0,    0
 13125, 88643,18990322,    0,    0
 13125, 88643,18990323,    0,    0
 13125, 88643,18990324,    0,    0
 13125, 88643,18990325,    0,    0
 13125, 88643,18990326,    0,    0
 13125, 88643,18990327,   25,    0
 13125, 88643,18990328,    0,    0
 13125, 88643,18990329,   13,    0
 13125, 88643,18990330,    0,    0
 13125, 88643,18990331,    0,    0
 13125, 88643,18990401,    0,    0
 13125, 88643,18990402,    0,    0
 13125, 88643,18990403,   15,    0
 13125, 88643,18990404,    0,    0
 13125, 88643,18990405,    0,    0
 13125, 88643,18990406,    0,    0
 13125, 88643,18990407,    0,    0
 13125, 88643,18990408,    0,    0
 13125, 88643,18990409,    0,    0
 13125, 88643,18990410,  102,    0
 13125, 88643,18990411,   34,    0
 13125, 88643,18990412,   61,    0
 13125, 88643,18990413,    0,    0
 13125, 88643,18990414,    0,    0
 13125, 88643,18990415,    0,    0
 13125, 88643,18990416,   14,    0
 13125, 88643,18990417,    4,    0
 13125, 88643,18990418,    0,    0
 13125, 88643,18990419,    0,    0
 13125, 88643,18990420,   12,    0
 13125, 88643,18990421,    0,    0
 13125, 88643,18990422,    0,    0
 13125, 88643,18990423,    0,    0
 13125, 88643,18990424,    0,    0
 13125, 88643,18990425,    0,    0
 13125, 88643,18990426,    8,    0
 13125, 88643,18990427,    9,    0
 13125, 88643,18990428,    0,    0
 13125, 88643,18990429,    0,    0
 13125, 88643,18990430,    0,    0
 13125, 88643,18990501,    0,    0
 13125, 88643,18990502,    0,    0
 13125, 88643,18990503,    0,    0
 13125, 88643,18990504,   41,    0
 13125, 88643,18990505,   53,    0
 13125, 88643,18990506,   47,    0
 13125, 88643,18990507,   82,    0
 13125, 88643,18990508,    0,    0
 13125, 88643,18990509,   99,    0
 13125, 88643,18990510,    0,    0
 13125, 88643,18990511,   79,    0
 13125, 88643,18990512,  182,    0
 13125, 88643,18990513,    0,    0
 13125, 88643,18990514,    0,    0
 13125, 88643,18990515,    0,    0
 13125, 88643,18990516,    0,    0
 13125, 88643,18990517,    0,    0
 13125, 88643,18990518,    0,    0
 13125, 88643,18990519,    6,    0
 13125, 88643,18990520,   12,    0
 13125, 88643,18990521,   11,    0
 13125, 88643,18990522,    0,    0
 13125, 88643,18990523,    0,    0
 13125, 88643,18990524,    0,    0
 13125, 88643,18990525,  148,    0
 13125, 88643,18990526,  124,    0
 13125, 88643,18990527,   27,    0
 13125, 88643,18990528,    0,    0
 13125, 88643,18990529,    0,    0
 13125, 88643,18990530,    0,    0
 13125, 88643,18990531,    0,    0
 13125, 88643,18990601,    0,    0
 13125, 88643,18990602,    0,    0
 13125, 88643,18990603,    0,    0
 13125, 88643,18990604,    0,    0
 13125, 88643,18990605,    0,    0
 13125, 88643,18990606,    0,    0
 13125, 88643,18990607,    0,    0
 13125, 88643,18990608,    0,    0
 13125, 88643,18990609,    0,    0
 13125, 88643,18990610,    0,    0
 13125, 88643,18990611,    0,    0
 13125, 88643,18990612,   12,    0
 13125, 88643,18990613,   35,    0
 13125, 88643,18990614,   79,    0
 13125, 88643,18990615,  110,    0
 13125, 88643,18990616,   42,    0
 13125, 88643,18990617,    0,    0
 13125, 88643,18990618,    0,    0
 13125, 88643,18990619,    0,    0
 13125, 88643,18990620,    0,    0
 13125, 88643,18990621,    0,    0
 13125, 88643,18990622,    0,    0
 13125, 88643,18990623,    0,    0
 13125, 88643,18990624,    0,    0
 13125, 88643,18990625,    0,    0
 13125, 88643,18990626,    0,    0
 13125, 88643,18990627,    0,    0
 13125, 88643,18990628,   12,    0
 13125, 88643,18990629,  203,    0
 13125, 88643,18990630,    0,    0
 13125, 88643,18990701,    0,    0
 13125, 88643,18990702,  281,    0
 13125, 88643,18990703,  112,    0
 13125, 88643,18990704,   28,    0
 13125, 88643,18990705,    0,    0
 13125, 88643,18990706,    0,    0
 13125, 88643,18990707,    0,    0
 13125, 88643,18990708,    0,    0
 13125, 88643,18990709,    0,    0
 13125, 88643,18990710,    0,    0
 13125, 88643,18990711,    0,    0
 13125, 88643,18990712,    0,    0
 13125, 88643,18990713,   81,    0
 13125, 88643,18990714,    0,    0
 13125, 88643,18990715,    0,    0
 13125, 88643,18990716,    0,    0
 13125, 88643,18990717,    0,    0
 13125, 88643,18990718,   42,    0
 13125, 88643,18990719,    0,    0
 13125, 88643,18990720,    0,    0
 13125, 88643,18990721,    0,    0
 13125, 88643,18990722,    0,    0
 13125, 88643,18990723,    0,    0
 13125, 88643,18990724,    0,    0
 13125, 88643,18990725,   55,    0
 13125, 88643,18990726,    0,    0
 13125, 88643,18990727,   17,    0
 13125, 88643,18990728,    0,    0
 13125, 88643,18990729,    0,    0
 13125, 88643,18990730,    0,    0
 13125, 88643,18990731,    0,    0
 13125, 88643,18990801,    0,    0
 13125, 88643,18990802,    0,    0
 13125, 88643,18990803,    0,    0
 13125, 88643,18990804,    0,    0
 13125, 88643,18990805,    0,    0
 13125, 88643,18990806,    0,    0
 13125, 88643,18990807,    0,    0
 13125, 88643,18990808,    0,    0
 13125, 88643,18990809,    0,    0
 13125, 88643,18990810,    0,    0
 13125, 88643,18990811,    0,    0
