EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEM'-PORT, RUSSIAN FEDERATION (STAID: 79)
Blended and updated with sources:307 922520 922522 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
    79,   307,19160101,-9999,    9
    79,   307,19160102,-9999,    9
    79,   307,19160103,-9999,    9
    79,   307,19160104,-9999,    9
    79,   307,19160105,-9999,    9
    79,   307,19160106,-9999,    9
    79,   307,19160107,-9999,    9
    79,   307,19160108,-9999,    9
    79,   307,19160109,-9999,    9
    79,   307,19160110,-9999,    9
    79,   307,19160111,-9999,    9
    79,   307,19160112,-9999,    9
    79,   307,19160113,-9999,    9
    79,   307,19160114,-9999,    9
    79,   307,19160115,-9999,    9
    79,   307,19160116,-9999,    9
    79,   307,19160117,-9999,    9
    79,   307,19160118,-9999,    9
    79,   307,19160119,-9999,    9
    79,   307,19160120,-9999,    9
    79,   307,19160121,-9999,    9
    79,   307,19160122,-9999,    9
    79,   307,19160123,-9999,    9
    79,   307,19160124,-9999,    9
    79,   307,19160125,-9999,    9
    79,   307,19160126,-9999,    9
    79,   307,19160127,-9999,    9
    79,   307,19160128,-9999,    9
    79,   307,19160129,-9999,    9
    79,   307,19160130,-9999,    9
    79,   307,19160131,-9999,    9
    79,   307,19160201,-9999,    9
    79,   307,19160202,-9999,    9
    79,   307,19160203,-9999,    9
    79,   307,19160204,-9999,    9
    79,   307,19160205,-9999,    9
    79,   307,19160206,-9999,    9
    79,   307,19160207,-9999,    9
    79,   307,19160208,-9999,    9
    79,   307,19160209,-9999,    9
    79,   307,19160210,-9999,    9
    79,   307,19160211,-9999,    9
    79,   307,19160212,-9999,    9
    79,   307,19160213,-9999,    9
    79,   307,19160214,-9999,    9
    79,   307,19160215,-9999,    9
    79,   307,19160216,-9999,    9
    79,   307,19160217,-9999,    9
