EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUCKENWALDE, GERMANY (STAID: 14013)
Blended and updated with sources:84757 85875 85945 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14013, 85875,19510101,   10,    0
 14013, 85875,19510102,    0,    0
 14013, 85875,19510103,    5,    0
 14013, 85875,19510104,    0,    0
 14013, 85875,19510105,   30,    0
 14013, 85875,19510106,   20,    0
 14013, 85875,19510107,    0,    0
 14013, 85875,19510108,    5,    0
 14013, 85875,19510109,    5,    0
 14013, 85875,19510110,    5,    0
 14013, 85875,19510111,    0,    0
 14013, 85875,19510112,    0,    0
 14013, 85875,19510113,    5,    0
 14013, 85875,19510114,    5,    0
 14013, 85875,19510115,   55,    0
 14013, 85875,19510116,    5,    0
 14013, 85875,19510117,  125,    0
 14013, 85875,19510118,  165,    0
 14013, 85875,19510119,   75,    0
 14013, 85875,19510120,    5,    0
 14013, 85875,19510121,    0,    0
 14013, 85875,19510122,   10,    0
 14013, 85875,19510123,   10,    0
 14013, 85875,19510124,    5,    0
 14013, 85875,19510125,   10,    0
 14013, 85875,19510126,    0,    0
 14013, 85875,19510127,    0,    0
 14013, 85875,19510128,    0,    0
 14013, 85875,19510129,    0,    0
 14013, 85875,19510130,    0,    0
 14013, 85875,19510131,    0,    0
 14013, 85875,19510201,    0,    0
 14013, 85875,19510202,    0,    0
 14013, 85875,19510203,    0,    0
 14013, 85875,19510204,    0,    0
 14013, 85875,19510205,    0,    0
 14013, 85875,19510206,    5,    0
 14013, 85875,19510207,    0,    0
 14013, 85875,19510208,    0,    0
 14013, 85875,19510209,    0,    0
 14013, 85875,19510210,    0,    0
 14013, 85875,19510211,    0,    0
 14013, 85875,19510212,    0,    0
 14013, 85875,19510213,    0,    0
 14013, 85875,19510214,   50,    0
 14013, 85875,19510215,    0,    0
 14013, 85875,19510216,   20,    0
 14013, 85875,19510217,   75,    0
 14013, 85875,19510218,   30,    0
 14013, 85875,19510219,   20,    0
 14013, 85875,19510220,   10,    0
 14013, 85875,19510221,   10,    0
 14013, 85875,19510222,   10,    0
 14013, 85875,19510223,    5,    0
 14013, 85875,19510224,    0,    0
 14013, 85875,19510225,   20,    0
 14013, 85875,19510226,   10,    0
 14013, 85875,19510227,    0,    0
 14013, 85875,19510228,    0,    0
 14013, 85875,19510301,   40,    0
 14013, 85875,19510302,    0,    0
 14013, 85875,19510303,    0,    0
 14013, 85875,19510304,    0,    0
 14013, 85875,19510305,    0,    0
 14013, 85875,19510306,    0,    0
 14013, 85875,19510307,    0,    0
 14013, 85875,19510308,    5,    0
 14013, 85875,19510309,    0,    0
 14013, 85875,19510310,    0,    0
 14013, 85875,19510311,    0,    0
 14013, 85875,19510312,    0,    0
 14013, 85875,19510313,    0,    0
 14013, 85875,19510314,    0,    0
 14013, 85875,19510315,   10,    0
 14013, 85875,19510316,    5,    0
 14013, 85875,19510317,   80,    0
 14013, 85875,19510318,    5,    0
 14013, 85875,19510319,   50,    0
 14013, 85875,19510320,   10,    0
 14013, 85875,19510321,    0,    0
 14013, 85875,19510322,  100,    0
 14013, 85875,19510323,   30,    0
 14013, 85875,19510324,    0,    0
 14013, 85875,19510325,    0,    0
 14013, 85875,19510326,    5,    0
 14013, 85875,19510327,   70,    0
 14013, 85875,19510328,   30,    0
 14013, 85875,19510329,    0,    0
 14013, 85875,19510330,    0,    0
 14013, 85875,19510331,    5,    0
 14013, 85875,19510401,    0,    0
 14013, 85875,19510402,    5,    0
 14013, 85875,19510403,    0,    0
 14013, 85875,19510404,    0,    0
 14013, 85875,19510405,    0,    0
 14013, 85875,19510406,    0,    0
 14013, 85875,19510407,    0,    0
 14013, 85875,19510408,    0,    0
 14013, 85875,19510409,    0,    0
 14013, 85875,19510410,   15,    0
 14013, 85875,19510411,    0,    0
 14013, 85875,19510412,    0,    0
 14013, 85875,19510413,    0,    0
 14013, 85875,19510414,   10,    0
