EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KORF, RUSSIAN FEDERATION (STAID: 3223)
Blended and updated with sources:16994 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3223, 16994,19290101,-9999,    9
  3223, 16994,19290102,-9999,    9
  3223, 16994,19290103,-9999,    9
  3223, 16994,19290104,-9999,    9
  3223, 16994,19290105,-9999,    9
  3223, 16994,19290106,-9999,    9
  3223, 16994,19290107,-9999,    9
  3223, 16994,19290108,-9999,    9
  3223, 16994,19290109,-9999,    9
  3223, 16994,19290110,-9999,    9
  3223, 16994,19290111,-9999,    9
  3223, 16994,19290112,-9999,    9
  3223, 16994,19290113,-9999,    9
  3223, 16994,19290114,-9999,    9
  3223, 16994,19290115,-9999,    9
  3223, 16994,19290116,-9999,    9
  3223, 16994,19290117,-9999,    9
  3223, 16994,19290118,-9999,    9
  3223, 16994,19290119,-9999,    9
  3223, 16994,19290120,-9999,    9
  3223, 16994,19290121,-9999,    9
  3223, 16994,19290122,-9999,    9
  3223, 16994,19290123,-9999,    9
  3223, 16994,19290124,-9999,    9
  3223, 16994,19290125,-9999,    9
  3223, 16994,19290126,-9999,    9
  3223, 16994,19290127,-9999,    9
  3223, 16994,19290128,-9999,    9
  3223, 16994,19290129,-9999,    9
  3223, 16994,19290130,-9999,    9
  3223, 16994,19290131,-9999,    9
  3223, 16994,19290201,-9999,    9
  3223, 16994,19290202,-9999,    9
  3223, 16994,19290203,-9999,    9
  3223, 16994,19290204,-9999,    9
  3223, 16994,19290205,-9999,    9
  3223, 16994,19290206,-9999,    9
  3223, 16994,19290207,-9999,    9
  3223, 16994,19290208,-9999,    9
  3223, 16994,19290209,-9999,    9
  3223, 16994,19290210,-9999,    9
  3223, 16994,19290211,-9999,    9
  3223, 16994,19290212,-9999,    9
  3223, 16994,19290213,-9999,    9
  3223, 16994,19290214,-9999,    9
  3223, 16994,19290215,-9999,    9
  3223, 16994,19290216,-9999,    9
  3223, 16994,19290217,-9999,    9
  3223, 16994,19290218,-9999,    9
