EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GROSSALSLEBEN, GERMANY (STAID: 13076)
Blended and updated with sources:83949 84001 84151 84201 86951 89541 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13076, 89541,19460201,-9999,    9
 13076, 89541,19460202,-9999,    9
 13076, 89541,19460203,-9999,    9
 13076, 89541,19460204,-9999,    9
 13076, 89541,19460205,-9999,    9
 13076, 89541,19460206,-9999,    9
 13076, 89541,19460207,-9999,    9
 13076, 89541,19460208,-9999,    9
 13076, 89541,19460209,-9999,    9
 13076, 89541,19460210,-9999,    9
 13076, 89541,19460211,-9999,    9
 13076, 89541,19460212,-9999,    9
 13076, 89541,19460213,-9999,    9
 13076, 89541,19460214,-9999,    9
 13076, 89541,19460215,-9999,    9
 13076, 89541,19460216,-9999,    9
 13076, 89541,19460217,-9999,    9
 13076, 89541,19460218,    0,    0
 13076, 89541,19460219,   87,    0
 13076, 89541,19460220,   90,    0
 13076, 89541,19460221,   20,    0
 13076, 89541,19460222,   62,    0
 13076, 89541,19460223,    0,    0
 13076, 89541,19460224,    0,    0
 13076, 89541,19460225,    0,    0
 13076, 89541,19460226,    0,    0
 13076, 89541,19460227,   13,    0
 13076, 89541,19460228,   49,    0
 13076, 89541,19460301,    9,    0
 13076, 89541,19460302,    0,    0
 13076, 89541,19460303,    0,    0
 13076, 89541,19460304,   47,    0
 13076, 89541,19460305,   34,    0
 13076, 89541,19460306,    0,    0
 13076, 89541,19460307,    0,    0
 13076, 89541,19460308,    0,    0
 13076, 89541,19460309,    0,    0
 13076, 89541,19460310,   38,    0
 13076, 89541,19460311,   34,    0
 13076, 89541,19460312,    0,    0
 13076, 89541,19460313,    0,    0
 13076, 89541,19460314,    0,    0
 13076, 89541,19460315,    0,    0
 13076, 89541,19460316,    0,    0
 13076, 89541,19460317,    0,    0
 13076, 89541,19460318,    0,    0
 13076, 89541,19460319,    0,    0
 13076, 89541,19460320,    0,    0
 13076, 89541,19460321,    0,    0
 13076, 89541,19460322,    0,    0
 13076, 89541,19460323,    0,    0
 13076, 89541,19460324,    0,    0
 13076, 89541,19460325,    0,    0
 13076, 89541,19460326,    0,    0
 13076, 89541,19460327,    0,    0
 13076, 89541,19460328,    0,    0
 13076, 89541,19460329,    0,    0
 13076, 89541,19460330,    0,    0
 13076, 89541,19460331,    0,    0
 13076, 89541,19460401,    0,    0
 13076, 89541,19460402,    0,    0
 13076, 89541,19460403,    0,    0
 13076, 89541,19460404,    0,    0
 13076, 89541,19460405,    0,    0
 13076, 89541,19460406,    2,    0
 13076, 89541,19460407,    0,    0
 13076, 89541,19460408,    8,    0
 13076, 89541,19460409,    0,    0
 13076, 89541,19460410,    2,    0
 13076, 89541,19460411,    1,    0
 13076, 89541,19460412,    0,    0
 13076, 89541,19460413,    0,    0
 13076, 89541,19460414,    0,    0
 13076, 89541,19460415,    0,    0
 13076, 89541,19460416,    0,    0
 13076, 89541,19460417,    0,    0
 13076, 89541,19460418,   56,    0
 13076, 89541,19460419,    0,    0
 13076, 89541,19460420,    0,    0
 13076, 89541,19460421,    6,    0
 13076, 89541,19460422,    0,    0
 13076, 89541,19460423,    0,    0
 13076, 89541,19460424,    0,    0
 13076, 89541,19460425,    0,    0
 13076, 89541,19460426,    0,    0
 13076, 89541,19460427,    2,    0
 13076, 89541,19460428,   26,    0
 13076, 89541,19460429,    0,    0
 13076, 89541,19460430,    0,    0
 13076, 89541,19460501,    0,    0
 13076, 89541,19460502,    0,    0
 13076, 89541,19460503,    0,    0
 13076, 89541,19460504,    0,    0
 13076, 89541,19460505,    0,    0
 13076, 89541,19460506,    0,    0
 13076, 89541,19460507,    0,    0
 13076, 89541,19460508,    0,    0
 13076, 89541,19460509,    0,    0
 13076, 89541,19460510,    0,    0
 13076, 89541,19460511,    0,    0
 13076, 89541,19460512,    0,    0
 13076, 89541,19460513,   53,    0
 13076, 89541,19460514,   96,    0
 13076, 89541,19460515,    0,    0
 13076, 89541,19460516,   10,    0
 13076, 89541,19460517,   11,    0
 13076, 89541,19460518,    0,    0
 13076, 89541,19460519,    0,    0
 13076, 89541,19460520,    0,    0
 13076, 89541,19460521,    0,    0
 13076, 89541,19460522,    0,    0
 13076, 89541,19460523,    0,    0
 13076, 89541,19460524,   30,    0
 13076, 89541,19460525,   74,    0
 13076, 89541,19460526,   14,    0
 13076, 89541,19460527,    4,    0
 13076, 89541,19460528,    0,    0
 13076, 89541,19460529,    0,    0
 13076, 89541,19460530,   30,    0
 13076, 89541,19460531,    0,    0
 13076, 89541,19460601,    9,    0
 13076, 89541,19460602,   29,    0
 13076, 89541,19460603,    0,    0
 13076, 89541,19460604,    0,    0
 13076, 89541,19460605,    0,    0
 13076, 89541,19460606,    0,    0
 13076, 89541,19460607,    0,    0
 13076, 89541,19460608,    2,    0
 13076, 89541,19460609,    0,    0
 13076, 89541,19460610,   79,    0
 13076, 89541,19460611,    0,    0
 13076, 89541,19460612,    0,    0
 13076, 89541,19460613,  528,    0
 13076, 89541,19460614,  270,    0
