EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAMBERG (AM TAENNIG), GERMANY (STAID: 11986)
Blended and updated with sources:81821 82541 84631 89107 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11986, 89107,19310101,   66,    0
 11986, 89107,19310102,    9,    0
 11986, 89107,19310103,  104,    0
 11986, 89107,19310104,   10,    0
 11986, 89107,19310105,    2,    0
 11986, 89107,19310106,    3,    0
 11986, 89107,19310107,    3,    0
 11986, 89107,19310108,    1,    0
 11986, 89107,19310109,    0,    0
 11986, 89107,19310110,    0,    0
 11986, 89107,19310111,    0,    0
 11986, 89107,19310112,    0,    0
 11986, 89107,19310113,    5,    0
 11986, 89107,19310114,   33,    0
 11986, 89107,19310115,    1,    0
 11986, 89107,19310116,   79,    0
 11986, 89107,19310117,   28,    0
 11986, 89107,19310118,    8,    0
 11986, 89107,19310119,   45,    0
 11986, 89107,19310120,    6,    0
 11986, 89107,19310121,    0,    0
 11986, 89107,19310122,    0,    0
 11986, 89107,19310123,   31,    0
 11986, 89107,19310124,   21,    0
 11986, 89107,19310125,   22,    0
 11986, 89107,19310126,   10,    0
 11986, 89107,19310127,    4,    0
 11986, 89107,19310128,   23,    0
 11986, 89107,19310129,   42,    0
 11986, 89107,19310130,    8,    0
 11986, 89107,19310131,    0,    0
 11986, 89107,19310201,    0,    0
 11986, 89107,19310202,    1,    0
 11986, 89107,19310203,   24,    0
 11986, 89107,19310204,   44,    0
 11986, 89107,19310205,    4,    0
 11986, 89107,19310206,    0,    0
 11986, 89107,19310207,    5,    0
 11986, 89107,19310208,    0,    0
 11986, 89107,19310209,    0,    0
 11986, 89107,19310210,   15,    0
 11986, 89107,19310211,   21,    0
 11986, 89107,19310212,    7,    0
 11986, 89107,19310213,   11,    0
 11986, 89107,19310214,    0,    0
 11986, 89107,19310215,    0,    0
 11986, 89107,19310216,   20,    0
 11986, 89107,19310217,    7,    0
 11986, 89107,19310218,    1,    0
 11986, 89107,19310219,    0,    0
 11986, 89107,19310220,    0,    0
 11986, 89107,19310221,   34,    0
 11986, 89107,19310222,    5,    0
 11986, 89107,19310223,    0,    0
 11986, 89107,19310224,    0,    0
 11986, 89107,19310225,   28,    0
 11986, 89107,19310226,   35,    0
 11986, 89107,19310227,   13,    0
 11986, 89107,19310228,   50,    0
 11986, 89107,19310301,    1,    0
 11986, 89107,19310302,    0,    0
 11986, 89107,19310303,    0,    0
 11986, 89107,19310304,    0,    0
 11986, 89107,19310305,    0,    0
 11986, 89107,19310306,    0,    0
 11986, 89107,19310307,    0,    0
 11986, 89107,19310308,    0,    0
 11986, 89107,19310309,    1,    0
 11986, 89107,19310310,   45,    0
 11986, 89107,19310311,    7,    0
 11986, 89107,19310312,    0,    0
 11986, 89107,19310313,    0,    0
 11986, 89107,19310314,    0,    0
 11986, 89107,19310315,    0,    0
 11986, 89107,19310316,    0,    0
 11986, 89107,19310317,    0,    0
 11986, 89107,19310318,    0,    0
 11986, 89107,19310319,    0,    0
 11986, 89107,19310320,    0,    0
 11986, 89107,19310321,    3,    0
 11986, 89107,19310322,   84,    0
 11986, 89107,19310323,    0,    0
 11986, 89107,19310324,    0,    0
 11986, 89107,19310325,    0,    0
 11986, 89107,19310326,    0,    0
 11986, 89107,19310327,    0,    0
 11986, 89107,19310328,   19,    0
 11986, 89107,19310329,    0,    0
 11986, 89107,19310330,    0,    0
 11986, 89107,19310331,    0,    0
 11986, 89107,19310401,    0,    0
 11986, 89107,19310402,    0,    0
 11986, 89107,19310403,    0,    0
 11986, 89107,19310404,   13,    0
 11986, 89107,19310405,   23,    0
 11986, 89107,19310406,   54,    0
 11986, 89107,19310407,    1,    0
 11986, 89107,19310408,    0,    0
 11986, 89107,19310409,    0,    0
 11986, 89107,19310410,    2,    0
 11986, 89107,19310411,    0,    0
 11986, 89107,19310412,    0,    0
 11986, 89107,19310413,    7,    0
 11986, 89107,19310414,   17,    0
 11986, 89107,19310415,   21,    0
 11986, 89107,19310416,    0,    0
 11986, 89107,19310417,   55,    0
 11986, 89107,19310418,   22,    0
 11986, 89107,19310419,    0,    0
 11986, 89107,19310420,    0,    0
 11986, 89107,19310421,    7,    0
 11986, 89107,19310422,    6,    0
 11986, 89107,19310423,    0,    0
 11986, 89107,19310424,    0,    0
 11986, 89107,19310425,   17,    0
 11986, 89107,19310426,   26,    0
 11986, 89107,19310427,   19,    0
 11986, 89107,19310428,   41,    0
 11986, 89107,19310429,   76,    0
 11986, 89107,19310430,    1,    0
 11986, 89107,19310501,    0,    0
 11986, 89107,19310502,    0,    0
 11986, 89107,19310503,   32,    0
 11986, 89107,19310504,    4,    0
 11986, 89107,19310505,   90,    0
 11986, 89107,19310506,  143,    0
 11986, 89107,19310507,   11,    0
 11986, 89107,19310508,    0,    0
 11986, 89107,19310509,    3,    0
 11986, 89107,19310510,    1,    0
 11986, 89107,19310511,    0,    0
 11986, 89107,19310512,    0,    0
 11986, 89107,19310513,    0,    0
 11986, 89107,19310514,    0,    0
 11986, 89107,19310515,   31,    0
 11986, 89107,19310516,    0,    0
 11986, 89107,19310517,    0,    0
 11986, 89107,19310518,    0,    0
 11986, 89107,19310519,    0,    0
 11986, 89107,19310520,  151,    0
 11986, 89107,19310521,   23,    0
 11986, 89107,19310522,    0,    0
 11986, 89107,19310523,    0,    0
 11986, 89107,19310524,    0,    0
 11986, 89107,19310525,    0,    0
 11986, 89107,19310526,    0,    0
 11986, 89107,19310527,    0,    0
 11986, 89107,19310528,    0,    0
 11986, 89107,19310529,    0,    0
 11986, 89107,19310530,   49,    0
 11986, 89107,19310531,    0,    0
 11986, 89107,19310601,   18,    0
 11986, 89107,19310602,   20,    0
 11986, 89107,19310603,    2,    0
 11986, 89107,19310604,    1,    0
 11986, 89107,19310605,    0,    0
 11986, 89107,19310606,    2,    0
 11986, 89107,19310607,   56,    0
 11986, 89107,19310608,   17,    0
 11986, 89107,19310609,   35,    0
 11986, 89107,19310610,    2,    0
 11986, 89107,19310611,    0,    0
 11986, 89107,19310612,    1,    0
 11986, 89107,19310613,    0,    0
 11986, 89107,19310614,   10,    0
 11986, 89107,19310615,    0,    0
