EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOERSSUM-SEINSTEDT, GERMANY (STAID: 16305)
Blended and updated with sources:82495 87933 89105 90459 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16305, 87933,19310101,   64,    0
 16305, 87933,19310102,   47,    0
 16305, 87933,19310103,   37,    0
 16305, 87933,19310104,    0,    0
 16305, 87933,19310105,   46,    0
 16305, 87933,19310106,    9,    0
 16305, 87933,19310107,    0,    0
 16305, 87933,19310108,    0,    0
 16305, 87933,19310109,    3,    0
 16305, 87933,19310110,    0,    0
 16305, 87933,19310111,    0,    0
 16305, 87933,19310112,    0,    0
 16305, 87933,19310113,    0,    0
 16305, 87933,19310114,    0,    0
 16305, 87933,19310115,    0,    0
 16305, 87933,19310116,  169,    0
 16305, 87933,19310117,   96,    0
 16305, 87933,19310118,    0,    0
 16305, 87933,19310119,   47,    0
 16305, 87933,19310120,    0,    0
 16305, 87933,19310121,    0,    0
 16305, 87933,19310122,    0,    0
 16305, 87933,19310123,    3,    0
 16305, 87933,19310124,    0,    0
 16305, 87933,19310125,   54,    0
 16305, 87933,19310126,   24,    0
 16305, 87933,19310127,    0,    0
 16305, 87933,19310128,   17,    0
 16305, 87933,19310129,    0,    0
 16305, 87933,19310130,    0,    0
 16305, 87933,19310131,    0,    0
 16305, 87933,19310201,    0,    0
 16305, 87933,19310202,   10,    0
 16305, 87933,19310203,   23,    0
 16305, 87933,19310204,    0,    0
 16305, 87933,19310205,   18,    0
 16305, 87933,19310206,    3,    0
 16305, 87933,19310207,    0,    0
 16305, 87933,19310208,    0,    0
 16305, 87933,19310209,    0,    0
 16305, 87933,19310210,   91,    0
 16305, 87933,19310211,   10,    0
 16305, 87933,19310212,   12,    0
 16305, 87933,19310213,    0,    0
 16305, 87933,19310214,    0,    0
 16305, 87933,19310215,    0,    0
 16305, 87933,19310216,    0,    0
 16305, 87933,19310217,    9,    0
 16305, 87933,19310218,    0,    0
 16305, 87933,19310219,    0,    0
 16305, 87933,19310220,    0,    0
 16305, 87933,19310221,    0,    0
 16305, 87933,19310222,    0,    0
 16305, 87933,19310223,    0,    0
 16305, 87933,19310224,    0,    0
 16305, 87933,19310225,    0,    0
 16305, 87933,19310226,   49,    0
 16305, 87933,19310227,    0,    0
 16305, 87933,19310228,   57,    0
 16305, 87933,19310301,    0,    0
 16305, 87933,19310302,    0,    0
 16305, 87933,19310303,    0,    0
