EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BARABINSK, RUSSIAN FEDERATION (STAID: 3231)
Blended and updated with sources:17108 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3231, 17108,19000101,-9999,    9
  3231, 17108,19000102,-9999,    9
  3231, 17108,19000103,-9999,    9
  3231, 17108,19000104,-9999,    9
  3231, 17108,19000105,-9999,    9
  3231, 17108,19000106,-9999,    9
  3231, 17108,19000107,-9999,    9
  3231, 17108,19000108,-9999,    9
  3231, 17108,19000109,-9999,    9
  3231, 17108,19000110,-9999,    9
  3231, 17108,19000111,-9999,    9
  3231, 17108,19000112,-9999,    9
  3231, 17108,19000113,-9999,    9
  3231, 17108,19000114,-9999,    9
  3231, 17108,19000115,-9999,    9
  3231, 17108,19000116,-9999,    9
  3231, 17108,19000117,-9999,    9
  3231, 17108,19000118,-9999,    9
  3231, 17108,19000119,-9999,    9
  3231, 17108,19000120,-9999,    9
  3231, 17108,19000121,-9999,    9
  3231, 17108,19000122,-9999,    9
  3231, 17108,19000123,-9999,    9
  3231, 17108,19000124,-9999,    9
  3231, 17108,19000125,-9999,    9
  3231, 17108,19000126,-9999,    9
  3231, 17108,19000127,-9999,    9
  3231, 17108,19000128,-9999,    9
  3231, 17108,19000129,-9999,    9
  3231, 17108,19000130,-9999,    9
  3231, 17108,19000131,-9999,    9
  3231, 17108,19000201,-9999,    9
  3231, 17108,19000202,-9999,    9
  3231, 17108,19000203,-9999,    9
  3231, 17108,19000204,-9999,    9
  3231, 17108,19000205,-9999,    9
  3231, 17108,19000206,-9999,    9
  3231, 17108,19000207,-9999,    9
  3231, 17108,19000208,-9999,    9
  3231, 17108,19000209,-9999,    9
  3231, 17108,19000210,-9999,    9
  3231, 17108,19000211,-9999,    9
  3231, 17108,19000212,-9999,    9
  3231, 17108,19000213,-9999,    9
  3231, 17108,19000214,-9999,    9
  3231, 17108,19000215,-9999,    9
  3231, 17108,19000216,-9999,    9
  3231, 17108,19000217,-9999,    9
  3231, 17108,19000218,-9999,    9
  3231, 17108,19000219,-9999,    9
  3231, 17108,19000220,-9999,    9
  3231, 17108,19000221,-9999,    9
  3231, 17108,19000222,-9999,    9
  3231, 17108,19000223,-9999,    9
  3231, 17108,19000224,-9999,    9
  3231, 17108,19000225,-9999,    9
  3231, 17108,19000226,-9999,    9
  3231, 17108,19000227,-9999,    9
  3231, 17108,19000228,-9999,    9
  3231, 17108,19000301,-9999,    9
  3231, 17108,19000302,-9999,    9
  3231, 17108,19000303,-9999,    9
  3231, 17108,19000304,-9999,    9
  3231, 17108,19000305,-9999,    9
  3231, 17108,19000306,-9999,    9
  3231, 17108,19000307,-9999,    9
  3231, 17108,19000308,-9999,    9
  3231, 17108,19000309,-9999,    9
  3231, 17108,19000310,-9999,    9
  3231, 17108,19000311,-9999,    9
  3231, 17108,19000312,-9999,    9
  3231, 17108,19000313,-9999,    9
  3231, 17108,19000314,-9999,    9
  3231, 17108,19000315,-9999,    9
  3231, 17108,19000316,-9999,    9
  3231, 17108,19000317,-9999,    9
  3231, 17108,19000318,-9999,    9
  3231, 17108,19000319,-9999,    9
  3231, 17108,19000320,-9999,    9
  3231, 17108,19000321,-9999,    9
  3231, 17108,19000322,-9999,    9
  3231, 17108,19000323,-9999,    9
  3231, 17108,19000324,-9999,    9
  3231, 17108,19000325,-9999,    9
  3231, 17108,19000326,-9999,    9
  3231, 17108,19000327,-9999,    9
  3231, 17108,19000328,-9999,    9
  3231, 17108,19000329,-9999,    9
  3231, 17108,19000330,-9999,    9
  3231, 17108,19000331,-9999,    9
  3231, 17108,19000401,-9999,    9
  3231, 17108,19000402,-9999,    9
  3231, 17108,19000403,-9999,    9
  3231, 17108,19000404,-9999,    9
  3231, 17108,19000405,-9999,    9
  3231, 17108,19000406,-9999,    9
  3231, 17108,19000407,-9999,    9
  3231, 17108,19000408,-9999,    9
  3231, 17108,19000409,-9999,    9
  3231, 17108,19000410,-9999,    9
  3231, 17108,19000411,-9999,    9
  3231, 17108,19000412,-9999,    9
  3231, 17108,19000413,-9999,    9
  3231, 17108,19000414,-9999,    9
  3231, 17108,19000415,-9999,    9
  3231, 17108,19000416,-9999,    9
  3231, 17108,19000417,-9999,    9
  3231, 17108,19000418,-9999,    9
  3231, 17108,19000419,-9999,    9
  3231, 17108,19000420,-9999,    9
  3231, 17108,19000421,-9999,    9
  3231, 17108,19000422,-9999,    9
  3231, 17108,19000423,-9999,    9
  3231, 17108,19000424,-9999,    9
  3231, 17108,19000425,-9999,    9
  3231, 17108,19000426,-9999,    9
  3231, 17108,19000427,-9999,    9
  3231, 17108,19000428,-9999,    9
  3231, 17108,19000429,-9999,    9
  3231, 17108,19000430,-9999,    9
  3231, 17108,19000501,-9999,    9
  3231, 17108,19000502,-9999,    9
  3231, 17108,19000503,-9999,    9
  3231, 17108,19000504,-9999,    9
  3231, 17108,19000505,-9999,    9
  3231, 17108,19000506,-9999,    9
  3231, 17108,19000507,-9999,    9
  3231, 17108,19000508,-9999,    9
  3231, 17108,19000509,-9999,    9
  3231, 17108,19000510,-9999,    9
  3231, 17108,19000511,-9999,    9
  3231, 17108,19000512,-9999,    9
  3231, 17108,19000513,-9999,    9
  3231, 17108,19000514,-9999,    9
  3231, 17108,19000515,-9999,    9
  3231, 17108,19000516,-9999,    9
  3231, 17108,19000517,-9999,    9
  3231, 17108,19000518,-9999,    9
  3231, 17108,19000519,-9999,    9
  3231, 17108,19000520,-9999,    9
  3231, 17108,19000521,-9999,    9
  3231, 17108,19000522,-9999,    9
  3231, 17108,19000523,-9999,    9
  3231, 17108,19000524,-9999,    9
  3231, 17108,19000525,-9999,    9
  3231, 17108,19000526,-9999,    9
  3231, 17108,19000527,-9999,    9
  3231, 17108,19000528,-9999,    9
  3231, 17108,19000529,-9999,    9
  3231, 17108,19000530,-9999,    9
  3231, 17108,19000531,-9999,    9
  3231, 17108,19000601,-9999,    9
  3231, 17108,19000602,-9999,    9
  3231, 17108,19000603,-9999,    9
  3231, 17108,19000604,-9999,    9
  3231, 17108,19000605,-9999,    9
  3231, 17108,19000606,-9999,    9
  3231, 17108,19000607,-9999,    9
  3231, 17108,19000608,-9999,    9
  3231, 17108,19000609,-9999,    9
  3231, 17108,19000610,-9999,    9
  3231, 17108,19000611,-9999,    9
  3231, 17108,19000612,-9999,    9
  3231, 17108,19000613,-9999,    9
  3231, 17108,19000614,-9999,    9
  3231, 17108,19000615,-9999,    9
  3231, 17108,19000616,-9999,    9
  3231, 17108,19000617,-9999,    9
  3231, 17108,19000618,-9999,    9
  3231, 17108,19000619,-9999,    9
  3231, 17108,19000620,-9999,    9
  3231, 17108,19000621,-9999,    9
  3231, 17108,19000622,-9999,    9
  3231, 17108,19000623,-9999,    9
