EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEHRHEIM-PFAFFENWIESBACH, GERMANY (STAID: 15762)
Blended and updated with sources:84783 84785 89373 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15762, 89373,19310101,   68,    0
 15762, 89373,19310102,  100,    0
 15762, 89373,19310103,   66,    0
 15762, 89373,19310104,   22,    0
 15762, 89373,19310105,    0,    0
 15762, 89373,19310106,    0,    0
 15762, 89373,19310107,    0,    0
 15762, 89373,19310108,    0,    0
 15762, 89373,19310109,    0,    0
 15762, 89373,19310110,    0,    0
 15762, 89373,19310111,    0,    0
 15762, 89373,19310112,    0,    0
 15762, 89373,19310113,    0,    0
 15762, 89373,19310114,   53,    0
 15762, 89373,19310115,    0,    0
 15762, 89373,19310116,  100,    0
 15762, 89373,19310117,   60,    0
 15762, 89373,19310118,   29,    0
 15762, 89373,19310119,    0,    0
 15762, 89373,19310120,    0,    0
 15762, 89373,19310121,    0,    0
 15762, 89373,19310122,    0,    0
 15762, 89373,19310123,  105,    0
 15762, 89373,19310124,   54,    0
 15762, 89373,19310125,   30,    0
 15762, 89373,19310126,    0,    0
 15762, 89373,19310127,    0,    0
 15762, 89373,19310128,   25,    0
 15762, 89373,19310129,   31,    0
 15762, 89373,19310130,   12,    0
 15762, 89373,19310131,    0,    0
 15762, 89373,19310201,    0,    0
 15762, 89373,19310202,   30,    0
 15762, 89373,19310203,   14,    0
 15762, 89373,19310204,   23,    0
 15762, 89373,19310205,   15,    0
 15762, 89373,19310206,    0,    0
 15762, 89373,19310207,    0,    0
 15762, 89373,19310208,    0,    0
 15762, 89373,19310209,    0,    0
 15762, 89373,19310210,    0,    0
 15762, 89373,19310211,  145,    0
 15762, 89373,19310212,   39,    0
 15762, 89373,19310213,    0,    0
 15762, 89373,19310214,    0,    0
 15762, 89373,19310215,    3,    0
 15762, 89373,19310216,   98,    0
 15762, 89373,19310217,   85,    0
 15762, 89373,19310218,    0,    0
 15762, 89373,19310219,    0,    0
 15762, 89373,19310220,    0,    0
 15762, 89373,19310221,    0,    0
 15762, 89373,19310222,    0,    0
 15762, 89373,19310223,    0,    0
 15762, 89373,19310224,    0,    0
 15762, 89373,19310225,    0,    0
