EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIEKERK, NETHERLANDS (STAID: 2479)
Blended and updated with sources:1912 9202 9216 109441 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  2479,109441,19041201,-9999,    9
  2479,109441,19041202,-9999,    9
  2479,109441,19041203,-9999,    9
  2479,109441,19041204,-9999,    9
  2479,109441,19041205,-9999,    9
  2479,109441,19041206,-9999,    9
  2479,109441,19041207,-9999,    9
  2479,109441,19041208,-9999,    9
  2479,109441,19041209,-9999,    9
  2479,109441,19041210,-9999,    9
  2479,109441,19041211,-9999,    9
  2479,109441,19041212,-9999,    9
  2479,109441,19041213,-9999,    9
  2479,109441,19041214,-9999,    9
  2479,109441,19041215,-9999,    9
  2479,109441,19041216,-9999,    9
  2479,109441,19041217,-9999,    9
  2479,109441,19041218,-9999,    9
  2479,109441,19041219,-9999,    9
  2479,109441,19041220,-9999,    9
  2479,109441,19041221,-9999,    9
  2479,109441,19041222,-9999,    9
  2479,109441,19041223,-9999,    9
  2479,109441,19041224,-9999,    9
  2479,109441,19041225,-9999,    9
  2479,109441,19041226,-9999,    9
  2479,109441,19041227,-9999,    9
  2479,109441,19041228,-9999,    9
  2479,109441,19041229,-9999,    9
  2479,109441,19041230,-9999,    9
  2479,109441,19041231,    0,    0
  2479,109441,19050101,    0,    0
  2479,109441,19050102,    3,    0
  2479,109441,19050103,   21,    0
  2479,109441,19050104,   70,    0
  2479,109441,19050105,   32,    0
  2479,109441,19050106,   72,    0
  2479,109441,19050107,    0,    0
  2479,109441,19050108,    0,    0
  2479,109441,19050109,   77,    0
  2479,109441,19050110,    0,    0
  2479,109441,19050111,    9,    0
  2479,109441,19050112,   15,    0
  2479,109441,19050113,    3,    0
  2479,109441,19050114,    0,    0
  2479,109441,19050115,    0,    0
  2479,109441,19050116,    0,    0
  2479,109441,19050117,   15,    0
  2479,109441,19050118,    0,    0
  2479,109441,19050119,    0,    0
  2479,109441,19050120,    0,    0
  2479,109441,19050121,    0,    0
  2479,109441,19050122,    1,    0
  2479,109441,19050123,    0,    0
  2479,109441,19050124,    8,    0
  2479,109441,19050125,    6,    0
  2479,109441,19050126,    0,    0
  2479,109441,19050127,    7,    0
  2479,109441,19050128,   18,    0
  2479,109441,19050129,    0,    0
  2479,109441,19050130,    0,    0
  2479,109441,19050131,    0,    0
  2479,109441,19050201,    0,    0
  2479,109441,19050202,   18,    0
  2479,109441,19050203,   16,    0
  2479,109441,19050204,   18,    0
  2479,109441,19050205,    0,    0
  2479,109441,19050206,   25,    0
