EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EBERMANNSDORF-PITTERSBERG, GERMANY (STAID: 12553)
Blended and updated with sources:82955 83181 87981 88169 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12553, 88169,19310101,   59,    0
 12553, 88169,19310102,   10,    0
 12553, 88169,19310103,  118,    0
 12553, 88169,19310104,   86,    0
 12553, 88169,19310105,    0,    0
 12553, 88169,19310106,    0,    0
 12553, 88169,19310107,    0,    0
 12553, 88169,19310108,    0,    0
 12553, 88169,19310109,    0,    0
 12553, 88169,19310110,    0,    0
 12553, 88169,19310111,    0,    0
 12553, 88169,19310112,    0,    0
 12553, 88169,19310113,    0,    0
 12553, 88169,19310114,   17,    0
 12553, 88169,19310115,    0,    0
 12553, 88169,19310116,   31,    0
 12553, 88169,19310117,   24,    0
 12553, 88169,19310118,    6,    0
 12553, 88169,19310119,   44,    0
 12553, 88169,19310120,   17,    0
 12553, 88169,19310121,    0,    0
 12553, 88169,19310122,    0,    0
 12553, 88169,19310123,   23,    0
 12553, 88169,19310124,   59,    0
 12553, 88169,19310125,   43,    0
 12553, 88169,19310126,   21,    0
 12553, 88169,19310127,    0,    0
 12553, 88169,19310128,   43,    0
 12553, 88169,19310129,   43,    0
 12553, 88169,19310130,    0,    0
 12553, 88169,19310131,    0,    0
 12553, 88169,19310201,    0,    0
 12553, 88169,19310202,    0,    0
 12553, 88169,19310203,    0,    0
 12553, 88169,19310204,   37,    0
 12553, 88169,19310205,    0,    0
 12553, 88169,19310206,   19,    0
 12553, 88169,19310207,    0,    0
 12553, 88169,19310208,    0,    0
 12553, 88169,19310209,    0,    0
 12553, 88169,19310210,    0,    0
 12553, 88169,19310211,   18,    0
 12553, 88169,19310212,   25,    0
 12553, 88169,19310213,    5,    0
 12553, 88169,19310214,   45,    0
 12553, 88169,19310215,    0,    0
 12553, 88169,19310216,    0,    0
 12553, 88169,19310217,    0,    0
 12553, 88169,19310218,    0,    0
 12553, 88169,19310219,    0,    0
 12553, 88169,19310220,    0,    0
 12553, 88169,19310221,   97,    0
 12553, 88169,19310222,   52,    0
 12553, 88169,19310223,    0,    0
 12553, 88169,19310224,    0,    0
 12553, 88169,19310225,    0,    0
 12553, 88169,19310226,   41,    0
 12553, 88169,19310227,   24,    0
 12553, 88169,19310228,   68,    0
 12553, 88169,19310301,    0,    0
 12553, 88169,19310302,    0,    0
 12553, 88169,19310303,    0,    0
 12553, 88169,19310304,    0,    0
 12553, 88169,19310305,    0,    0
 12553, 88169,19310306,    0,    0
 12553, 88169,19310307,   19,    0
 12553, 88169,19310308,   32,    0
 12553, 88169,19310309,   16,    0
 12553, 88169,19310310,   60,    0
 12553, 88169,19310311,    0,    0
 12553, 88169,19310312,    0,    0
 12553, 88169,19310313,    0,    0
 12553, 88169,19310314,    0,    0
 12553, 88169,19310315,    0,    0
 12553, 88169,19310316,    0,    0
 12553, 88169,19310317,    0,    0
 12553, 88169,19310318,    0,    0
 12553, 88169,19310319,    0,    0
 12553, 88169,19310320,    0,    0
 12553, 88169,19310321,   31,    0
 12553, 88169,19310322,   28,    0
 12553, 88169,19310323,    0,    0
 12553, 88169,19310324,    0,    0
