EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAUMANNSHOF, GERMANY (STAID: 12004)
Blended and updated with sources:81857 83627 87173 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12004, 83627,19310101,   56,    0
 12004, 83627,19310102,   20,    0
 12004, 83627,19310103,  102,    0
 12004, 83627,19310104,   87,    0
 12004, 83627,19310105,    1,    0
 12004, 83627,19310106,    7,    0
 12004, 83627,19310107,    0,    0
 12004, 83627,19310108,    0,    0
 12004, 83627,19310109,    0,    0
 12004, 83627,19310110,    0,    0
 12004, 83627,19310111,    0,    0
 12004, 83627,19310112,    0,    0
 12004, 83627,19310113,    0,    0
 12004, 83627,19310114,    0,    0
 12004, 83627,19310115,    1,    0
 12004, 83627,19310116,   11,    0
 12004, 83627,19310117,   75,    0
 12004, 83627,19310118,   24,    0
 12004, 83627,19310119,   50,    0
 12004, 83627,19310120,   42,    0
 12004, 83627,19310121,    3,    0
 12004, 83627,19310122,    0,    0
 12004, 83627,19310123,   17,    0
 12004, 83627,19310124,   26,    0
 12004, 83627,19310125,   14,    0
 12004, 83627,19310126,   52,    0
 12004, 83627,19310127,   20,    0
 12004, 83627,19310128,   22,    0
 12004, 83627,19310129,    8,    0
 12004, 83627,19310130,    0,    0
 12004, 83627,19310131,    0,    0
 12004, 83627,19310201,    0,    0
 12004, 83627,19310202,    0,    0
 12004, 83627,19310203,    0,    0
 12004, 83627,19310204,   10,    0
 12004, 83627,19310205,    4,    0
 12004, 83627,19310206,    0,    0
 12004, 83627,19310207,   13,    0
 12004, 83627,19310208,    2,    0
 12004, 83627,19310209,    0,    0
 12004, 83627,19310210,    4,    0
 12004, 83627,19310211,   14,    0
