EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOSSAUTAL-HILTERSKLINGEN, GERMANY (STAID: 14210)
Blended and updated with sources:83875 86269 87427 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14210, 86269,19310101,  102,    0
 14210, 86269,19310102,   60,    0
 14210, 86269,19310103,  191,    0
 14210, 86269,19310104,    6,    0
 14210, 86269,19310105,   13,    0
 14210, 86269,19310106,    6,    0
 14210, 86269,19310107,   18,    0
 14210, 86269,19310108,   10,    0
 14210, 86269,19310109,    0,    0
 14210, 86269,19310110,    0,    0
 14210, 86269,19310111,    0,    0
 14210, 86269,19310112,    0,    0
 14210, 86269,19310113,    0,    0
 14210, 86269,19310114,    2,    0
 14210, 86269,19310115,   40,    0
 14210, 86269,19310116,  327,    0
 14210, 86269,19310117,   47,    0
 14210, 86269,19310118,   52,    0
 14210, 86269,19310119,  116,    0
 14210, 86269,19310120,   32,    0
 14210, 86269,19310121,    2,    0
 14210, 86269,19310122,    0,    0
 14210, 86269,19310123,   76,    0
 14210, 86269,19310124,   22,    0
 14210, 86269,19310125,  158,    0
 14210, 86269,19310126,  102,    0
 14210, 86269,19310127,    0,    0
 14210, 86269,19310128,  205,    0
 14210, 86269,19310129,  133,    0
 14210, 86269,19310130,   11,    0
 14210, 86269,19310131,    0,    0
 14210, 86269,19310201,    0,    0
 14210, 86269,19310202,   30,    0
 14210, 86269,19310203,   13,    0
 14210, 86269,19310204,   11,    0
 14210, 86269,19310205,   12,    0
 14210, 86269,19310206,    3,    0
 14210, 86269,19310207,    0,    0
 14210, 86269,19310208,    0,    0
 14210, 86269,19310209,    0,    0
 14210, 86269,19310210,   75,    0
 14210, 86269,19310211,   55,    0
 14210, 86269,19310212,   14,    0
 14210, 86269,19310213,   19,    0
 14210, 86269,19310214,    0,    0
 14210, 86269,19310215,    6,    0
 14210, 86269,19310216,   45,    0
 14210, 86269,19310217,   31,    0
 14210, 86269,19310218,    0,    0
 14210, 86269,19310219,    0,    0
 14210, 86269,19310220,    0,    0
 14210, 86269,19310221,   11,    0
 14210, 86269,19310222,    1,    0
 14210, 86269,19310223,    0,    0
 14210, 86269,19310224,    0,    0
 14210, 86269,19310225,   31,    0
 14210, 86269,19310226,  166,    0
 14210, 86269,19310227,   30,    0
 14210, 86269,19310228,  171,    0
 14210, 86269,19310301,   71,    0
 14210, 86269,19310302,    0,    0
 14210, 86269,19310303,    0,    0
 14210, 86269,19310304,    0,    0
 14210, 86269,19310305,    0,    0
 14210, 86269,19310306,    1,    0
 14210, 86269,19310307,   16,    0
 14210, 86269,19310308,    0,    0
 14210, 86269,19310309,    0,    0
 14210, 86269,19310310,   15,    0
 14210, 86269,19310311,    3,    0
 14210, 86269,19310312,    1,    0
 14210, 86269,19310313,    0,    0
 14210, 86269,19310314,    0,    0
 14210, 86269,19310315,    0,    0
 14210, 86269,19310316,    0,    0
 14210, 86269,19310317,    0,    0
 14210, 86269,19310318,    0,    0
 14210, 86269,19310319,    0,    0
 14210, 86269,19310320,    0,    0
 14210, 86269,19310321,   18,    0
 14210, 86269,19310322,   40,    0
 14210, 86269,19310323,    0,    0
 14210, 86269,19310324,    0,    0
 14210, 86269,19310325,    0,    0
 14210, 86269,19310326,    0,    0
 14210, 86269,19310327,    0,    0
 14210, 86269,19310328,   24,    0
 14210, 86269,19310329,    0,    0
 14210, 86269,19310330,    0,    0
 14210, 86269,19310331,    0,    0
 14210, 86269,19310401,    0,    0
 14210, 86269,19310402,    0,    0
 14210, 86269,19310403,    3,    0
 14210, 86269,19310404,   53,    0
 14210, 86269,19310405,  154,    0
 14210, 86269,19310406,  174,    0
 14210, 86269,19310407,    0,    0
 14210, 86269,19310408,    0,    0
 14210, 86269,19310409,    0,    0
 14210, 86269,19310410,    1,    0
 14210, 86269,19310411,    0,    0
 14210, 86269,19310412,    0,    0
 14210, 86269,19310413,    0,    0
 14210, 86269,19310414,   24,    0
 14210, 86269,19310415,   17,    0
 14210, 86269,19310416,   74,    0
 14210, 86269,19310417,  266,    0
 14210, 86269,19310418,   19,    0
 14210, 86269,19310419,    0,    0
 14210, 86269,19310420,    0,    0
 14210, 86269,19310421,    0,    0
 14210, 86269,19310422,   26,    0
 14210, 86269,19310423,    3,    0
 14210, 86269,19310424,    0,    0
 14210, 86269,19310425,  119,    0
 14210, 86269,19310426,   25,    0
 14210, 86269,19310427,  206,    0
 14210, 86269,19310428,  246,    0
 14210, 86269,19310429,   95,    0
 14210, 86269,19310430,    0,    0
 14210, 86269,19310501,    0,    0
