EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARSCHACHT-NIEDER MARSCHACHT, GERMANY (STAID: 14104)
Blended and updated with sources:81711 83601 86057 89697 120738 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14104, 81711,18900101,    0,    0
 14104, 81711,18900102,    0,    0
 14104, 81711,18900103,    0,    0
 14104, 81711,18900104,    2,    0
 14104, 81711,18900105,    6,    0
 14104, 81711,18900106,    0,    0
 14104, 81711,18900107,    0,    0
 14104, 81711,18900108,    0,    0
 14104, 81711,18900109,   38,    0
 14104, 81711,18900110,   20,    0
 14104, 81711,18900111,    0,    0
 14104, 81711,18900112,  129,    0
 14104, 81711,18900113,    0,    0
 14104, 81711,18900114,    3,    0
 14104, 81711,18900115,    0,    0
 14104, 81711,18900116,    9,    0
 14104, 81711,18900117,    0,    0
 14104, 81711,18900118,   12,    0
 14104, 81711,18900119,   16,    0
 14104, 81711,18900120,   78,    0
 14104, 81711,18900121,    0,    0
 14104, 81711,18900122,    8,    0
 14104, 81711,18900123,   73,    0
 14104, 81711,18900124,    8,    0
 14104, 81711,18900125,   18,    0
 14104, 81711,18900126,  115,    0
 14104, 81711,18900127,   12,    0
 14104, 81711,18900128,    0,    0
 14104, 81711,18900129,    0,    0
 14104, 81711,18900130,   46,    0
 14104, 81711,18900131,    0,    0
 14104, 81711,18900201,    0,    0
 14104, 81711,18900202,    0,    0
 14104, 81711,18900203,    0,    0
 14104, 81711,18900204,    0,    0
 14104, 81711,18900205,    0,    0
 14104, 81711,18900206,    0,    0
 14104, 81711,18900207,    0,    0
 14104, 81711,18900208,    0,    0
 14104, 81711,18900209,    0,    0
 14104, 81711,18900210,    0,    0
 14104, 81711,18900211,    0,    0
 14104, 81711,18900212,    0,    0
 14104, 81711,18900213,    0,    0
 14104, 81711,18900214,    0,    0
 14104, 81711,18900215,    6,    0
 14104, 81711,18900216,    9,    0
 14104, 81711,18900217,    0,    0
 14104, 81711,18900218,    0,    0
 14104, 81711,18900219,    0,    0
 14104, 81711,18900220,    0,    0
 14104, 81711,18900221,    0,    0
 14104, 81711,18900222,    0,    0
 14104, 81711,18900223,    5,    0
 14104, 81711,18900224,    2,    0
 14104, 81711,18900225,    0,    0
 14104, 81711,18900226,    0,    0
 14104, 81711,18900227,   44,    0
 14104, 81711,18900228,    1,    0
 14104, 81711,18900301,    0,    0
 14104, 81711,18900302,    0,    0
 14104, 81711,18900303,    0,    0
 14104, 81711,18900304,   24,    0
 14104, 81711,18900305,   51,    0
 14104, 81711,18900306,   21,    0
 14104, 81711,18900307,   67,    0
 14104, 81711,18900308,   32,    0
 14104, 81711,18900309,    0,    0
 14104, 81711,18900310,   14,    0
 14104, 81711,18900311,    3,    0
 14104, 81711,18900312,    0,    0
 14104, 81711,18900313,    0,    0
 14104, 81711,18900314,    0,    0
 14104, 81711,18900315,    0,    0
 14104, 81711,18900316,    0,    0
 14104, 81711,18900317,   41,    0
 14104, 81711,18900318,    1,    0
 14104, 81711,18900319,    0,    0
 14104, 81711,18900320,  127,    0
 14104, 81711,18900321,   45,    0
 14104, 81711,18900322,    3,    0
 14104, 81711,18900323,   30,    0
 14104, 81711,18900324,   64,    0
 14104, 81711,18900325,  131,    0
 14104, 81711,18900326,    9,    0
 14104, 81711,18900327,   35,    0
 14104, 81711,18900328,    0,    0
 14104, 81711,18900329,    0,    0
 14104, 81711,18900330,    0,    0
 14104, 81711,18900331,    6,    0
 14104, 81711,18900401,    0,    0
 14104, 81711,18900402,    0,    0
 14104, 81711,18900403,    0,    0
 14104, 81711,18900404,    0,    0
 14104, 81711,18900405,    0,    0
 14104, 81711,18900406,    0,    0
 14104, 81711,18900407,   11,    0
 14104, 81711,18900408,    0,    0
 14104, 81711,18900409,    3,    0
 14104, 81711,18900410,    9,    0
 14104, 81711,18900411,    0,    0
 14104, 81711,18900412,    3,    0
 14104, 81711,18900413,    0,    0
 14104, 81711,18900414,    0,    0
 14104, 81711,18900415,    0,    0
 14104, 81711,18900416,    0,    0
 14104, 81711,18900417,    0,    0
 14104, 81711,18900418,   30,    0
 14104, 81711,18900419,   37,    0
 14104, 81711,18900420,    0,    0
 14104, 81711,18900421,    7,    0
 14104, 81711,18900422,   70,    0
 14104, 81711,18900423,   30,    0
 14104, 81711,18900424,   42,    0
 14104, 81711,18900425,   30,    0
 14104, 81711,18900426,    0,    0
 14104, 81711,18900427,    0,    0
 14104, 81711,18900428,   14,    0
 14104, 81711,18900429,   10,    0
 14104, 81711,18900430,    0,    0
 14104, 81711,18900501,    0,    0
 14104, 81711,18900502,  100,    0
 14104, 81711,18900503,   66,    0
 14104, 81711,18900504,   34,    0
 14104, 81711,18900505,    0,    0
 14104, 81711,18900506,    0,    0
 14104, 81711,18900507,    0,    0
 14104, 81711,18900508,    0,    0
 14104, 81711,18900509,   36,    0
 14104, 81711,18900510,    0,    0
 14104, 81711,18900511,    0,    0
 14104, 81711,18900512,    0,    0
 14104, 81711,18900513,   40,    0
 14104, 81711,18900514,   11,    0
 14104, 81711,18900515,    0,    0
 14104, 81711,18900516,    0,    0
 14104, 81711,18900517,    0,    0
 14104, 81711,18900518,    0,    0
 14104, 81711,18900519,   67,    0
 14104, 81711,18900520,    0,    0
 14104, 81711,18900521,    6,    0
 14104, 81711,18900522,    0,    0
 14104, 81711,18900523,    0,    0
 14104, 81711,18900524,    0,    0
 14104, 81711,18900525,    0,    0
 14104, 81711,18900526,    0,    0
 14104, 81711,18900527,    0,    0
 14104, 81711,18900528,    0,    0
 14104, 81711,18900529,   10,    0
 14104, 81711,18900530,   94,    0
 14104, 81711,18900531,   12,    0
 14104, 81711,18900601,    1,    0
 14104, 81711,18900602,    8,    0
 14104, 81711,18900603,    4,    0
 14104, 81711,18900604,    8,    0
 14104, 81711,18900605,   14,    0
 14104, 81711,18900606,   84,    0
 14104, 81711,18900607,  155,    0
 14104, 81711,18900608,    0,    0
 14104, 81711,18900609,    0,    0
 14104, 81711,18900610,    0,    0
 14104, 81711,18900611,   22,    0
 14104, 81711,18900612,   12,    0
 14104, 81711,18900613,    1,    0
 14104, 81711,18900614,    0,    0
 14104, 81711,18900615,    0,    0
 14104, 81711,18900616,    4,    0
 14104, 81711,18900617,  110,    0
 14104, 81711,18900618,    8,    0
 14104, 81711,18900619,   81,    0
 14104, 81711,18900620,    2,    0
 14104, 81711,18900621,    7,    0
 14104, 81711,18900622,  106,    0
 14104, 81711,18900623,    2,    0
 14104, 81711,18900624,   46,    0
 14104, 81711,18900625,    0,    0
 14104, 81711,18900626,   20,    0
 14104, 81711,18900627,   40,    0
 14104, 81711,18900628,   36,    0
 14104, 81711,18900629,   15,    0
 14104, 81711,18900630,   50,    0
 14104, 81711,18900701,   26,    0
 14104, 81711,18900702,   81,    0
 14104, 81711,18900703,   46,    0
 14104, 81711,18900704,    2,    0
 14104, 81711,18900705,   40,    0
 14104, 81711,18900706,   18,    0
 14104, 81711,18900707,   37,    0
 14104, 81711,18900708,   10,    0
 14104, 81711,18900709,   64,    0
 14104, 81711,18900710,   14,    0
 14104, 81711,18900711,    1,    0
 14104, 81711,18900712,    2,    0
 14104, 81711,18900713,    0,    0
 14104, 81711,18900714,    0,    0
 14104, 81711,18900715,   23,    0
 14104, 81711,18900716,    0,    0
 14104, 81711,18900717,   28,    0
 14104, 81711,18900718,   69,    0
 14104, 81711,18900719,  216,    0
 14104, 81711,18900720,  366,    0
 14104, 81711,18900721,   12,    0
 14104, 81711,18900722,   68,    0
 14104, 81711,18900723,   34,    0
 14104, 81711,18900724,   67,    0
 14104, 81711,18900725,   13,    0
 14104, 81711,18900726,    0,    0
 14104, 81711,18900727,    0,    0
 14104, 81711,18900728,   42,    0
 14104, 81711,18900729,    0,    0
 14104, 81711,18900730,    0,    0
 14104, 81711,18900731,    0,    0
 14104, 81711,18900801,    0,    0
 14104, 81711,18900802,    0,    0
 14104, 81711,18900803,    0,    0
 14104, 81711,18900804,    0,    0
 14104, 81711,18900805,    0,    0
 14104, 81711,18900806,    0,    0
 14104, 81711,18900807,    0,    0
 14104, 81711,18900808,    0,    0
 14104, 81711,18900809,    0,    0
 14104, 81711,18900810,   77,    0
 14104, 81711,18900811,   32,    0
 14104, 81711,18900812,   73,    0
 14104, 81711,18900813,   21,    0
 14104, 81711,18900814,  133,    0
 14104, 81711,18900815,    6,    0
 14104, 81711,18900816,  187,    0
 14104, 81711,18900817,    0,    0
 14104, 81711,18900818,    7,    0
 14104, 81711,18900819,   23,    0
 14104, 81711,18900820,  173,    0
 14104, 81711,18900821,   34,    0
 14104, 81711,18900822,   62,    0
 14104, 81711,18900823,    8,    0
 14104, 81711,18900824,   18,    0
 14104, 81711,18900825,    0,    0
 14104, 81711,18900826,    3,    0
 14104, 81711,18900827,  210,    0
 14104, 81711,18900828,    0,    0
 14104, 81711,18900829,    1,    0
 14104, 81711,18900830,  223,    0
 14104, 81711,18900831,    0,    0
 14104, 81711,18900901,    0,    0
 14104, 81711,18900902,    0,    0
 14104, 81711,18900903,    0,    0
 14104, 81711,18900904,    0,    0
 14104, 81711,18900905,    0,    0
 14104, 81711,18900906,    0,    0
 14104, 81711,18900907,    0,    0
 14104, 81711,18900908,    0,    0
 14104, 81711,18900909,    0,    0
 14104, 81711,18900910,    0,    0
 14104, 81711,18900911,   88,    0
 14104, 81711,18900912,    0,    0
 14104, 81711,18900913,    0,    0
 14104, 81711,18900914,    2,    0
 14104, 81711,18900915,    0,    0
 14104, 81711,18900916,    0,    0
 14104, 81711,18900917,    0,    0
 14104, 81711,18900918,    0,    0
 14104, 81711,18900919,    0,    0
 14104, 81711,18900920,    0,    0
 14104, 81711,18900921,    0,    0
 14104, 81711,18900922,    0,    0
 14104, 81711,18900923,    0,    0
 14104, 81711,18900924,    0,    0
 14104, 81711,18900925,    0,    0
 14104, 81711,18900926,   69,    0
 14104, 81711,18900927,    0,    0
 14104, 81711,18900928,    0,    0
 14104, 81711,18900929,    0,    0
 14104, 81711,18900930,    0,    0
 14104, 81711,18901001,   21,    0
 14104, 81711,18901002,   63,    0
 14104, 81711,18901003,   16,    0
 14104, 81711,18901004,   62,    0
 14104, 81711,18901005,    0,    0
 14104, 81711,18901006,   37,    0
 14104, 81711,18901007,  187,    0
 14104, 81711,18901008,    5,    0
 14104, 81711,18901009,    0,    0
 14104, 81711,18901010,    0,    0
 14104, 81711,18901011,    0,    0
 14104, 81711,18901012,    0,    0
 14104, 81711,18901013,    0,    0
 14104, 81711,18901014,    0,    0
 14104, 81711,18901015,    0,    0
 14104, 81711,18901016,   23,    0
 14104, 81711,18901017,   50,    0
 14104, 81711,18901018,   37,    0
 14104, 81711,18901019,    0,    0
 14104, 81711,18901020,    0,    0
 14104, 81711,18901021,    0,    0
 14104, 81711,18901022,    0,    0
 14104, 81711,18901023,    0,    0
 14104, 81711,18901024,   36,    0
 14104, 81711,18901025,  160,    0
 14104, 81711,18901026,   34,    0
 14104, 81711,18901027,    5,    0
 14104, 81711,18901028,    0,    0
 14104, 81711,18901029,   19,    0
 14104, 81711,18901030,    0,    0
 14104, 81711,18901031,    0,    0
 14104, 81711,18901101,    6,    0
 14104, 81711,18901102,    4,    0
 14104, 81711,18901103,    0,    0
 14104, 81711,18901104,   62,    0
 14104, 81711,18901105,    5,    0
 14104, 81711,18901106,    0,    0
 14104, 81711,18901107,    0,    0
 14104, 81711,18901108,    0,    0
 14104, 81711,18901109,    4,    0
