EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GIJON MUSEL, SPAIN (STAID: 3912)
Blended and updated with sources:19801 19810 19819 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3912, 19810,19381001,    1,    0
  3912, 19810,19381002,   25,    0
  3912, 19810,19381003,    0,    0
  3912, 19810,19381004,  449,    0
  3912, 19810,19381005,    7,    0
  3912, 19810,19381006,    0,    0
  3912, 19810,19381007,    0,    0
  3912, 19810,19381008,    0,    0
  3912, 19810,19381009,    0,    0
  3912, 19810,19381010,  229,    0
  3912, 19810,19381011,    0,    0
  3912, 19810,19381012,    0,    0
  3912, 19810,19381013,    0,    0
  3912, 19810,19381014,    0,    0
  3912, 19810,19381015,    0,    0
  3912, 19810,19381016,    0,    0
  3912, 19810,19381017,    0,    0
  3912, 19810,19381018,    0,    0
  3912, 19810,19381019,    0,    0
  3912, 19810,19381020,    0,    0
  3912, 19810,19381021,    0,    0
  3912, 19810,19381022,   36,    0
  3912, 19810,19381023,   37,    0
  3912, 19810,19381024,   29,    0
  3912, 19810,19381025,    9,    0
  3912, 19810,19381026,   87,    0
  3912, 19810,19381027,  145,    0
  3912, 19810,19381028,   59,    0
  3912, 19810,19381029,   46,    0
  3912, 19810,19381030,   32,    0
  3912, 19810,19381031,    0,    0
  3912, 19810,19381101,  122,    0
  3912, 19810,19381102,    0,    0
  3912, 19810,19381103,    0,    0
  3912, 19810,19381104,    0,    0
  3912, 19810,19381105,    0,    0
  3912, 19810,19381106,    0,    0
  3912, 19810,19381107,    0,    0
  3912, 19810,19381108,    0,    0
  3912, 19810,19381109,    0,    0
  3912, 19810,19381110,   14,    0
  3912, 19810,19381111,    0,    0
  3912, 19810,19381112,    0,    0
  3912, 19810,19381113,    0,    0
  3912, 19810,19381114,    0,    0
  3912, 19810,19381115,    0,    0
  3912, 19810,19381116,   25,    0
  3912, 19810,19381117,  133,    0
  3912, 19810,19381118,   24,    0
  3912, 19810,19381119,   57,    0
  3912, 19810,19381120,   99,    0
  3912, 19810,19381121,   76,    0
  3912, 19810,19381122,    0,    0
  3912, 19810,19381123,    0,    0
  3912, 19810,19381124,    0,    0
  3912, 19810,19381125,    0,    0
  3912, 19810,19381126,  328,    0
  3912, 19810,19381127,    6,    0
  3912, 19810,19381128,  164,    0
  3912, 19810,19381129,  100,    0
  3912, 19810,19381130,  105,    0
  3912, 19810,19381201,   23,    0
  3912, 19810,19381202,   36,    0
  3912, 19810,19381203,    0,    0
  3912, 19810,19381204,   62,    0
  3912, 19810,19381205,   43,    0
  3912, 19810,19381206,  149,    0
  3912, 19810,19381207,   30,    0
  3912, 19810,19381208,   39,    0
  3912, 19810,19381209,   42,    0
  3912, 19810,19381210,   98,    0
  3912, 19810,19381211,    0,    0
  3912, 19810,19381212,    0,    0
  3912, 19810,19381213,    0,    0
  3912, 19810,19381214,   64,    0
  3912, 19810,19381215,   13,    0
  3912, 19810,19381216,   46,    0
  3912, 19810,19381217,  196,    0
  3912, 19810,19381218,   75,    0
  3912, 19810,19381219,    0,    0
  3912, 19810,19381220,  172,    0
  3912, 19810,19381221,    8,    0
  3912, 19810,19381222,   67,    0
  3912, 19810,19381223,  239,    0
  3912, 19810,19381224,  206,    0
  3912, 19810,19381225,   85,    0
  3912, 19810,19381226,   64,    0
  3912, 19810,19381227,    0,    0
  3912, 19810,19381228,   66,    0
  3912, 19810,19381229,   15,    0
