EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREMSMUENSTER (TAWES), AUSTRIA (STAID: 24838)
Blended and updated with sources:136485 911012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24838,136485,18740101,    0,    0
 24838,136485,18740102,    0,    0
 24838,136485,18740103,    0,    0
 24838,136485,18740104,    0,    0
 24838,136485,18740105,   87,    0
 24838,136485,18740106,    0,    0
 24838,136485,18740107,    0,    0
 24838,136485,18740108,    0,    0
 24838,136485,18740109,    0,    0
 24838,136485,18740110,    0,    0
 24838,136485,18740111,    0,    0
 24838,136485,18740112,    0,    0
 24838,136485,18740113,    0,    0
 24838,136485,18740114,    0,    0
 24838,136485,18740115,    0,    0
 24838,136485,18740116,    0,    0
 24838,136485,18740117,    0,    0
 24838,136485,18740118,   27,    0
 24838,136485,18740119,    0,    0
 24838,136485,18740120,   69,    0
 24838,136485,18740121,    0,    0
 24838,136485,18740122,    0,    0
 24838,136485,18740123,    0,    0
 24838,136485,18740124,    0,    0
 24838,136485,18740125,   75,    0
 24838,136485,18740126,    0,    0
 24838,136485,18740127,   18,    0
 24838,136485,18740128,   23,    0
 24838,136485,18740129,   15,    0
 24838,136485,18740130,   29,    0
 24838,136485,18740131,   54,    0
 24838,136485,18740201,   13,    0
 24838,136485,18740202,    0,    0
 24838,136485,18740203,   30,    0
 24838,136485,18740204,   37,    0
 24838,136485,18740205,    0,    0
 24838,136485,18740206,    0,    0
 24838,136485,18740207,    0,    0
 24838,136485,18740208,   15,    0
 24838,136485,18740209,    0,    0
 24838,136485,18740210,   67,    0
 24838,136485,18740211,    0,    0
 24838,136485,18740212,    0,    0
 24838,136485,18740213,    0,    0
 24838,136485,18740214,    0,    0
 24838,136485,18740215,    0,    0
 24838,136485,18740216,    0,    0
 24838,136485,18740217,    0,    0
 24838,136485,18740218,   92,    0
 24838,136485,18740219,    0,    0
 24838,136485,18740220,   52,    0
 24838,136485,18740221,    0,    0
 24838,136485,18740222,    0,    0
 24838,136485,18740223,    0,    0
 24838,136485,18740224,    0,    0
 24838,136485,18740225,    0,    0
 24838,136485,18740226,    0,    0
 24838,136485,18740227,    0,    0
 24838,136485,18740228,    0,    0
 24838,136485,18740301,    0,    0
 24838,136485,18740302,    0,    0
 24838,136485,18740303,    0,    0
 24838,136485,18740304,    0,    0
 24838,136485,18740305,    0,    0
 24838,136485,18740306,    0,    0
 24838,136485,18740307,    0,    0
 24838,136485,18740308,    0,    0
 24838,136485,18740309,    0,    0
 24838,136485,18740310,   40,    0
 24838,136485,18740311,   97,    0
 24838,136485,18740312,    0,    0
 24838,136485,18740313,   15,    0
 24838,136485,18740314,   40,    0
 24838,136485,18740315,   33,    0
 24838,136485,18740316,   38,    0
 24838,136485,18740317,  165,    0
 24838,136485,18740318,    0,    0
 24838,136485,18740319,   21,    0
 24838,136485,18740320,   24,    0
 24838,136485,18740321,   12,    0
 24838,136485,18740322,    0,    0
 24838,136485,18740323,    0,    0
 24838,136485,18740324,    0,    0
 24838,136485,18740325,    0,    0
 24838,136485,18740326,    0,    0
 24838,136485,18740327,    0,    0
 24838,136485,18740328,   36,    0
 24838,136485,18740329,    0,    0
 24838,136485,18740330,    0,    0
 24838,136485,18740331,   34,    0
 24838,136485,18740401,   23,    0
 24838,136485,18740402,    0,    0
 24838,136485,18740403,    0,    0
 24838,136485,18740404,    0,    0
 24838,136485,18740405,    0,    0
 24838,136485,18740406,    0,    0
 24838,136485,18740407,    0,    0
 24838,136485,18740408,    0,    0
 24838,136485,18740409,   34,    0
 24838,136485,18740410,    0,    0
 24838,136485,18740411,    0,    0
 24838,136485,18740412,    0,    0
 24838,136485,18740413,    0,    0
 24838,136485,18740414,    0,    0
 24838,136485,18740415,    0,    0
 24838,136485,18740416,    0,    0
 24838,136485,18740417,   94,    0
 24838,136485,18740418,    0,    0
 24838,136485,18740419,   85,    0
 24838,136485,18740420,    0,    0
 24838,136485,18740421,    0,    0
 24838,136485,18740422,    0,    0
 24838,136485,18740423,   30,    0
 24838,136485,18740424,    0,    0
 24838,136485,18740425,    0,    0
 24838,136485,18740426,    0,    0
 24838,136485,18740427,    0,    0
 24838,136485,18740428,  145,    0
 24838,136485,18740429,    0,    0
 24838,136485,18740430,   10,    0
 24838,136485,18740501,   38,    0
 24838,136485,18740502,   60,    0
 24838,136485,18740503,    0,    0
 24838,136485,18740504,    0,    0
 24838,136485,18740505,    0,    0
 24838,136485,18740506,   58,    0
 24838,136485,18740507,    0,    0
 24838,136485,18740508,    0,    0
 24838,136485,18740509,   27,    0
 24838,136485,18740510,   19,    0
 24838,136485,18740511,  141,    0
 24838,136485,18740512,  361,    0
 24838,136485,18740513,  177,    0
 24838,136485,18740514,    0,    0
 24838,136485,18740515,  121,    0
 24838,136485,18740516,  145,    0
 24838,136485,18740517,   38,    0
 24838,136485,18740518,   80,    0
 24838,136485,18740519,    0,    0
 24838,136485,18740520,    0,    0
 24838,136485,18740521,    0,    0
 24838,136485,18740522,    0,    0
 24838,136485,18740523,  108,    0
 24838,136485,18740524,   60,    0
 24838,136485,18740525,   10,    0
 24838,136485,18740526,    0,    0
 24838,136485,18740527,    0,    0
 24838,136485,18740528,    0,    0
 24838,136485,18740529,    0,    0
 24838,136485,18740530,   24,    0
 24838,136485,18740531,   16,    0
 24838,136485,18740601,    0,    0
 24838,136485,18740602,    0,    0
 24838,136485,18740603,    0,    0
 24838,136485,18740604,   27,    0
 24838,136485,18740605,    0,    0
 24838,136485,18740606,    0,    0
 24838,136485,18740607,    0,    0
 24838,136485,18740608,    0,    0
 24838,136485,18740609,    0,    0
 24838,136485,18740610,  111,    0
 24838,136485,18740611,    0,    0
 24838,136485,18740612,    0,    0
 24838,136485,18740613,   45,    0
 24838,136485,18740614,    0,    0
 24838,136485,18740615,   48,    0
 24838,136485,18740616,    0,    0
 24838,136485,18740617,    0,    0
 24838,136485,18740618,    0,    0
 24838,136485,18740619,    0,    0
 24838,136485,18740620,  249,    0
 24838,136485,18740621,    0,    0
 24838,136485,18740622,  592,    0
 24838,136485,18740623,    0,    0
 24838,136485,18740624,    0,    0
 24838,136485,18740625,  115,    0
 24838,136485,18740626,    0,    0
 24838,136485,18740627,    0,    0
 24838,136485,18740628,   22,    0
 24838,136485,18740629,  224,    0
 24838,136485,18740630,   14,    0
 24838,136485,18740701,    0,    0
 24838,136485,18740702,    0,    0
 24838,136485,18740703,    0,    0
 24838,136485,18740704,    0,    0
 24838,136485,18740705,   27,    0
 24838,136485,18740706,    0,    0
 24838,136485,18740707,    0,    0
 24838,136485,18740708,    0,    0
 24838,136485,18740709,    0,    0
 24838,136485,18740710,    0,    0
 24838,136485,18740711,    0,    0
 24838,136485,18740712,   15,    0
 24838,136485,18740713,    0,    0
 24838,136485,18740714,    0,    0
 24838,136485,18740715,    0,    0
 24838,136485,18740716,    0,    0
 24838,136485,18740717,    0,    0
 24838,136485,18740718,    0,    0
 24838,136485,18740719,    0,    0
 24838,136485,18740720,    0,    0
 24838,136485,18740721,   45,    0
 24838,136485,18740722,    0,    0
 24838,136485,18740723,   27,    0
 24838,136485,18740724,  198,    0
 24838,136485,18740725,    0,    0
 24838,136485,18740726,  393,    0
 24838,136485,18740727,    0,    0
 24838,136485,18740728,    0,    0
 24838,136485,18740729,    0,    0
 24838,136485,18740730,   26,    0
 24838,136485,18740731,   60,    0
 24838,136485,18740801,    0,    0
 24838,136485,18740802,    0,    0
 24838,136485,18740803,   70,    0
 24838,136485,18740804,   20,    0
 24838,136485,18740805,   31,    0
 24838,136485,18740806,  110,    0
 24838,136485,18740807,    0,    0
 24838,136485,18740808,  121,    0
 24838,136485,18740809,  168,    0
 24838,136485,18740810,    0,    0
 24838,136485,18740811,   60,    0
 24838,136485,18740812,   68,    0
 24838,136485,18740813,    0,    0
 24838,136485,18740814,    0,    0
 24838,136485,18740815,  204,    0
 24838,136485,18740816,  415,    0
 24838,136485,18740817,   60,    0
 24838,136485,18740818,  101,    0
 24838,136485,18740819,   70,    0
 24838,136485,18740820,    0,    0
 24838,136485,18740821,    0,    0
 24838,136485,18740822,    0,    0
 24838,136485,18740823,    0,    0
 24838,136485,18740824,    0,    0
 24838,136485,18740825,    0,    0
 24838,136485,18740826,    0,    0
 24838,136485,18740827,    0,    0
 24838,136485,18740828,   24,    0
 24838,136485,18740829,   10,    0
 24838,136485,18740830,    0,    0
 24838,136485,18740831,    0,    0
 24838,136485,18740901,    0,    0
 24838,136485,18740902,    0,    0
 24838,136485,18740903,    0,    0
 24838,136485,18740904,    0,    0
 24838,136485,18740905,  120,    0
 24838,136485,18740906,    0,    0
 24838,136485,18740907,    0,    0
 24838,136485,18740908,    0,    0
 24838,136485,18740909,    0,    0
 24838,136485,18740910,  111,    0
 24838,136485,18740911,   54,    0
 24838,136485,18740912,    0,    0
 24838,136485,18740913,   47,    0
