EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERNE-KATJENBUETTEL, GERMANY (STAID: 12083)
Blended and updated with sources:82015 82395 84821 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12083, 82395,18910901,   43,    0
 12083, 82395,18910902,    0,    0
 12083, 82395,18910903,   39,    0
 12083, 82395,18910904,    0,    0
 12083, 82395,18910905,    0,    0
 12083, 82395,18910906,    0,    0
 12083, 82395,18910907,    0,    0
 12083, 82395,18910908,    0,    0
 12083, 82395,18910909,    0,    0
 12083, 82395,18910910,    0,    0
 12083, 82395,18910911,    0,    0
 12083, 82395,18910912,    0,    0
 12083, 82395,18910913,    0,    0
 12083, 82395,18910914,    0,    0
 12083, 82395,18910915,    0,    0
 12083, 82395,18910916,    0,    0
 12083, 82395,18910917,   19,    0
 12083, 82395,18910918,    9,    0
 12083, 82395,18910919,   31,    0
 12083, 82395,18910920,    0,    0
 12083, 82395,18910921,    3,    0
 12083, 82395,18910922,    5,    0
 12083, 82395,18910923,    0,    0
 12083, 82395,18910924,    0,    0
 12083, 82395,18910925,    0,    0
 12083, 82395,18910926,    0,    0
 12083, 82395,18910927,   15,    0
 12083, 82395,18910928,    0,    0
 12083, 82395,18910929,    0,    0
 12083, 82395,18910930,    0,    0
 12083, 82395,18911001,    0,    0
 12083, 82395,18911002,   12,    0
 12083, 82395,18911003,    1,    0
 12083, 82395,18911004,    0,    0
 12083, 82395,18911005,    0,    0
 12083, 82395,18911006,    5,    0
 12083, 82395,18911007,    0,    0
 12083, 82395,18911008,    0,    0
 12083, 82395,18911009,    0,    0
