EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRUENBERG, GERMANY (STAID: 16091)
Blended and updated with sources:87083 90031 90045 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 16091, 87083,19510101,    0,    0
 16091, 87083,19510102,    0,    0
 16091, 87083,19510103,   13,    0
 16091, 87083,19510104,    0,    0
 16091, 87083,19510105,   26,    0
 16091, 87083,19510106,   42,    0
 16091, 87083,19510107,   54,    0
 16091, 87083,19510108,    0,    0
 16091, 87083,19510109,   55,    0
 16091, 87083,19510110,   16,    0
 16091, 87083,19510111,   18,    0
 16091, 87083,19510112,   31,    0
 16091, 87083,19510113,    0,    0
 16091, 87083,19510114,   56,    0
 16091, 87083,19510115,   55,    0
 16091, 87083,19510116,    2,    0
 16091, 87083,19510117,   76,    0
 16091, 87083,19510118,   26,    0
 16091, 87083,19510119,   20,    0
 16091, 87083,19510120,    0,    0
 16091, 87083,19510121,    0,    0
 16091, 87083,19510122,   24,    0
 16091, 87083,19510123,    6,    0
 16091, 87083,19510124,    0,    0
 16091, 87083,19510125,    0,    0
 16091, 87083,19510126,    0,    0
 16091, 87083,19510127,    0,    0
 16091, 87083,19510128,    0,    0
 16091, 87083,19510129,    0,    0
 16091, 87083,19510130,    0,    0
 16091, 87083,19510131,    0,    0
 16091, 87083,19510201,    9,    0
 16091, 87083,19510202,    0,    0
 16091, 87083,19510203,    0,    0
 16091, 87083,19510204,    0,    0
 16091, 87083,19510205,    0,    0
 16091, 87083,19510206,    7,    0
 16091, 87083,19510207,    0,    0
 16091, 87083,19510208,    0,    0
 16091, 87083,19510209,    0,    0
 16091, 87083,19510210,    0,    0
 16091, 87083,19510211,    0,    0
 16091, 87083,19510212,    0,    0
 16091, 87083,19510213,    0,    0
 16091, 87083,19510214,   45,    0
 16091, 87083,19510215,   47,    0
 16091, 87083,19510216,    0,    0
 16091, 87083,19510217,   72,    0
 16091, 87083,19510218,    2,    0
 16091, 87083,19510219,   20,    0
 16091, 87083,19510220,    9,    0
 16091, 87083,19510221,   29,    0
 16091, 87083,19510222,    0,    0
 16091, 87083,19510223,    4,    0
 16091, 87083,19510224,    0,    0
