EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOLMSO, SWEDEN (STAID: 6020)
Blended and updated with sources:37926 37948 37952 37970 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6020, 37952,19310101,   53,    0
  6020, 37952,19310102,   25,    0
  6020, 37952,19310103,    0,    0
  6020, 37952,19310104,  162,    0
  6020, 37952,19310105,   17,    0
  6020, 37952,19310106,    0,    0
  6020, 37952,19310107,    0,    0
  6020, 37952,19310108,    0,    0
  6020, 37952,19310109,   38,    0
  6020, 37952,19310110,  125,    0
  6020, 37952,19310111,   98,    0
  6020, 37952,19310112,   12,    0
  6020, 37952,19310113,    0,    0
  6020, 37952,19310114,   16,    0
  6020, 37952,19310115,   89,    0
  6020, 37952,19310116,   42,    0
  6020, 37952,19310117,   58,    0
  6020, 37952,19310118,    0,    0
  6020, 37952,19310119,    0,    0
  6020, 37952,19310120,    0,    0
  6020, 37952,19310121,    0,    0
  6020, 37952,19310122,    0,    0
  6020, 37952,19310123,   47,    0
  6020, 37952,19310124,  117,    0
  6020, 37952,19310125,   26,    0
  6020, 37952,19310126,    0,    0
  6020, 37952,19310127,    0,    0
  6020, 37952,19310128,    0,    0
  6020, 37952,19310129,   27,    0
  6020, 37952,19310130,    0,    0
  6020, 37952,19310131,    0,    0
  6020, 37952,19310201,   11,    0
  6020, 37952,19310202,    0,    0
  6020, 37952,19310203,    0,    0
  6020, 37952,19310204,    0,    0
  6020, 37952,19310205,    0,    0
  6020, 37952,19310206,    0,    0
  6020, 37952,19310207,    0,    0
  6020, 37952,19310208,    0,    0
  6020, 37952,19310209,   50,    0
  6020, 37952,19310210,    0,    0
  6020, 37952,19310211,    0,    0
  6020, 37952,19310212,   92,    0
  6020, 37952,19310213,   15,    0
  6020, 37952,19310214,    0,    0
  6020, 37952,19310215,    0,    0
  6020, 37952,19310216,    0,    0
  6020, 37952,19310217,    0,    0
  6020, 37952,19310218,    0,    0
  6020, 37952,19310219,    0,    0
  6020, 37952,19310220,    0,    0
  6020, 37952,19310221,   52,    0
  6020, 37952,19310222,    0,    0
  6020, 37952,19310223,    0,    0
  6020, 37952,19310224,   21,    0
  6020, 37952,19310225,   92,    0
  6020, 37952,19310226,    0,    0
  6020, 37952,19310227,    0,    0
  6020, 37952,19310228,   22,    0
  6020, 37952,19310301,   54,    0
  6020, 37952,19310302,    0,    0
  6020, 37952,19310303,    0,    0
  6020, 37952,19310304,    0,    0
  6020, 37952,19310305,    0,    0
  6020, 37952,19310306,    0,    0
  6020, 37952,19310307,    0,    0
  6020, 37952,19310308,   16,    0
  6020, 37952,19310309,    0,    0
  6020, 37952,19310310,   40,    0
  6020, 37952,19310311,    0,    0
  6020, 37952,19310312,   24,    0
  6020, 37952,19310313,    0,    0
  6020, 37952,19310314,   32,    0
  6020, 37952,19310315,    0,    0
  6020, 37952,19310316,    0,    0
  6020, 37952,19310317,    0,    0
  6020, 37952,19310318,    0,    0
  6020, 37952,19310319,    0,    0
  6020, 37952,19310320,    0,    0
  6020, 37952,19310321,    0,    0
