EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MORINGEN-FREDELSLOH, GERMANY (STAID: 14205)
Blended and updated with sources:82711 86259 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14205, 86259,19310101,  209,    0
 14205, 86259,19310102,   11,    0
 14205, 86259,19310103,   74,    0
 14205, 86259,19310104,    9,    0
 14205, 86259,19310105,   46,    0
 14205, 86259,19310106,   14,    0
 14205, 86259,19310107,   12,    0
 14205, 86259,19310108,    0,    0
 14205, 86259,19310109,    0,    0
 14205, 86259,19310110,    0,    0
 14205, 86259,19310111,    0,    0
 14205, 86259,19310112,    0,    0
 14205, 86259,19310113,   10,    0
 14205, 86259,19310114,   43,    0
 14205, 86259,19310115,   64,    0
 14205, 86259,19310116,  170,    0
 14205, 86259,19310117,   72,    0
 14205, 86259,19310118,   25,    0
 14205, 86259,19310119,   56,    0
 14205, 86259,19310120,   10,    0
 14205, 86259,19310121,    0,    0
 14205, 86259,19310122,    0,    0
 14205, 86259,19310123,    0,    0
 14205, 86259,19310124,   88,    0
 14205, 86259,19310125,   59,    0
 14205, 86259,19310126,   39,    0
 14205, 86259,19310127,    3,    0
 14205, 86259,19310128,  100,    0
 14205, 86259,19310129,   75,    0
 14205, 86259,19310130,   15,    0
 14205, 86259,19310131,    1,    0
 14205, 86259,19310201,    0,    0
 14205, 86259,19310202,   71,    0
 14205, 86259,19310203,   61,    0
 14205, 86259,19310204,    7,    0
 14205, 86259,19310205,   15,    0
 14205, 86259,19310206,    1,    0
 14205, 86259,19310207,    0,    0
 14205, 86259,19310208,    0,    0
 14205, 86259,19310209,    0,    0
 14205, 86259,19310210,   21,    0
 14205, 86259,19310211,   22,    0
 14205, 86259,19310212,  163,    0
 14205, 86259,19310213,    1,    0
 14205, 86259,19310214,    0,    0
 14205, 86259,19310215,    3,    0
 14205, 86259,19310216,   23,    0
 14205, 86259,19310217,    6,    0
 14205, 86259,19310218,    0,    0
 14205, 86259,19310219,    1,    0
 14205, 86259,19310220,    0,    0
 14205, 86259,19310221,    2,    0
 14205, 86259,19310222,    0,    0
 14205, 86259,19310223,    0,    0
 14205, 86259,19310224,    0,    0
 14205, 86259,19310225,    2,    0
 14205, 86259,19310226,   96,    0
 14205, 86259,19310227,   23,    0
 14205, 86259,19310228,  164,    0
 14205, 86259,19310301,    5,    0
 14205, 86259,19310302,    0,    0
 14205, 86259,19310303,    1,    0
 14205, 86259,19310304,    0,    0
 14205, 86259,19310305,    0,    0
