EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAGDALA, GERMANY (STAID: 14049)
Blended and updated with sources:81953 82161 82473 82907 84063 84929 85947 86071 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 14049, 82161,18991101,    0,    0
 14049, 82161,18991102,    0,    0
 14049, 82161,18991103,    0,    0
 14049, 82161,18991104,    0,    0
 14049, 82161,18991105,    0,    0
 14049, 82161,18991106,    0,    0
 14049, 82161,18991107,    4,    0
 14049, 82161,18991108,   35,    0
 14049, 82161,18991109,    0,    0
 14049, 82161,18991110,   51,    0
 14049, 82161,18991111,   31,    0
 14049, 82161,18991112,   28,    0
 14049, 82161,18991113,   11,    0
 14049, 82161,18991114,    0,    0
 14049, 82161,18991115,    0,    0
 14049, 82161,18991116,    0,    0
 14049, 82161,18991117,    0,    0
 14049, 82161,18991118,   11,    0
 14049, 82161,18991119,    0,    0
 14049, 82161,18991120,   16,    0
 14049, 82161,18991121,    0,    0
 14049, 82161,18991122,   33,    0
 14049, 82161,18991123,    2,    0
 14049, 82161,18991124,    0,    0
 14049, 82161,18991125,    0,    0
 14049, 82161,18991126,    2,    0
 14049, 82161,18991127,    0,    0
 14049, 82161,18991128,    0,    0
 14049, 82161,18991129,    0,    0
 14049, 82161,18991130,    0,    0
 14049, 82161,18991201,    0,    0
 14049, 82161,18991202,   16,    0
 14049, 82161,18991203,    0,    0
 14049, 82161,18991204,    4,    0
 14049, 82161,18991205,    0,    0
 14049, 82161,18991206,   16,    0
 14049, 82161,18991207,    0,    0
 14049, 82161,18991208,    0,    0
 14049, 82161,18991209,    0,    0
 14049, 82161,18991210,    7,    0
 14049, 82161,18991211,   20,    0
 14049, 82161,18991212,    8,    0
 14049, 82161,18991213,    0,    0
