EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WOERNITZ, GERMANY (STAID: 15958)
Blended and updated with sources:82471 87925 89765 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 15958, 89765,18990101,  117,    0
 15958, 89765,18990102,   22,    0
 15958, 89765,18990103,    8,    0
 15958, 89765,18990104,   31,    0
 15958, 89765,18990105,   15,    0
 15958, 89765,18990106,    0,    0
 15958, 89765,18990107,    0,    0
 15958, 89765,18990108,    0,    0
 15958, 89765,18990109,    0,    0
 15958, 89765,18990110,    0,    0
 15958, 89765,18990111,    0,    0
 15958, 89765,18990112,  111,    0
 15958, 89765,18990113,  140,    0
 15958, 89765,18990114,    0,    0
 15958, 89765,18990115,   83,    0
 15958, 89765,18990116,   61,    0
 15958, 89765,18990117,  108,    0
 15958, 89765,18990118,   23,    0
 15958, 89765,18990119,    0,    0
 15958, 89765,18990120,    1,    0
 15958, 89765,18990121,    0,    0
 15958, 89765,18990122,    0,    0
 15958, 89765,18990123,    1,    0
 15958, 89765,18990124,    2,    0
 15958, 89765,18990125,   19,    0
 15958, 89765,18990126,    0,    0
 15958, 89765,18990127,    0,    0
 15958, 89765,18990128,    1,    0
 15958, 89765,18990129,    0,    0
 15958, 89765,18990130,    0,    0
 15958, 89765,18990131,   20,    0
 15958, 89765,18990201,    1,    0
 15958, 89765,18990202,    1,    0
 15958, 89765,18990203,    1,    0
 15958, 89765,18990204,    0,    0
 15958, 89765,18990205,   98,    0
 15958, 89765,18990206,   19,    0
 15958, 89765,18990207,   36,    0
 15958, 89765,18990208,    1,    0
 15958, 89765,18990209,    0,    0
 15958, 89765,18990210,    0,    0
 15958, 89765,18990211,    0,    0
 15958, 89765,18990212,   27,    0
 15958, 89765,18990213,    0,    0
 15958, 89765,18990214,    0,    0
 15958, 89765,18990215,    0,    0
 15958, 89765,18990216,   38,    0
 15958, 89765,18990217,    0,    0
 15958, 89765,18990218,    1,    0
 15958, 89765,18990219,    2,    0
 15958, 89765,18990220,    0,    0
 15958, 89765,18990221,    0,    0
 15958, 89765,18990222,    0,    0
 15958, 89765,18990223,    0,    0
 15958, 89765,18990224,    0,    0
 15958, 89765,18990225,    0,    0
 15958, 89765,18990226,    0,    0
 15958, 89765,18990227,    0,    0
 15958, 89765,18990228,    0,    0
 15958, 89765,18990301,    4,    0
 15958, 89765,18990302,    0,    0
 15958, 89765,18990303,    1,    0
 15958, 89765,18990304,   22,    0
 15958, 89765,18990305,    2,    0
 15958, 89765,18990306,    0,    0
 15958, 89765,18990307,    4,    0
 15958, 89765,18990308,    2,    0
 15958, 89765,18990309,    1,    0
 15958, 89765,18990310,   23,    0
 15958, 89765,18990311,    1,    0
 15958, 89765,18990312,    0,    0
 15958, 89765,18990313,    0,    0
 15958, 89765,18990314,    0,    0
 15958, 89765,18990315,    0,    0
 15958, 89765,18990316,    0,    0
 15958, 89765,18990317,    0,    0
 15958, 89765,18990318,    0,    0
 15958, 89765,18990319,    1,    0
 15958, 89765,18990320,    4,    0
 15958, 89765,18990321,    0,    0
 15958, 89765,18990322,    0,    0
 15958, 89765,18990323,    0,    0
 15958, 89765,18990324,    0,    0
 15958, 89765,18990325,    0,    0
 15958, 89765,18990326,   71,    0
 15958, 89765,18990327,    0,    0
 15958, 89765,18990328,    0,    0
 15958, 89765,18990329,    0,    0
 15958, 89765,18990330,   44,    0
 15958, 89765,18990331,   23,    0
 15958, 89765,18990401,    1,    0
 15958, 89765,18990402,    0,    0
 15958, 89765,18990403,   14,    0
 15958, 89765,18990404,    8,    0
 15958, 89765,18990405,    9,    0
 15958, 89765,18990406,    6,    0
 15958, 89765,18990407,   55,    0
 15958, 89765,18990408,   69,    0
 15958, 89765,18990409,   35,    0
 15958, 89765,18990410,  134,    0
 15958, 89765,18990411,  115,    0
 15958, 89765,18990412,   30,    0
 15958, 89765,18990413,    2,    0
 15958, 89765,18990414,    3,    0
 15958, 89765,18990415,    3,    0
 15958, 89765,18990416,   17,    0
 15958, 89765,18990417,    3,    0
 15958, 89765,18990418,    3,    0
 15958, 89765,18990419,   52,    0
 15958, 89765,18990420,    3,    0
 15958, 89765,18990421,   27,    0
 15958, 89765,18990422,   26,    0
 15958, 89765,18990423,    0,    0
 15958, 89765,18990424,    0,    0
 15958, 89765,18990425,  101,    0
 15958, 89765,18990426,   50,    0
 15958, 89765,18990427,    0,    0
 15958, 89765,18990428,    0,    0
 15958, 89765,18990429,   14,    0
 15958, 89765,18990430,   39,    0
 15958, 89765,18990501,    0,    0
 15958, 89765,18990502,    7,    0
 15958, 89765,18990503,   25,    0
 15958, 89765,18990504,   25,    0
 15958, 89765,18990505,  144,    0
 15958, 89765,18990506,   30,    0
 15958, 89765,18990507,    1,    0
 15958, 89765,18990508,    0,    0
 15958, 89765,18990509,   45,    0
 15958, 89765,18990510,    0,    0
 15958, 89765,18990511,   25,    0
 15958, 89765,18990512,    1,    0
 15958, 89765,18990513,    0,    0
 15958, 89765,18990514,    0,    0
 15958, 89765,18990515,    6,    0
 15958, 89765,18990516,    0,    0
 15958, 89765,18990517,    0,    0
 15958, 89765,18990518,    0,    0
 15958, 89765,18990519,    2,    0
 15958, 89765,18990520,  128,    0
 15958, 89765,18990521,   34,    0
 15958, 89765,18990522,   13,    0
 15958, 89765,18990523,    3,    0
 15958, 89765,18990524,    1,    0
 15958, 89765,18990525,    3,    0
 15958, 89765,18990526,   33,    0
 15958, 89765,18990527,    0,    0
 15958, 89765,18990528,    0,    0
 15958, 89765,18990529,    0,    0
 15958, 89765,18990530,    0,    0
 15958, 89765,18990531,    0,    0
 15958, 89765,18990601,    0,    0
 15958, 89765,18990602,    0,    0
 15958, 89765,18990603,    0,    0
 15958, 89765,18990604,    0,    0
 15958, 89765,18990605,    0,    0
 15958, 89765,18990606,    0,    0
 15958, 89765,18990607,    0,    0
 15958, 89765,18990608,    0,    0
 15958, 89765,18990609,    0,    0
 15958, 89765,18990610,    0,    0
 15958, 89765,18990611,    0,    0
 15958, 89765,18990612,    0,    0
 15958, 89765,18990613,    0,    0
 15958, 89765,18990614,   72,    0
 15958, 89765,18990615,  113,    0
 15958, 89765,18990616,    0,    0
 15958, 89765,18990617,    3,    0
 15958, 89765,18990618,    0,    0
 15958, 89765,18990619,   13,    0
 15958, 89765,18990620,    0,    0
 15958, 89765,18990621,    0,    0
 15958, 89765,18990622,  240,    0
 15958, 89765,18990623,   54,    0
 15958, 89765,18990624,   54,    0
 15958, 89765,18990625,   36,    0
 15958, 89765,18990626,   19,    0
 15958, 89765,18990627,   32,    0
 15958, 89765,18990628,    0,    0
 15958, 89765,18990629,   21,    0
 15958, 89765,18990630,   15,    0
 15958, 89765,18990701,    7,    0
 15958, 89765,18990702,   63,    0
 15958, 89765,18990703,   48,    0
 15958, 89765,18990704,   34,    0
 15958, 89765,18990705,    3,    0
 15958, 89765,18990706,    1,    0
 15958, 89765,18990707,    5,    0
 15958, 89765,18990708,    1,    0
 15958, 89765,18990709,    0,    0
 15958, 89765,18990710,    0,    0
 15958, 89765,18990711,    0,    0
 15958, 89765,18990712,    0,    0
 15958, 89765,18990713,   64,    0
 15958, 89765,18990714,    0,    0
 15958, 89765,18990715,    0,    0
 15958, 89765,18990716,    0,    0
 15958, 89765,18990717,    0,    0
 15958, 89765,18990718,    0,    0
 15958, 89765,18990719,   17,    0
 15958, 89765,18990720,    0,    0
 15958, 89765,18990721,    0,    0
 15958, 89765,18990722,    0,    0
 15958, 89765,18990723,    0,    0
 15958, 89765,18990724,   59,    0
 15958, 89765,18990725,   70,    0
 15958, 89765,18990726,    0,    0
 15958, 89765,18990727,    0,    0
 15958, 89765,18990728,    0,    0
 15958, 89765,18990729,    0,    0
 15958, 89765,18990730,    0,    0
 15958, 89765,18990731,    0,    0
 15958, 89765,18990801,    0,    0
 15958, 89765,18990802,    0,    0
 15958, 89765,18990803,    0,    0
 15958, 89765,18990804,    0,    0
 15958, 89765,18990805,    2,    0
 15958, 89765,18990806,    0,    0
 15958, 89765,18990807,    3,    0
 15958, 89765,18990808,    8,    0
 15958, 89765,18990809,    0,    0
 15958, 89765,18990810,    0,    0
 15958, 89765,18990811,    0,    0
 15958, 89765,18990812,    0,    0
 15958, 89765,18990813,    0,    0
 15958, 89765,18990814,    0,    0
 15958, 89765,18990815,    0,    0
 15958, 89765,18990816,    0,    0
 15958, 89765,18990817,   23,    0
 15958, 89765,18990818,   61,    0
 15958, 89765,18990819,    0,    0
 15958, 89765,18990820,    0,    0
 15958, 89765,18990821,    0,    0
 15958, 89765,18990822,    0,    0
 15958, 89765,18990823,    0,    0
 15958, 89765,18990824,    0,    0
 15958, 89765,18990825,    0,    0
 15958, 89765,18990826,    0,    0
 15958, 89765,18990827,   16,    0
