EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANKENAU, GERMANY (STAID: 12766)
Blended and updated with sources:83381 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12766, 83381,19310101,   79,    0
 12766, 83381,19310102,   12,    0
 12766, 83381,19310103,   66,    0
 12766, 83381,19310104,   14,    0
 12766, 83381,19310105,   25,    0
 12766, 83381,19310106,   20,    0
 12766, 83381,19310107,    4,    0
 12766, 83381,19310108,    0,    0
 12766, 83381,19310109,    0,    0
 12766, 83381,19310110,    0,    0
 12766, 83381,19310111,    1,    0
 12766, 83381,19310112,    0,    0
 12766, 83381,19310113,    1,    0
 12766, 83381,19310114,   56,    0
 12766, 83381,19310115,    8,    0
 12766, 83381,19310116,   75,    0
 12766, 83381,19310117,   70,    0
 12766, 83381,19310118,   40,    0
 12766, 83381,19310119,   45,    0
 12766, 83381,19310120,    3,    0
 12766, 83381,19310121,    3,    0
 12766, 83381,19310122,    0,    0
 12766, 83381,19310123,  125,    0
 12766, 83381,19310124,   81,    0
 12766, 83381,19310125,   35,    0
 12766, 83381,19310126,   31,    0
 12766, 83381,19310127,    3,    0
 12766, 83381,19310128,   32,    0
 12766, 83381,19310129,   30,    0
 12766, 83381,19310130,   67,    0
 12766, 83381,19310131,   10,    0
 12766, 83381,19310201,    0,    0
 12766, 83381,19310202,   29,    0
 12766, 83381,19310203,   12,    0
 12766, 83381,19310204,   15,    0
 12766, 83381,19310205,    2,    0
 12766, 83381,19310206,    0,    0
 12766, 83381,19310207,    0,    0
 12766, 83381,19310208,    0,    0
 12766, 83381,19310209,    0,    0
 12766, 83381,19310210,   20,    0
 12766, 83381,19310211,  118,    0
 12766, 83381,19310212,   55,    0
 12766, 83381,19310213,    9,    0
 12766, 83381,19310214,    0,    0
 12766, 83381,19310215,    5,    0
 12766, 83381,19310216,   72,    0
 12766, 83381,19310217,   36,    0
 12766, 83381,19310218,   16,    0
 12766, 83381,19310219,    0,    0
 12766, 83381,19310220,    0,    0
 12766, 83381,19310221,   12,    0
 12766, 83381,19310222,    0,    0
 12766, 83381,19310223,    0,    0
 12766, 83381,19310224,    0,    0
 12766, 83381,19310225,    1,    0
 12766, 83381,19310226,   24,    0
 12766, 83381,19310227,   42,    0
 12766, 83381,19310228,  127,    0
 12766, 83381,19310301,   31,    0
 12766, 83381,19310302,    0,    0
 12766, 83381,19310303,    0,    0
 12766, 83381,19310304,    0,    0
 12766, 83381,19310305,    0,    0
 12766, 83381,19310306,    0,    0
 12766, 83381,19310307,    2,    0
 12766, 83381,19310308,    1,    0
 12766, 83381,19310309,    0,    0
 12766, 83381,19310310,    1,    0
 12766, 83381,19310311,   50,    0
 12766, 83381,19310312,   25,    0
 12766, 83381,19310313,    0,    0
 12766, 83381,19310314,    0,    0
 12766, 83381,19310315,    0,    0
 12766, 83381,19310316,    0,    0
 12766, 83381,19310317,    0,    0
 12766, 83381,19310318,    0,    0
 12766, 83381,19310319,    0,    0
 12766, 83381,19310320,    0,    0
 12766, 83381,19310321,   10,    0
 12766, 83381,19310322,   37,    0
 12766, 83381,19310323,    0,    0
 12766, 83381,19310324,    0,    0
 12766, 83381,19310325,    0,    0
 12766, 83381,19310326,    0,    0
 12766, 83381,19310327,    0,    0
 12766, 83381,19310328,    0,    0
 12766, 83381,19310329,    0,    0
 12766, 83381,19310330,    3,    0
 12766, 83381,19310331,    0,    0
 12766, 83381,19310401,    0,    0
 12766, 83381,19310402,    0,    0
 12766, 83381,19310403,    0,    0
 12766, 83381,19310404,   49,    0
 12766, 83381,19310405,   20,    0
 12766, 83381,19310406,    0,    0
 12766, 83381,19310407,    0,    0
 12766, 83381,19310408,    0,    0
 12766, 83381,19310409,    5,    0
 12766, 83381,19310410,    0,    0
 12766, 83381,19310411,    0,    0
 12766, 83381,19310412,    0,    0
 12766, 83381,19310413,   10,    0
 12766, 83381,19310414,   23,    0
 12766, 83381,19310415,    8,    0
 12766, 83381,19310416,    0,    0
 12766, 83381,19310417,  157,    0
 12766, 83381,19310418,    0,    0
 12766, 83381,19310419,    0,    0
 12766, 83381,19310420,    0,    0
 12766, 83381,19310421,    8,    0
 12766, 83381,19310422,   10,    0
 12766, 83381,19310423,   18,    0
 12766, 83381,19310424,    0,    0
 12766, 83381,19310425,   30,    0
 12766, 83381,19310426,   10,    0
 12766, 83381,19310427,   95,    0
 12766, 83381,19310428,   55,    0
 12766, 83381,19310429,   21,    0
 12766, 83381,19310430,    0,    0
 12766, 83381,19310501,    0,    0
 12766, 83381,19310502,    0,    0
 12766, 83381,19310503,   11,    0
 12766, 83381,19310504,   13,    0
 12766, 83381,19310505,    0,    0
 12766, 83381,19310506,   21,    0
 12766, 83381,19310507,  240,    0
 12766, 83381,19310508,    0,    0
 12766, 83381,19310509,    2,    0
 12766, 83381,19310510,    0,    0
 12766, 83381,19310511,    0,    0
 12766, 83381,19310512,    4,    0
 12766, 83381,19310513,    0,    0
 12766, 83381,19310514,    1,    0
 12766, 83381,19310515,   38,    0
 12766, 83381,19310516,    0,    0
 12766, 83381,19310517,   15,    0
 12766, 83381,19310518,    3,    0
 12766, 83381,19310519,   13,    0
 12766, 83381,19310520,    0,    0
 12766, 83381,19310521,    0,    0
 12766, 83381,19310522,    0,    0
 12766, 83381,19310523,    0,    0
 12766, 83381,19310524,    0,    0
 12766, 83381,19310525,    0,    0
 12766, 83381,19310526,    6,    0
 12766, 83381,19310527,    0,    0
 12766, 83381,19310528,   50,    0
 12766, 83381,19310529,    0,    0
 12766, 83381,19310530,   55,    0
 12766, 83381,19310531,   18,    0
 12766, 83381,19310601,   25,    0
 12766, 83381,19310602,   42,    0
 12766, 83381,19310603,    2,    0
 12766, 83381,19310604,    0,    0
 12766, 83381,19310605,    0,    0
 12766, 83381,19310606,   90,    0
 12766, 83381,19310607,   38,    0
 12766, 83381,19310608,   50,    0
 12766, 83381,19310609,  115,    0
 12766, 83381,19310610,    7,    0
 12766, 83381,19310611,    0,    0
 12766, 83381,19310612,   18,    0
 12766, 83381,19310613,    0,    0
 12766, 83381,19310614,    2,    0
 12766, 83381,19310615,    0,    0
 12766, 83381,19310616,    0,    0
 12766, 83381,19310617,   45,    0
 12766, 83381,19310618,  109,    0
 12766, 83381,19310619,    2,    0
 12766, 83381,19310620,    0,    0
 12766, 83381,19310621,    0,    0
 12766, 83381,19310622,    0,    0
 12766, 83381,19310623,    0,    0
 12766, 83381,19310624,  114,    0
 12766, 83381,19310625,    0,    0
