EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOCKAU, GERMANY (STAID: 12178)
Blended and updated with sources:81267 82205 83051 83053 84343 88001 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12178, 84343,18840101,    0,    0
 12178, 84343,18840102,    0,    0
 12178, 84343,18840103,   32,    0
 12178, 84343,18840104,   21,    0
 12178, 84343,18840105,   55,    0
 12178, 84343,18840106,    2,    0
 12178, 84343,18840107,    0,    0
 12178, 84343,18840108,    0,    0
 12178, 84343,18840109,    8,    0
 12178, 84343,18840110,    0,    0
 12178, 84343,18840111,   39,    0
 12178, 84343,18840112,   34,    0
 12178, 84343,18840113,   15,    0
 12178, 84343,18840114,  120,    0
 12178, 84343,18840115,  101,    0
 12178, 84343,18840116,   71,    0
 12178, 84343,18840117,   53,    0
 12178, 84343,18840118,   12,    0
 12178, 84343,18840119,    0,    0
 12178, 84343,18840120,    0,    0
 12178, 84343,18840121,    0,    0
 12178, 84343,18840122,   22,    0
 12178, 84343,18840123,   52,    0
 12178, 84343,18840124,  171,    0
 12178, 84343,18840125,    0,    0
 12178, 84343,18840126,    9,    0
 12178, 84343,18840127,   35,    0
 12178, 84343,18840128,    0,    0
 12178, 84343,18840129,   23,    0
 12178, 84343,18840130,    9,    0
 12178, 84343,18840131,    0,    0
 12178, 84343,18840201,    0,    0
 12178, 84343,18840202,  114,    0
 12178, 84343,18840203,    0,    0
 12178, 84343,18840204,    8,    0
 12178, 84343,18840205,   10,    0
 12178, 84343,18840206,    0,    0
 12178, 84343,18840207,    0,    0
 12178, 84343,18840208,    0,    0
 12178, 84343,18840209,    0,    0
 12178, 84343,18840210,    2,    0
