EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAUCHROEDEN, GERMANY (STAID: 13879)
Blended and updated with sources:83691 84515 85607 86011 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13879, 84515,19310101,   70,    0
 13879, 84515,19310102,    2,    0
 13879, 84515,19310103,   81,    0
 13879, 84515,19310104,   30,    0
 13879, 84515,19310105,   36,    0
 13879, 84515,19310106,   26,    0
 13879, 84515,19310107,    5,    0
 13879, 84515,19310108,    2,    0
 13879, 84515,19310109,    7,    0
 13879, 84515,19310110,   11,    0
 13879, 84515,19310111,    2,    0
 13879, 84515,19310112,    6,    0
 13879, 84515,19310113,    5,    0
 13879, 84515,19310114,   55,    0
 13879, 84515,19310115,   36,    0
 13879, 84515,19310116,   56,    0
 13879, 84515,19310117,   46,    0
 13879, 84515,19310118,   56,    0
 13879, 84515,19310119,   80,    0
 13879, 84515,19310120,   31,    0
 13879, 84515,19310121,    0,    0
 13879, 84515,19310122,    8,    0
 13879, 84515,19310123,   46,    0
 13879, 84515,19310124,   99,    0
 13879, 84515,19310125,   66,    0
 13879, 84515,19310126,   33,    0
 13879, 84515,19310127,    8,    0
 13879, 84515,19310128,   32,    0
 13879, 84515,19310129,   36,    0
 13879, 84515,19310130,    3,    0
 13879, 84515,19310131,    0,    0
 13879, 84515,19310201,    0,    0
 13879, 84515,19310202,   90,    0
 13879, 84515,19310203,   44,    0
 13879, 84515,19310204,   15,    0
 13879, 84515,19310205,    3,    0
 13879, 84515,19310206,    0,    0
 13879, 84515,19310207,    0,    0
 13879, 84515,19310208,    0,    0
 13879, 84515,19310209,    0,    0
 13879, 84515,19310210,    3,    0
 13879, 84515,19310211,   49,    0
 13879, 84515,19310212,   67,    0
 13879, 84515,19310213,    0,    0
 13879, 84515,19310214,    0,    0
 13879, 84515,19310215,    3,    0
 13879, 84515,19310216,   32,    0
 13879, 84515,19310217,   63,    0
 13879, 84515,19310218,    0,    0
 13879, 84515,19310219,    0,    0
 13879, 84515,19310220,    0,    0
 13879, 84515,19310221,   56,    0
 13879, 84515,19310222,    0,    0
 13879, 84515,19310223,    0,    0
 13879, 84515,19310224,    0,    0
 13879, 84515,19310225,    6,    0
 13879, 84515,19310226,    9,    0
 13879, 84515,19310227,    0,    0
 13879, 84515,19310228,  163,    0
 13879, 84515,19310301,   12,    0
 13879, 84515,19310302,    0,    0
 13879, 84515,19310303,    3,    0
 13879, 84515,19310304,    0,    0
 13879, 84515,19310305,    0,    0
 13879, 84515,19310306,    0,    0
 13879, 84515,19310307,   33,    0
 13879, 84515,19310308,   88,    0
 13879, 84515,19310309,    0,    0
 13879, 84515,19310310,    0,    0
 13879, 84515,19310311,   37,    0
 13879, 84515,19310312,   17,    0
 13879, 84515,19310313,    0,    0
 13879, 84515,19310314,    0,    0
 13879, 84515,19310315,    0,    0
 13879, 84515,19310316,    0,    0
 13879, 84515,19310317,    0,    0
 13879, 84515,19310318,    0,    0
 13879, 84515,19310319,    0,    0
 13879, 84515,19310320,    0,    0
 13879, 84515,19310321,   26,    0
 13879, 84515,19310322,   26,    0
 13879, 84515,19310323,    0,    0
 13879, 84515,19310324,    0,    0
 13879, 84515,19310325,    0,    0
 13879, 84515,19310326,    0,    0
 13879, 84515,19310327,    0,    0
 13879, 84515,19310328,    4,    0
 13879, 84515,19310329,    0,    0
 13879, 84515,19310330,   10,    0
 13879, 84515,19310331,    0,    0
 13879, 84515,19310401,    0,    0
 13879, 84515,19310402,    0,    0
 13879, 84515,19310403,    0,    0
 13879, 84515,19310404,    0,    0
 13879, 84515,19310405,   22,    0
 13879, 84515,19310406,    0,    0
 13879, 84515,19310407,    0,    0
 13879, 84515,19310408,    0,    0
 13879, 84515,19310409,    8,    0
 13879, 84515,19310410,   10,    0
