EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GARDERMOEN SOR, NORWAY (STAID: 11090)
Blended and updated with sources:9514 32894 56691 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 11090,  9514,19561031,-9999,    9
 11090,  9514,19561101,-9999,    9
 11090,  9514,19561102,-9999,    9
 11090,  9514,19561103,-9999,    9
 11090,  9514,19561104,-9999,    9
 11090,  9514,19561105,-9999,    9
 11090,  9514,19561106,-9999,    9
 11090,  9514,19561107,-9999,    9
 11090,  9514,19561108,-9999,    9
 11090,  9514,19561109,-9999,    9
 11090,  9514,19561110,-9999,    9
 11090,  9514,19561111,-9999,    9
 11090,  9514,19561112,-9999,    9
 11090,  9514,19561113,-9999,    9
 11090,  9514,19561114,-9999,    9
 11090,  9514,19561115,-9999,    9
 11090,  9514,19561116,-9999,    9
 11090,  9514,19561117,-9999,    9
 11090,  9514,19561118,-9999,    9
 11090,  9514,19561119,-9999,    9
 11090,  9514,19561120,-9999,    9
 11090,  9514,19561121,-9999,    9
 11090,  9514,19561122,-9999,    9
 11090,  9514,19561123,-9999,    9
 11090,  9514,19561124,-9999,    9
 11090,  9514,19561125,-9999,    9
 11090,  9514,19561126,-9999,    9
 11090,  9514,19561127,-9999,    9
 11090,  9514,19561128,-9999,    9
 11090,  9514,19561129,-9999,    9
 11090,  9514,19561130,-9999,    9
 11090,  9514,19561201,-9999,    9
 11090,  9514,19561202,-9999,    9
 11090,  9514,19561203,-9999,    9
 11090,  9514,19561204,-9999,    9
 11090,  9514,19561205,-9999,    9
 11090,  9514,19561206,-9999,    9
 11090,  9514,19561207,-9999,    9
 11090,  9514,19561208,-9999,    9
 11090,  9514,19561209,-9999,    9
 11090,  9514,19561210,-9999,    9
 11090,  9514,19561211,-9999,    9
 11090,  9514,19561212,-9999,    9
 11090,  9514,19561213,-9999,    9
 11090,  9514,19561214,-9999,    9
 11090,  9514,19561215,-9999,    9
 11090,  9514,19561216,-9999,    9
 11090,  9514,19561217,-9999,    9
 11090,  9514,19561218,-9999,    9
 11090,  9514,19561219,-9999,    9
 11090,  9514,19561220,-9999,    9
 11090,  9514,19561221,-9999,    9
 11090,  9514,19561222,-9999,    9
 11090,  9514,19561223,-9999,    9
