EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SURGUT, RUSSIAN FEDERATION (STAID: 3075)
Blended and updated with sources:16864 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3075, 16864,18840101,-9999,    9
  3075, 16864,18840102,-9999,    9
  3075, 16864,18840103,-9999,    9
  3075, 16864,18840104,-9999,    9
  3075, 16864,18840105,-9999,    9
  3075, 16864,18840106,-9999,    9
  3075, 16864,18840107,-9999,    9
  3075, 16864,18840108,-9999,    9
  3075, 16864,18840109,-9999,    9
  3075, 16864,18840110,-9999,    9
  3075, 16864,18840111,-9999,    9
  3075, 16864,18840112,-9999,    9
  3075, 16864,18840113,-9999,    9
  3075, 16864,18840114,-9999,    9
  3075, 16864,18840115,-9999,    9
  3075, 16864,18840116,-9999,    9
  3075, 16864,18840117,-9999,    9
  3075, 16864,18840118,-9999,    9
  3075, 16864,18840119,-9999,    9
  3075, 16864,18840120,-9999,    9
  3075, 16864,18840121,-9999,    9
  3075, 16864,18840122,-9999,    9
  3075, 16864,18840123,-9999,    9
  3075, 16864,18840124,-9999,    9
  3075, 16864,18840125,-9999,    9
  3075, 16864,18840126,-9999,    9
  3075, 16864,18840127,-9999,    9
  3075, 16864,18840128,-9999,    9
  3075, 16864,18840129,-9999,    9
  3075, 16864,18840130,-9999,    9
  3075, 16864,18840131,-9999,    9
  3075, 16864,18840201,-9999,    9
  3075, 16864,18840202,-9999,    9
  3075, 16864,18840203,-9999,    9
  3075, 16864,18840204,-9999,    9
  3075, 16864,18840205,-9999,    9
  3075, 16864,18840206,-9999,    9
  3075, 16864,18840207,-9999,    9
  3075, 16864,18840208,-9999,    9
  3075, 16864,18840209,-9999,    9
  3075, 16864,18840210,-9999,    9
  3075, 16864,18840211,-9999,    9
  3075, 16864,18840212,-9999,    9
  3075, 16864,18840213,-9999,    9
  3075, 16864,18840214,-9999,    9
  3075, 16864,18840215,-9999,    9
  3075, 16864,18840216,-9999,    9
  3075, 16864,18840217,-9999,    9
  3075, 16864,18840218,-9999,    9
  3075, 16864,18840219,-9999,    9
  3075, 16864,18840220,-9999,    9
  3075, 16864,18840221,-9999,    9
  3075, 16864,18840222,-9999,    9
  3075, 16864,18840223,-9999,    9
  3075, 16864,18840224,-9999,    9
  3075, 16864,18840225,-9999,    9
  3075, 16864,18840226,-9999,    9
  3075, 16864,18840227,-9999,    9
  3075, 16864,18840228,-9999,    9
  3075, 16864,18840229,-9999,    9
  3075, 16864,18840301,-9999,    9
  3075, 16864,18840302,-9999,    9
  3075, 16864,18840303,-9999,    9
  3075, 16864,18840304,-9999,    9
  3075, 16864,18840305,-9999,    9
  3075, 16864,18840306,-9999,    9
  3075, 16864,18840307,-9999,    9
  3075, 16864,18840308,-9999,    9
  3075, 16864,18840309,-9999,    9
  3075, 16864,18840310,-9999,    9
  3075, 16864,18840311,-9999,    9
  3075, 16864,18840312,-9999,    9
  3075, 16864,18840313,-9999,    9
  3075, 16864,18840314,-9999,    9
  3075, 16864,18840315,-9999,    9
  3075, 16864,18840316,-9999,    9
  3075, 16864,18840317,-9999,    9
  3075, 16864,18840318,-9999,    9
  3075, 16864,18840319,-9999,    9
  3075, 16864,18840320,-9999,    9
  3075, 16864,18840321,-9999,    9
  3075, 16864,18840322,-9999,    9
  3075, 16864,18840323,-9999,    9
  3075, 16864,18840324,-9999,    9
  3075, 16864,18840325,-9999,    9
  3075, 16864,18840326,-9999,    9
  3075, 16864,18840327,-9999,    9
  3075, 16864,18840328,-9999,    9
  3075, 16864,18840329,-9999,    9
  3075, 16864,18840330,-9999,    9
  3075, 16864,18840331,-9999,    9
  3075, 16864,18840401,-9999,    9
  3075, 16864,18840402,-9999,    9
  3075, 16864,18840403,-9999,    9
  3075, 16864,18840404,-9999,    9
  3075, 16864,18840405,-9999,    9
  3075, 16864,18840406,-9999,    9
  3075, 16864,18840407,-9999,    9
  3075, 16864,18840408,-9999,    9
  3075, 16864,18840409,-9999,    9
  3075, 16864,18840410,-9999,    9
  3075, 16864,18840411,-9999,    9
  3075, 16864,18840412,-9999,    9
  3075, 16864,18840413,-9999,    9
  3075, 16864,18840414,-9999,    9
  3075, 16864,18840415,-9999,    9
  3075, 16864,18840416,-9999,    9
  3075, 16864,18840417,-9999,    9
  3075, 16864,18840418,-9999,    9
  3075, 16864,18840419,-9999,    9
  3075, 16864,18840420,-9999,    9
  3075, 16864,18840421,-9999,    9
  3075, 16864,18840422,-9999,    9
  3075, 16864,18840423,-9999,    9
  3075, 16864,18840424,-9999,    9
  3075, 16864,18840425,-9999,    9
  3075, 16864,18840426,-9999,    9
  3075, 16864,18840427,-9999,    9
  3075, 16864,18840428,-9999,    9
  3075, 16864,18840429,-9999,    9
  3075, 16864,18840430,-9999,    9
  3075, 16864,18840501,-9999,    9
  3075, 16864,18840502,-9999,    9
  3075, 16864,18840503,-9999,    9
  3075, 16864,18840504,-9999,    9
  3075, 16864,18840505,-9999,    9
  3075, 16864,18840506,-9999,    9
  3075, 16864,18840507,-9999,    9
  3075, 16864,18840508,-9999,    9
  3075, 16864,18840509,-9999,    9
  3075, 16864,18840510,-9999,    9
  3075, 16864,18840511,-9999,    9
  3075, 16864,18840512,-9999,    9
  3075, 16864,18840513,-9999,    9
  3075, 16864,18840514,-9999,    9
  3075, 16864,18840515,-9999,    9
  3075, 16864,18840516,-9999,    9
  3075, 16864,18840517,-9999,    9
  3075, 16864,18840518,-9999,    9
  3075, 16864,18840519,-9999,    9
  3075, 16864,18840520,-9999,    9
  3075, 16864,18840521,-9999,    9
  3075, 16864,18840522,-9999,    9
  3075, 16864,18840523,-9999,    9
  3075, 16864,18840524,-9999,    9
  3075, 16864,18840525,-9999,    9
  3075, 16864,18840526,-9999,    9
  3075, 16864,18840527,-9999,    9
  3075, 16864,18840528,-9999,    9
  3075, 16864,18840529,-9999,    9
  3075, 16864,18840530,-9999,    9
  3075, 16864,18840531,-9999,    9
  3075, 16864,18840601,-9999,    9
  3075, 16864,18840602,-9999,    9
  3075, 16864,18840603,-9999,    9
  3075, 16864,18840604,-9999,    9
  3075, 16864,18840605,-9999,    9
  3075, 16864,18840606,-9999,    9
  3075, 16864,18840607,-9999,    9
  3075, 16864,18840608,-9999,    9
  3075, 16864,18840609,-9999,    9
  3075, 16864,18840610,-9999,    9
  3075, 16864,18840611,-9999,    9
  3075, 16864,18840612,-9999,    9
  3075, 16864,18840613,-9999,    9
  3075, 16864,18840614,-9999,    9
  3075, 16864,18840615,-9999,    9
  3075, 16864,18840616,-9999,    9
  3075, 16864,18840617,-9999,    9
  3075, 16864,18840618,-9999,    9
  3075, 16864,18840619,-9999,    9
  3075, 16864,18840620,-9999,    9
  3075, 16864,18840621,-9999,    9
  3075, 16864,18840622,-9999,    9
  3075, 16864,18840623,-9999,    9
  3075, 16864,18840624,-9999,    9
  3075, 16864,18840625,-9999,    9
  3075, 16864,18840626,-9999,    9
  3075, 16864,18840627,-9999,    9
  3075, 16864,18840628,-9999,    9
  3075, 16864,18840629,-9999,    9
  3075, 16864,18840630,-9999,    9
  3075, 16864,18840701,-9999,    9
  3075, 16864,18840702,-9999,    9
  3075, 16864,18840703,-9999,    9
  3075, 16864,18840704,-9999,    9
  3075, 16864,18840705,-9999,    9
  3075, 16864,18840706,-9999,    9
  3075, 16864,18840707,-9999,    9
  3075, 16864,18840708,-9999,    9
  3075, 16864,18840709,-9999,    9
  3075, 16864,18840710,-9999,    9
  3075, 16864,18840711,-9999,    9
  3075, 16864,18840712,-9999,    9
  3075, 16864,18840713,-9999,    9
  3075, 16864,18840714,-9999,    9
  3075, 16864,18840715,-9999,    9
  3075, 16864,18840716,-9999,    9
