EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARSDORF, GERMANY (STAID: 13617)
Blended and updated with sources:85083 85979 87985 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13617, 87985,19450301,-9999,    9
 13617, 87985,19450302,-9999,    9
 13617, 87985,19450303,-9999,    9
 13617, 87985,19450304,-9999,    9
 13617, 87985,19450305,-9999,    9
 13617, 87985,19450306,-9999,    9
 13617, 87985,19450307,-9999,    9
 13617, 87985,19450308,-9999,    9
 13617, 87985,19450309,-9999,    9
 13617, 87985,19450310,-9999,    9
 13617, 87985,19450311,-9999,    9
 13617, 87985,19450312,-9999,    9
 13617, 87985,19450313,-9999,    9
 13617, 87985,19450314,-9999,    9
 13617, 87985,19450315,-9999,    9
 13617, 87985,19450316,-9999,    9
 13617, 87985,19450317,-9999,    9
 13617, 87985,19450318,-9999,    9
 13617, 87985,19450319,-9999,    9
 13617, 87985,19450320,-9999,    9
 13617, 87985,19450321,-9999,    9
 13617, 87985,19450322,-9999,    9
 13617, 87985,19450323,-9999,    9
 13617, 87985,19450324,-9999,    9
 13617, 87985,19450325,-9999,    9
 13617, 87985,19450326,-9999,    9
 13617, 87985,19450327,-9999,    9
 13617, 87985,19450328,-9999,    9
 13617, 87985,19450329,-9999,    9
 13617, 87985,19450330,-9999,    9
 13617, 87985,19450331,    3,    0
 13617, 85979,19450401,    0,    0
 13617, 85979,19450402,   15,    0
 13617, 85979,19450403,    8,    0
 13617, 85979,19450404,   14,    0
 13617, 85979,19450405,   33,    0
 13617, 85979,19450406,   25,    0
 13617, 85979,19450407,    0,    0
 13617, 85979,19450408,    0,    0
 13617, 85979,19450409,    0,    0
 13617, 85979,19450410,    0,    0
 13617, 85979,19450411,    0,    0
 13617, 85979,19450412,    0,    0
 13617, 85979,19450413,    0,    0
 13617, 85979,19450414,    0,    0
 13617, 85979,19450415,    0,    0
 13617, 85979,19450416,    0,    0
 13617, 85979,19450417,   20,    0
