EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LISBOA GEOFISICA, PORTUGAL (STAID: 214)
Blended and updated with sources:35060 91294 908535 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
   214, 91294,18500101,-9999,    9
   214, 91294,18500102,-9999,    9
   214, 91294,18500103,-9999,    9
   214, 91294,18500104,-9999,    9
   214, 91294,18500105,-9999,    9
   214, 91294,18500106,-9999,    9
   214, 91294,18500107,-9999,    9
   214, 91294,18500108,-9999,    9
   214, 91294,18500109,-9999,    9
   214, 91294,18500110,-9999,    9
   214, 91294,18500111,-9999,    9
   214, 91294,18500112,-9999,    9
   214, 91294,18500113,-9999,    9
   214, 91294,18500114,-9999,    9
   214, 91294,18500115,-9999,    9
   214, 91294,18500116,-9999,    9
   214, 91294,18500117,-9999,    9
   214, 91294,18500118,-9999,    9
   214, 91294,18500119,-9999,    9
   214, 91294,18500120,-9999,    9
   214, 91294,18500121,-9999,    9
   214, 91294,18500122,-9999,    9
   214, 91294,18500123,-9999,    9
   214, 91294,18500124,-9999,    9
   214, 91294,18500125,-9999,    9
   214, 91294,18500126,-9999,    9
   214, 91294,18500127,-9999,    9
   214, 91294,18500128,-9999,    9
   214, 91294,18500129,-9999,    9
   214, 91294,18500130,-9999,    9
   214, 91294,18500131,-9999,    9
   214, 91294,18500201,-9999,    9
   214, 91294,18500202,-9999,    9
   214, 91294,18500203,-9999,    9
   214, 91294,18500204,-9999,    9
   214, 91294,18500205,-9999,    9
   214, 91294,18500206,-9999,    9
   214, 91294,18500207,-9999,    9
   214, 91294,18500208,-9999,    9
   214, 91294,18500209,-9999,    9
   214, 91294,18500210,-9999,    9
   214, 91294,18500211,-9999,    9
   214, 91294,18500212,-9999,    9
   214, 91294,18500213,-9999,    9
   214, 91294,18500214,-9999,    9
   214, 91294,18500215,-9999,    9
   214, 91294,18500216,-9999,    9
   214, 91294,18500217,-9999,    9
