EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BUCHEL (FLUGPLATZ), GERMANY (STAID: 4940)
Blended and updated with sources:32370 910613 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4940, 32370,19650101,-9999,    9
  4940, 32370,19650102,-9999,    9
  4940, 32370,19650103,-9999,    9
  4940, 32370,19650104,-9999,    9
  4940, 32370,19650105,-9999,    9
  4940, 32370,19650106,-9999,    9
  4940, 32370,19650107,-9999,    9
  4940, 32370,19650108,-9999,    9
  4940, 32370,19650109,-9999,    9
  4940, 32370,19650110,-9999,    9
  4940, 32370,19650111,-9999,    9
  4940, 32370,19650112,-9999,    9
  4940, 32370,19650113,-9999,    9
  4940, 32370,19650114,-9999,    9
  4940, 32370,19650115,-9999,    9
  4940, 32370,19650116,-9999,    9
  4940, 32370,19650117,-9999,    9
  4940, 32370,19650118,-9999,    9
  4940, 32370,19650119,-9999,    9
  4940, 32370,19650120,-9999,    9
  4940, 32370,19650121,-9999,    9
  4940, 32370,19650122,-9999,    9
  4940, 32370,19650123,-9999,    9
  4940, 32370,19650124,-9999,    9
  4940, 32370,19650125,-9999,    9
  4940, 32370,19650126,-9999,    9
  4940, 32370,19650127,-9999,    9
  4940, 32370,19650128,-9999,    9
  4940, 32370,19650129,-9999,    9
  4940, 32370,19650130,-9999,    9
  4940, 32370,19650131,-9999,    9
  4940, 32370,19650201,-9999,    9
  4940, 32370,19650202,-9999,    9
  4940, 32370,19650203,-9999,    9
  4940, 32370,19650204,-9999,    9
  4940, 32370,19650205,-9999,    9
  4940, 32370,19650206,-9999,    9
  4940, 32370,19650207,-9999,    9
  4940, 32370,19650208,-9999,    9
  4940, 32370,19650209,-9999,    9
  4940, 32370,19650210,-9999,    9
  4940, 32370,19650211,-9999,    9
  4940, 32370,19650212,-9999,    9
  4940, 32370,19650213,-9999,    9
  4940, 32370,19650214,-9999,    9
  4940, 32370,19650215,-9999,    9
  4940, 32370,19650216,-9999,    9
  4940, 32370,19650217,-9999,    9
  4940, 32370,19650218,-9999,    9
  4940, 32370,19650219,-9999,    9
  4940, 32370,19650220,-9999,    9
  4940, 32370,19650221,-9999,    9
  4940, 32370,19650222,-9999,    9
  4940, 32370,19650223,-9999,    9
  4940, 32370,19650224,-9999,    9
  4940, 32370,19650225,-9999,    9
  4940, 32370,19650226,-9999,    9
  4940, 32370,19650227,-9999,    9
  4940, 32370,19650228,-9999,    9
  4940, 32370,19650301,-9999,    9
  4940, 32370,19650302,-9999,    9
  4940, 32370,19650303,-9999,    9
  4940, 32370,19650304,-9999,    9
  4940, 32370,19650305,-9999,    9
  4940, 32370,19650306,-9999,    9
  4940, 32370,19650307,-9999,    9
  4940, 32370,19650308,-9999,    9
  4940, 32370,19650309,-9999,    9
  4940, 32370,19650310,-9999,    9
  4940, 32370,19650311,-9999,    9
  4940, 32370,19650312,-9999,    9
  4940, 32370,19650313,-9999,    9
  4940, 32370,19650314,-9999,    9
  4940, 32370,19650315,-9999,    9
  4940, 32370,19650316,-9999,    9
  4940, 32370,19650317,-9999,    9
  4940, 32370,19650318,-9999,    9
  4940, 32370,19650319,-9999,    9
  4940, 32370,19650320,-9999,    9
  4940, 32370,19650321,-9999,    9
  4940, 32370,19650322,-9999,    9
  4940, 32370,19650323,-9999,    9
  4940, 32370,19650324,-9999,    9
  4940, 32370,19650325,-9999,    9
  4940, 32370,19650326,-9999,    9
  4940, 32370,19650327,-9999,    9
  4940, 32370,19650328,-9999,    9
  4940, 32370,19650329,-9999,    9
  4940, 32370,19650330,-9999,    9
  4940, 32370,19650331,-9999,    9
  4940, 32370,19650401,-9999,    9
  4940, 32370,19650402,-9999,    9
  4940, 32370,19650403,-9999,    9
  4940, 32370,19650404,-9999,    9
  4940, 32370,19650405,-9999,    9
  4940, 32370,19650406,-9999,    9
  4940, 32370,19650407,-9999,    9
  4940, 32370,19650408,-9999,    9
  4940, 32370,19650409,-9999,    9
  4940, 32370,19650410,-9999,    9
  4940, 32370,19650411,-9999,    9
  4940, 32370,19650412,-9999,    9
  4940, 32370,19650413,-9999,    9
  4940, 32370,19650414,-9999,    9
  4940, 32370,19650415,-9999,    9
  4940, 32370,19650416,-9999,    9
  4940, 32370,19650417,-9999,    9
  4940, 32370,19650418,-9999,    9
  4940, 32370,19650419,-9999,    9
  4940, 32370,19650420,-9999,    9
  4940, 32370,19650421,-9999,    9
  4940, 32370,19650422,-9999,    9
  4940, 32370,19650423,-9999,    9
  4940, 32370,19650424,-9999,    9
  4940, 32370,19650425,-9999,    9
  4940, 32370,19650426,-9999,    9
  4940, 32370,19650427,-9999,    9
  4940, 32370,19650428,-9999,    9
  4940, 32370,19650429,-9999,    9
  4940, 32370,19650430,-9999,    9
  4940, 32370,19650501,-9999,    9
  4940, 32370,19650502,-9999,    9
  4940, 32370,19650503,-9999,    9
  4940, 32370,19650504,-9999,    9
  4940, 32370,19650505,-9999,    9
  4940, 32370,19650506,-9999,    9
  4940, 32370,19650507,-9999,    9
  4940, 32370,19650508,-9999,    9
  4940, 32370,19650509,-9999,    9
  4940, 32370,19650510,-9999,    9
  4940, 32370,19650511,-9999,    9
  4940, 32370,19650512,-9999,    9
  4940, 32370,19650513,-9999,    9
  4940, 32370,19650514,-9999,    9
  4940, 32370,19650515,-9999,    9
  4940, 32370,19650516,-9999,    9
  4940, 32370,19650517,-9999,    9
  4940, 32370,19650518,-9999,    9
  4940, 32370,19650519,-9999,    9
  4940, 32370,19650520,-9999,    9
  4940, 32370,19650521,-9999,    9
  4940, 32370,19650522,-9999,    9
  4940, 32370,19650523,-9999,    9
  4940, 32370,19650524,-9999,    9
  4940, 32370,19650525,-9999,    9
  4940, 32370,19650526,-9999,    9
  4940, 32370,19650527,-9999,    9
  4940, 32370,19650528,-9999,    9
  4940, 32370,19650529,-9999,    9
  4940, 32370,19650530,-9999,    9
  4940, 32370,19650531,-9999,    9
  4940, 32370,19650601,-9999,    9
  4940, 32370,19650602,-9999,    9
  4940, 32370,19650603,-9999,    9
  4940, 32370,19650604,-9999,    9
  4940, 32370,19650605,-9999,    9
  4940, 32370,19650606,-9999,    9
  4940, 32370,19650607,-9999,    9
  4940, 32370,19650608,-9999,    9
  4940, 32370,19650609,-9999,    9
  4940, 32370,19650610,-9999,    9
  4940, 32370,19650611,-9999,    9
  4940, 32370,19650612,-9999,    9
  4940, 32370,19650613,-9999,    9
  4940, 32370,19650614,-9999,    9
  4940, 32370,19650615,-9999,    9
  4940, 32370,19650616,-9999,    9
  4940, 32370,19650617,-9999,    9
  4940, 32370,19650618,-9999,    9
  4940, 32370,19650619,-9999,    9
  4940, 32370,19650620,-9999,    9
  4940, 32370,19650621,-9999,    9
  4940, 32370,19650622,-9999,    9
  4940, 32370,19650623,-9999,    9
  4940, 32370,19650624,-9999,    9
  4940, 32370,19650625,-9999,    9
  4940, 32370,19650626,-9999,    9
  4940, 32370,19650627,-9999,    9
  4940, 32370,19650628,-9999,    9
  4940, 32370,19650629,-9999,    9
  4940, 32370,19650630,-9999,    9
  4940, 32370,19650701,-9999,    9
  4940, 32370,19650702,-9999,    9
  4940, 32370,19650703,-9999,    9
  4940, 32370,19650704,-9999,    9
  4940, 32370,19650705,-9999,    9
  4940, 32370,19650706,-9999,    9
  4940, 32370,19650707,-9999,    9
  4940, 32370,19650708,-9999,    9
  4940, 32370,19650709,-9999,    9
  4940, 32370,19650710,-9999,    9
  4940, 32370,19650711,-9999,    9
  4940, 32370,19650712,-9999,    9
  4940, 32370,19650713,-9999,    9
  4940, 32370,19650714,-9999,    9
  4940, 32370,19650715,-9999,    9
  4940, 32370,19650716,-9999,    9
  4940, 32370,19650717,-9999,    9
  4940, 32370,19650718,-9999,    9
  4940, 32370,19650719,-9999,    9
  4940, 32370,19650720,-9999,    9
  4940, 32370,19650721,-9999,    9
  4940, 32370,19650722,-9999,    9
  4940, 32370,19650723,-9999,    9
  4940, 32370,19650724,-9999,    9
  4940, 32370,19650725,-9999,    9
  4940, 32370,19650726,-9999,    9
  4940, 32370,19650727,-9999,    9
  4940, 32370,19650728,-9999,    9
  4940, 32370,19650729,-9999,    9
  4940, 32370,19650730,-9999,    9
  4940, 32370,19650731,-9999,    9
  4940, 32370,19650801,-9999,    9
  4940, 32370,19650802,-9999,    9
  4940, 32370,19650803,-9999,    9
  4940, 32370,19650804,-9999,    9
  4940, 32370,19650805,-9999,    9
  4940, 32370,19650806,-9999,    9
  4940, 32370,19650807,-9999,    9
  4940, 32370,19650808,-9999,    9
  4940, 32370,19650809,-9999,    9
  4940, 32370,19650810,-9999,    9
  4940, 32370,19650811,-9999,    9
  4940, 32370,19650812,-9999,    9
  4940, 32370,19650813,-9999,    9
  4940, 32370,19650814,-9999,    9
  4940, 32370,19650815,-9999,    9
  4940, 32370,19650816,-9999,    9
  4940, 32370,19650817,-9999,    9
  4940, 32370,19650818,-9999,    9
