EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHOECKL, AUSTRIA (STAID: 24269)
Blended and updated with sources:129088 129101 911241 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24269,129088,19280101,    0,    1
 24269,129088,19280102,    0,    1
 24269,129088,19280103,    0,    1
 24269,129088,19280104,    0,    1
 24269,129088,19280105,    0,    1
 24269,129088,19280106,    0,    1
 24269,129088,19280107,    0,    1
 24269,129088,19280108,    0,    1
 24269,129088,19280109,    0,    1
 24269,129088,19280110,    0,    1
 24269,129088,19280111,    0,    1
 24269,129088,19280112,    0,    1
 24269,129088,19280113,    0,    1
 24269,129088,19280114,    0,    1
 24269,129088,19280115,    0,    1
 24269,129088,19280116,    0,    1
 24269,129088,19280117,    0,    1
 24269,129088,19280118,    0,    1
 24269,129088,19280119,    0,    1
 24269,129088,19280120,    0,    1
 24269,129088,19280121,    0,    1
 24269,129088,19280122,    0,    1
 24269,129088,19280123,    0,    1
 24269,129088,19280124,    0,    1
 24269,129088,19280125,    0,    1
 24269,129088,19280126,    0,    1
 24269,129088,19280127,    0,    1
 24269,129088,19280128,    0,    1
 24269,129088,19280129,    0,    1
 24269,129088,19280130,    0,    1
 24269,129088,19280131,    0,    1
 24269,129088,19280201,    0,    1
 24269,129088,19280202,    0,    1
 24269,129088,19280203,    0,    1
 24269,129088,19280204,    0,    1
 24269,129088,19280205,    0,    1
 24269,129088,19280206,    0,    1
 24269,129088,19280207,    0,    1
 24269,129088,19280208,    0,    1
 24269,129088,19280209,    0,    1
 24269,129088,19280210,    0,    1
 24269,129088,19280211,    0,    1
 24269,129088,19280212,    0,    1
 24269,129088,19280213,    0,    1
 24269,129088,19280214,    0,    1
 24269,129088,19280215,    0,    1
 24269,129088,19280216,    0,    1
 24269,129088,19280217,    0,    1
 24269,129088,19280218,    0,    1
 24269,129088,19280219,    0,    1
 24269,129088,19280220,    0,    1
 24269,129088,19280221,    0,    1
 24269,129088,19280222,    0,    1
 24269,129088,19280223,    0,    1
 24269,129088,19280224,    0,    1
 24269,129088,19280225,    0,    1
 24269,129088,19280226,    0,    1
 24269,129088,19280227,    0,    1
 24269,129088,19280228,    0,    1
 24269,129088,19280229,    0,    1
 24269,129088,19280301,    0,    1
 24269,129088,19280302,    0,    1
 24269,129088,19280303,    0,    1
 24269,129088,19280304,    0,    1
 24269,129088,19280305,    0,    1
 24269,129088,19280306,    0,    1
 24269,129088,19280307,    0,    1
 24269,129088,19280308,    0,    1
 24269,129088,19280309,    0,    1
 24269,129088,19280310,    0,    1
 24269,129088,19280311,    0,    1
 24269,129088,19280312,    0,    1
 24269,129088,19280313,    0,    1
 24269,129088,19280314,    0,    1
 24269,129088,19280315,    0,    1
 24269,129088,19280316,    0,    1
 24269,129088,19280317,    0,    1
 24269,129088,19280318,    0,    1
 24269,129088,19280319,    0,    1
 24269,129088,19280320,    0,    1
 24269,129088,19280321,    0,    1
 24269,129088,19280322,    0,    1
 24269,129088,19280323,    0,    1
 24269,129088,19280324,    0,    1
 24269,129088,19280325,    0,    1
 24269,129088,19280326,    0,    1
 24269,129088,19280327,    0,    1
 24269,129088,19280328,    0,    1
 24269,129088,19280329,    0,    1
 24269,129088,19280330,    0,    1
 24269,129088,19280331,    0,    1
 24269,129088,19280401,    0,    1
 24269,129088,19280402,    0,    1
 24269,129088,19280403,    0,    1
 24269,129088,19280404,    0,    1
 24269,129088,19280405,    0,    1
 24269,129088,19280406,    0,    1
 24269,129088,19280407,    0,    1
 24269,129088,19280408,    0,    1
 24269,129088,19280409,    0,    1
 24269,129088,19280410,    0,    1
 24269,129088,19280411,    0,    1
 24269,129088,19280412,    0,    1
 24269,129088,19280413,    0,    1
 24269,129088,19280414,    0,    1
 24269,129088,19280415,    0,    1
 24269,129088,19280416,    0,    1
 24269,129088,19280417,    0,    1
 24269,129088,19280418,    0,    1
 24269,129088,19280419,    0,    1
 24269,129088,19280420,    0,    1
 24269,129088,19280421,    0,    1
 24269,129088,19280422,    0,    1
 24269,129088,19280423,    0,    1
 24269,129088,19280424,    0,    1
 24269,129088,19280425,    0,    1
 24269,129088,19280426,    0,    1
 24269,129088,19280427,    0,    1
 24269,129088,19280428,    0,    1
 24269,129088,19280429,    0,    1
 24269,129088,19280430,    0,    1
 24269,129088,19280501,    0,    1
 24269,129088,19280502,    0,    1
 24269,129088,19280503,    0,    1
 24269,129088,19280504,    0,    1
 24269,129088,19280505,    0,    1
 24269,129088,19280506,    0,    1
 24269,129088,19280507,    0,    1
 24269,129088,19280508,    0,    1
 24269,129088,19280509,    0,    1
 24269,129088,19280510,    0,    1
 24269,129088,19280511,    0,    1
 24269,129088,19280512,    0,    1
 24269,129088,19280513,    0,    1
 24269,129088,19280514,    0,    1
 24269,129088,19280515,    0,    1
 24269,129088,19280516,    0,    1
 24269,129088,19280517,    0,    1
 24269,129088,19280518,    0,    1
 24269,129088,19280519,    0,    1
 24269,129088,19280520,    0,    1
