EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HIRSCHAU, GERMANY (STAID: 13392)
Blended and updated with sources:83447 84173 84633 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 13392, 84633,19410101,  143,    0
 13392, 84633,19410102,   15,    0
 13392, 84633,19410103,   11,    0
 13392, 84633,19410104,   28,    0
 13392, 84633,19410105,    2,    0
 13392, 84633,19410106,    3,    0
 13392, 84633,19410107,    0,    0
 13392, 84633,19410108,    0,    0
 13392, 84633,19410109,    0,    0
 13392, 84633,19410110,    0,    0
 13392, 84633,19410111,    0,    0
 13392, 84633,19410112,    0,    0
 13392, 84633,19410113,   17,    0
 13392, 84633,19410114,    0,    0
 13392, 84633,19410115,    0,    0
 13392, 84633,19410116,   12,    0
 13392, 84633,19410117,    9,    0
 13392, 84633,19410118,   38,    0
 13392, 84633,19410119,   95,    0
 13392, 84633,19410120,   75,    0
 13392, 84633,19410121,    0,    0
 13392, 84633,19410122,  112,    0
 13392, 84633,19410123,   12,    0
 13392, 84633,19410124,   50,    0
 13392, 84633,19410125,  125,    0
 13392, 84633,19410126,    2,    0
 13392, 84633,19410127,    0,    0
 13392, 84633,19410128,    0,    0
 13392, 84633,19410129,    0,    0
 13392, 84633,19410130,    0,    0
 13392, 84633,19410131,    8,    0
 13392, 84633,19410201,   33,    0
 13392, 84633,19410202,   20,    0
 13392, 84633,19410203,    0,    0
 13392, 84633,19410204,   22,    0
 13392, 84633,19410205,   22,    0
 13392, 84633,19410206,    0,    0
 13392, 84633,19410207,   30,    0
 13392, 84633,19410208,   20,    0
 13392, 84633,19410209,    0,    0
 13392, 84633,19410210,    0,    0
 13392, 84633,19410211,    0,    0
 13392, 84633,19410212,    0,    0
 13392, 84633,19410213,  197,    0
 13392, 84633,19410214,    0,    0
 13392, 84633,19410215,    0,    0
 13392, 84633,19410216,   15,    0
 13392, 84633,19410217,    0,    0
 13392, 84633,19410218,    0,    0
 13392, 84633,19410219,    0,    0
 13392, 84633,19410220,    0,    0
 13392, 84633,19410221,    0,    0
 13392, 84633,19410222,    3,    0
 13392, 84633,19410223,   17,    0
 13392, 84633,19410224,   14,    0
 13392, 84633,19410225,   34,    0
 13392, 84633,19410226,    2,    0
 13392, 84633,19410227,   37,    0
 13392, 84633,19410228,   97,    0
 13392, 84633,19410301,   38,    0
 13392, 84633,19410302,    0,    0
 13392, 84633,19410303,   58,    0
 13392, 84633,19410304,   95,    0
 13392, 84633,19410305,    3,    0
 13392, 84633,19410306,    0,    0
 13392, 84633,19410307,    0,    0
