EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIZERTE CAP BLANC, TUNISIA (STAID: 7959)
Blended and updated with sources:47767 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  7959, 47767,18860101,-9999,    9
  7959, 47767,18860102,-9999,    9
  7959, 47767,18860103,-9999,    9
  7959, 47767,18860104,-9999,    9
  7959, 47767,18860105,-9999,    9
  7959, 47767,18860106,-9999,    9
  7959, 47767,18860107,-9999,    9
  7959, 47767,18860108,-9999,    9
  7959, 47767,18860109,-9999,    9
  7959, 47767,18860110,-9999,    9
  7959, 47767,18860111,-9999,    9
  7959, 47767,18860112,-9999,    9
  7959, 47767,18860113,-9999,    9
  7959, 47767,18860114,-9999,    9
  7959, 47767,18860115,-9999,    9
  7959, 47767,18860116,-9999,    9
  7959, 47767,18860117,-9999,    9
  7959, 47767,18860118,-9999,    9
  7959, 47767,18860119,-9999,    9
  7959, 47767,18860120,-9999,    9
  7959, 47767,18860121,-9999,    9
  7959, 47767,18860122,-9999,    9
  7959, 47767,18860123,-9999,    9
  7959, 47767,18860124,-9999,    9
  7959, 47767,18860125,-9999,    9
  7959, 47767,18860126,-9999,    9
  7959, 47767,18860127,-9999,    9
  7959, 47767,18860128,-9999,    9
  7959, 47767,18860129,-9999,    9
  7959, 47767,18860130,-9999,    9
  7959, 47767,18860131,-9999,    9
  7959, 47767,18860201,-9999,    9
  7959, 47767,18860202,-9999,    9
  7959, 47767,18860203,-9999,    9
  7959, 47767,18860204,-9999,    9
  7959, 47767,18860205,-9999,    9
  7959, 47767,18860206,-9999,    9
  7959, 47767,18860207,-9999,    9
  7959, 47767,18860208,-9999,    9
  7959, 47767,18860209,-9999,    9
  7959, 47767,18860210,-9999,    9
  7959, 47767,18860211,-9999,    9
  7959, 47767,18860212,-9999,    9
  7959, 47767,18860213,-9999,    9
  7959, 47767,18860214,-9999,    9
  7959, 47767,18860215,-9999,    9
  7959, 47767,18860216,-9999,    9
  7959, 47767,18860217,-9999,    9
  7959, 47767,18860218,-9999,    9
  7959, 47767,18860219,-9999,    9
  7959, 47767,18860220,-9999,    9
  7959, 47767,18860221,-9999,    9
  7959, 47767,18860222,-9999,    9
  7959, 47767,18860223,-9999,    9
  7959, 47767,18860224,-9999,    9
  7959, 47767,18860225,-9999,    9
  7959, 47767,18860226,-9999,    9
  7959, 47767,18860227,-9999,    9
  7959, 47767,18860228,-9999,    9
  7959, 47767,18860301,-9999,    9
  7959, 47767,18860302,-9999,    9
  7959, 47767,18860303,-9999,    9
  7959, 47767,18860304,-9999,    9
  7959, 47767,18860305,-9999,    9
  7959, 47767,18860306,-9999,    9
  7959, 47767,18860307,-9999,    9
  7959, 47767,18860308,-9999,    9
  7959, 47767,18860309,-9999,    9
  7959, 47767,18860310,-9999,    9
  7959, 47767,18860311,-9999,    9
  7959, 47767,18860312,-9999,    9
  7959, 47767,18860313,-9999,    9
  7959, 47767,18860314,-9999,    9
  7959, 47767,18860315,-9999,    9
  7959, 47767,18860316,-9999,    9
  7959, 47767,18860317,-9999,    9
  7959, 47767,18860318,-9999,    9
  7959, 47767,18860319,-9999,    9
  7959, 47767,18860320,-9999,    9
  7959, 47767,18860321,-9999,    9
  7959, 47767,18860322,-9999,    9
  7959, 47767,18860323,-9999,    9
  7959, 47767,18860324,-9999,    9
  7959, 47767,18860325,-9999,    9
  7959, 47767,18860326,-9999,    9
  7959, 47767,18860327,-9999,    9
  7959, 47767,18860328,-9999,    9
  7959, 47767,18860329,-9999,    9
  7959, 47767,18860330,-9999,    9
  7959, 47767,18860331,-9999,    9
  7959, 47767,18860401,-9999,    9
  7959, 47767,18860402,-9999,    9
  7959, 47767,18860403,-9999,    9
  7959, 47767,18860404,-9999,    9
  7959, 47767,18860405,-9999,    9
  7959, 47767,18860406,-9999,    9
  7959, 47767,18860407,-9999,    9
  7959, 47767,18860408,-9999,    9
  7959, 47767,18860409,-9999,    9
  7959, 47767,18860410,-9999,    9
  7959, 47767,18860411,-9999,    9
  7959, 47767,18860412,-9999,    9
  7959, 47767,18860413,-9999,    9
  7959, 47767,18860414,-9999,    9
  7959, 47767,18860415,-9999,    9
  7959, 47767,18860416,-9999,    9
  7959, 47767,18860417,-9999,    9
  7959, 47767,18860418,-9999,    9
  7959, 47767,18860419,-9999,    9
  7959, 47767,18860420,-9999,    9
  7959, 47767,18860421,-9999,    9
  7959, 47767,18860422,-9999,    9
  7959, 47767,18860423,-9999,    9
  7959, 47767,18860424,-9999,    9
  7959, 47767,18860425,-9999,    9
  7959, 47767,18860426,-9999,    9
  7959, 47767,18860427,-9999,    9
  7959, 47767,18860428,-9999,    9
  7959, 47767,18860429,-9999,    9
  7959, 47767,18860430,-9999,    9
  7959, 47767,18860501,-9999,    9
  7959, 47767,18860502,-9999,    9
  7959, 47767,18860503,-9999,    9
  7959, 47767,18860504,-9999,    9
  7959, 47767,18860505,-9999,    9
  7959, 47767,18860506,-9999,    9
  7959, 47767,18860507,-9999,    9
  7959, 47767,18860508,-9999,    9
  7959, 47767,18860509,-9999,    9
  7959, 47767,18860510,-9999,    9
  7959, 47767,18860511,-9999,    9
  7959, 47767,18860512,-9999,    9
  7959, 47767,18860513,-9999,    9
  7959, 47767,18860514,-9999,    9
  7959, 47767,18860515,-9999,    9
  7959, 47767,18860516,-9999,    9
  7959, 47767,18860517,-9999,    9
  7959, 47767,18860518,-9999,    9
  7959, 47767,18860519,-9999,    9
  7959, 47767,18860520,-9999,    9
  7959, 47767,18860521,-9999,    9
  7959, 47767,18860522,-9999,    9
  7959, 47767,18860523,-9999,    9
  7959, 47767,18860524,-9999,    9
  7959, 47767,18860525,-9999,    9
  7959, 47767,18860526,-9999,    9
  7959, 47767,18860527,-9999,    9
  7959, 47767,18860528,-9999,    9
  7959, 47767,18860529,-9999,    9
  7959, 47767,18860530,-9999,    9
  7959, 47767,18860531,-9999,    9
  7959, 47767,18860601,-9999,    9
  7959, 47767,18860602,-9999,    9
  7959, 47767,18860603,-9999,    9
  7959, 47767,18860604,-9999,    9
  7959, 47767,18860605,-9999,    9
  7959, 47767,18860606,-9999,    9
  7959, 47767,18860607,-9999,    9
  7959, 47767,18860608,-9999,    9
  7959, 47767,18860609,-9999,    9
  7959, 47767,18860610,-9999,    9
  7959, 47767,18860611,-9999,    9
  7959, 47767,18860612,-9999,    9
  7959, 47767,18860613,-9999,    9
  7959, 47767,18860614,-9999,    9
  7959, 47767,18860615,-9999,    9
  7959, 47767,18860616,-9999,    9
  7959, 47767,18860617,-9999,    9
  7959, 47767,18860618,-9999,    9
  7959, 47767,18860619,-9999,    9
  7959, 47767,18860620,-9999,    9
  7959, 47767,18860621,-9999,    9
  7959, 47767,18860622,-9999,    9
  7959, 47767,18860623,-9999,    9
  7959, 47767,18860624,-9999,    9
  7959, 47767,18860625,-9999,    9
  7959, 47767,18860626,-9999,    9
  7959, 47767,18860627,-9999,    9
  7959, 47767,18860628,-9999,    9
  7959, 47767,18860629,-9999,    9
  7959, 47767,18860630,-9999,    9
  7959, 47767,18860701,-9999,    9
  7959, 47767,18860702,-9999,    9
  7959, 47767,18860703,-9999,    9
  7959, 47767,18860704,-9999,    9
  7959, 47767,18860705,-9999,    9
  7959, 47767,18860706,-9999,    9
  7959, 47767,18860707,-9999,    9
  7959, 47767,18860708,-9999,    9
  7959, 47767,18860709,-9999,    9
  7959, 47767,18860710,-9999,    9
  7959, 47767,18860711,-9999,    9
  7959, 47767,18860712,-9999,    9
  7959, 47767,18860713,-9999,    9
  7959, 47767,18860714,-9999,    9
  7959, 47767,18860715,-9999,    9
  7959, 47767,18860716,-9999,    9
  7959, 47767,18860717,-9999,    9
  7959, 47767,18860718,-9999,    9
  7959, 47767,18860719,-9999,    9
  7959, 47767,18860720,-9999,    9
  7959, 47767,18860721,-9999,    9
  7959, 47767,18860722,-9999,    9
  7959, 47767,18860723,-9999,    9
  7959, 47767,18860724,-9999,    9
  7959, 47767,18860725,-9999,    9
  7959, 47767,18860726,-9999,    9
  7959, 47767,18860727,-9999,    9
  7959, 47767,18860728,-9999,    9
  7959, 47767,18860729,-9999,    9
  7959, 47767,18860730,-9999,    9
  7959, 47767,18860731,-9999,    9
  7959, 47767,18860801,-9999,    9
  7959, 47767,18860802,-9999,    9
  7959, 47767,18860803,-9999,    9
  7959, 47767,18860804,-9999,    9
  7959, 47767,18860805,-9999,    9
  7959, 47767,18860806,-9999,    9
  7959, 47767,18860807,-9999,    9
  7959, 47767,18860808,-9999,    9
  7959, 47767,18860809,-9999,    9
  7959, 47767,18860810,-9999,    9
  7959, 47767,18860811,-9999,    9
  7959, 47767,18860812,-9999,    9
  7959, 47767,18860813,-9999,    9
  7959, 47767,18860814,-9999,    9
  7959, 47767,18860815,-9999,    9
  7959, 47767,18860816,-9999,    9
  7959, 47767,18860817,-9999,    9
  7959, 47767,18860818,-9999,    9
  7959, 47767,18860819,-9999,    9
  7959, 47767,18860820,-9999,    9
  7959, 47767,18860821,-9999,    9
  7959, 47767,18860822,-9999,    9
  7959, 47767,18860823,-9999,    9
  7959, 47767,18860824,-9999,    9
  7959, 47767,18860825,-9999,    9
  7959, 47767,18860826,-9999,    9
  7959, 47767,18860827,-9999,    9
