EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEROL, NORWAY (STAID: 19498)
Blended and updated with sources:101548 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 19498,101548,20131115,-9999,    9
 19498,101548,20131116,-9999,    9
 19498,101548,20131117,-9999,    9
 19498,101548,20131118,-9999,    9
 19498,101548,20131119,-9999,    9
 19498,101548,20131120,-9999,    9
 19498,101548,20131121,-9999,    9
 19498,101548,20131122,-9999,    9
 19498,101548,20131123,-9999,    9
 19498,101548,20131124,-9999,    9
 19498,101548,20131125,-9999,    9
 19498,101548,20131126,-9999,    9
 19498,101548,20131127,-9999,    9
 19498,101548,20131128,-9999,    9
 19498,101548,20131129,-9999,    9
 19498,101548,20131130,-9999,    9
 19498,101548,20131201,-9999,    9
 19498,101548,20131202,-9999,    9
 19498,101548,20131203,-9999,    9
 19498,101548,20131204,-9999,    9
 19498,101548,20131205,-9999,    9
 19498,101548,20131206,-9999,    9
 19498,101548,20131207,-9999,    9
 19498,101548,20131208,-9999,    9
 19498,101548,20131209,-9999,    9
 19498,101548,20131210,-9999,    9
 19498,101548,20131211,-9999,    9
 19498,101548,20131212,-9999,    9
 19498,101548,20131213,-9999,    9
 19498,101548,20131214,-9999,    9
 19498,101548,20131215,-9999,    9
 19498,101548,20131216,-9999,    9
 19498,101548,20131217,-9999,    9
 19498,101548,20131218,-9999,    9
 19498,101548,20131219,-9999,    9
 19498,101548,20131220,-9999,    9
 19498,101548,20131221,-9999,    9
 19498,101548,20131222,-9999,    9
 19498,101548,20131223,-9999,    9
 19498,101548,20131224,-9999,    9
 19498,101548,20131225,-9999,    9
 19498,101548,20131226,-9999,    9
 19498,101548,20131227,-9999,    9
 19498,101548,20131228,-9999,    9
 19498,101548,20131229,-9999,    9
 19498,101548,20131230,-9999,    9
 19498,101548,20131231,-9999,    9
 19498,101548,20140101,-9999,    9
 19498,101548,20140102,-9999,    9
 19498,101548,20140103,-9999,    9
 19498,101548,20140104,-9999,    9
 19498,101548,20140105,-9999,    9
 19498,101548,20140106,-9999,    9
 19498,101548,20140107,-9999,    9
 19498,101548,20140108,-9999,    9
 19498,101548,20140109,-9999,    9
 19498,101548,20140110,-9999,    9
 19498,101548,20140111,-9999,    9
 19498,101548,20140112,-9999,    9
 19498,101548,20140113,-9999,    9
 19498,101548,20140114,-9999,    9
 19498,101548,20140115,-9999,    9
 19498,101548,20140116,-9999,    9
 19498,101548,20140117,-9999,    9
 19498,101548,20140118,-9999,    9
 19498,101548,20140119,-9999,    9
 19498,101548,20140120,-9999,    9
 19498,101548,20140121,-9999,    9
 19498,101548,20140122,-9999,    9
 19498,101548,20140123,-9999,    9
 19498,101548,20140124,-9999,    9
 19498,101548,20140125,-9999,    9
 19498,101548,20140126,-9999,    9
 19498,101548,20140127,-9999,    9
 19498,101548,20140128,-9999,    9
 19498,101548,20140129,-9999,    9
 19498,101548,20140130,-9999,    9
 19498,101548,20140131,-9999,    9
 19498,101548,20140201,-9999,    9
 19498,101548,20140202,-9999,    9
 19498,101548,20140203,-9999,    9
 19498,101548,20140204,-9999,    9
 19498,101548,20140205,-9999,    9
 19498,101548,20140206,-9999,    9
 19498,101548,20140207,-9999,    9
 19498,101548,20140208,-9999,    9
 19498,101548,20140209,-9999,    9
 19498,101548,20140210,-9999,    9
 19498,101548,20140211,-9999,    9
 19498,101548,20140212,-9999,    9
 19498,101548,20140213,-9999,    9
 19498,101548,20140214,-9999,    9
 19498,101548,20140215,-9999,    9
 19498,101548,20140216,-9999,    9
 19498,101548,20140217,-9999,    9
 19498,101548,20140218,-9999,    9
 19498,101548,20140219,-9999,    9
 19498,101548,20140220,-9999,    9
 19498,101548,20140221,-9999,    9
 19498,101548,20140222,-9999,    9
 19498,101548,20140223,-9999,    9
 19498,101548,20140224,-9999,    9
 19498,101548,20140225,-9999,    9
 19498,101548,20140226,-9999,    9
 19498,101548,20140227,-9999,    9
 19498,101548,20140228,-9999,    9
 19498,101548,20140301,-9999,    9
 19498,101548,20140302,-9999,    9
 19498,101548,20140303,-9999,    9
 19498,101548,20140304,-9999,    9
 19498,101548,20140305,-9999,    9
 19498,101548,20140306,-9999,    9
 19498,101548,20140307,-9999,    9
 19498,101548,20140308,-9999,    9
 19498,101548,20140309,-9999,    9
 19498,101548,20140310,-9999,    9
 19498,101548,20140311,-9999,    9
 19498,101548,20140312,-9999,    9
 19498,101548,20140313,-9999,    9
 19498,101548,20140314,-9999,    9
 19498,101548,20140315,-9999,    9
 19498,101548,20140316,-9999,    9
 19498,101548,20140317,-9999,    9
 19498,101548,20140318,-9999,    9
 19498,101548,20140319,-9999,    9
 19498,101548,20140320,-9999,    9
 19498,101548,20140321,-9999,    9
 19498,101548,20140322,-9999,    9
 19498,101548,20140323,-9999,    9
 19498,101548,20140324,-9999,    9
 19498,101548,20140325,-9999,    9
 19498,101548,20140326,-9999,    9
 19498,101548,20140327,-9999,    9
 19498,101548,20140328,-9999,    9
 19498,101548,20140329,-9999,    9
 19498,101548,20140330,-9999,    9
 19498,101548,20140331,-9999,    9
 19498,101548,20140401,-9999,    9
 19498,101548,20140402,-9999,    9
 19498,101548,20140403,-9999,    9
 19498,101548,20140404,-9999,    9
 19498,101548,20140405,-9999,    9
 19498,101548,20140406,-9999,    9
 19498,101548,20140407,-9999,    9
 19498,101548,20140408,-9999,    9
 19498,101548,20140409,-9999,    9
 19498,101548,20140410,-9999,    9
 19498,101548,20140411,-9999,    9
 19498,101548,20140412,-9999,    9
 19498,101548,20140413,-9999,    9
 19498,101548,20140414,-9999,    9
 19498,101548,20140415,-9999,    9
 19498,101548,20140416,-9999,    9
 19498,101548,20140417,-9999,    9
 19498,101548,20140418,-9999,    9
 19498,101548,20140419,-9999,    9
 19498,101548,20140420,-9999,    9
 19498,101548,20140421,-9999,    9
 19498,101548,20140422,-9999,    9
 19498,101548,20140423,-9999,    9
 19498,101548,20140424,-9999,    9
 19498,101548,20140425,-9999,    9
 19498,101548,20140426,-9999,    9
 19498,101548,20140427,-9999,    9
 19498,101548,20140428,-9999,    9
 19498,101548,20140429,-9999,    9
 19498,101548,20140430,-9999,    9
 19498,101548,20140501,-9999,    9
 19498,101548,20140502,-9999,    9
 19498,101548,20140503,-9999,    9
 19498,101548,20140504,-9999,    9
 19498,101548,20140505,-9999,    9
 19498,101548,20140506,-9999,    9
 19498,101548,20140507,-9999,    9
 19498,101548,20140508,-9999,    9
 19498,101548,20140509,-9999,    9
 19498,101548,20140510,-9999,    9
 19498,101548,20140511,-9999,    9
 19498,101548,20140512,-9999,    9
 19498,101548,20140513,-9999,    9
 19498,101548,20140514,-9999,    9
 19498,101548,20140515,-9999,    9
 19498,101548,20140516,-9999,    9
 19498,101548,20140517,-9999,    9
 19498,101548,20140518,-9999,    9
 19498,101548,20140519,-9999,    9
 19498,101548,20140520,-9999,    9
 19498,101548,20140521,-9999,    9
 19498,101548,20140522,-9999,    9
 19498,101548,20140523,-9999,    9
 19498,101548,20140524,-9999,    9
 19498,101548,20140525,-9999,    9
 19498,101548,20140526,-9999,    9
 19498,101548,20140527,-9999,    9
 19498,101548,20140528,-9999,    9
 19498,101548,20140529,-9999,    9
 19498,101548,20140530,-9999,    9
 19498,101548,20140531,-9999,    9
 19498,101548,20140601,-9999,    9
 19498,101548,20140602,-9999,    9
 19498,101548,20140603,-9999,    9
 19498,101548,20140604,-9999,    9
 19498,101548,20140605,-9999,    9
 19498,101548,20140606,-9999,    9
 19498,101548,20140607,-9999,    9
 19498,101548,20140608,-9999,    9
 19498,101548,20140609,-9999,    9
 19498,101548,20140610,-9999,    9
 19498,101548,20140611,-9999,    9
 19498,101548,20140612,-9999,    9
 19498,101548,20140613,-9999,    9
 19498,101548,20140614,-9999,    9
 19498,101548,20140615,-9999,    9
 19498,101548,20140616,-9999,    9
 19498,101548,20140617,-9999,    9
 19498,101548,20140618,-9999,    9
 19498,101548,20140619,-9999,    9
 19498,101548,20140620,-9999,    9
 19498,101548,20140621,-9999,    9
 19498,101548,20140622,-9999,    9
 19498,101548,20140623,-9999,    9
 19498,101548,20140624,-9999,    9
 19498,101548,20140625,-9999,    9
 19498,101548,20140626,-9999,    9
 19498,101548,20140627,-9999,    9
 19498,101548,20140628,-9999,    9
 19498,101548,20140629,-9999,    9
 19498,101548,20140630,-9999,    9
 19498,101548,20140701,-9999,    9
 19498,101548,20140702,-9999,    9
 19498,101548,20140703,-9999,    9
 19498,101548,20140704,-9999,    9
 19498,101548,20140705,-9999,    9
 19498,101548,20140706,-9999,    9
 19498,101548,20140707,-9999,    9
 19498,101548,20140708,-9999,    9
 19498,101548,20140709,-9999,    9
 19498,101548,20140710,-9999,    9
 19498,101548,20140711,-9999,    9
 19498,101548,20140712,-9999,    9
 19498,101548,20140713,-9999,    9
 19498,101548,20140714,-9999,    9
 19498,101548,20140715,-9999,    9
 19498,101548,20140716,-9999,    9
 19498,101548,20140717,-9999,    9
 19498,101548,20140718,-9999,    9
 19498,101548,20140719,-9999,    9
 19498,101548,20140720,-9999,    9
 19498,101548,20140721,-9999,    9
 19498,101548,20140722,-9999,    9
 19498,101548,20140723,-9999,    9
 19498,101548,20140724,-9999,    9
 19498,101548,20140725,-9999,    9
 19498,101548,20140726,-9999,    9
 19498,101548,20140727,-9999,    9
 19498,101548,20140728,-9999,    9
 19498,101548,20140729,-9999,    9
 19498,101548,20140730,-9999,    9
 19498,101548,20140731,-9999,    9
 19498,101548,20140801,-9999,    9
 19498,101548,20140802,-9999,    9
 19498,101548,20140803,-9999,    9
 19498,101548,20140804,-9999,    9
 19498,101548,20140805,-9999,    9
 19498,101548,20140806,-9999,    9
 19498,101548,20140807,-9999,    9
 19498,101548,20140808,-9999,    9
 19498,101548,20140809,-9999,    9
 19498,101548,20140810,-9999,    9
 19498,101548,20140811,-9999,    9
 19498,101548,20140812,-9999,    9
 19498,101548,20140813,-9999,    9
 19498,101548,20140814,-9999,    9
 19498,101548,20140815,-9999,    9
 19498,101548,20140816,-9999,    9
 19498,101548,20140817,-9999,    9
 19498,101548,20140818,-9999,    9
 19498,101548,20140819,-9999,    9
 19498,101548,20140820,-9999,    9
 19498,101548,20140821,-9999,    9
 19498,101548,20140822,-9999,    9
 19498,101548,20140823,-9999,    9
 19498,101548,20140824,-9999,    9
 19498,101548,20140825,-9999,    9
 19498,101548,20140826,-9999,    9
 19498,101548,20140827,-9999,    9
 19498,101548,20140828,-9999,    9
 19498,101548,20140829,-9999,    9
 19498,101548,20140830,-9999,    9
 19498,101548,20140831,-9999,    9
 19498,101548,20140901,-9999,    9
 19498,101548,20140902,-9999,    9
 19498,101548,20140903,-9999,    9
 19498,101548,20140904,-9999,    9
 19498,101548,20140905,-9999,    9
 19498,101548,20140906,-9999,    9
 19498,101548,20140907,-9999,    9
 19498,101548,20140908,-9999,    9
 19498,101548,20140909,-9999,    9
 19498,101548,20140910,-9999,    9
 19498,101548,20140911,-9999,    9
 19498,101548,20140912,-9999,    9
 19498,101548,20140913,-9999,    9
 19498,101548,20140914,-9999,    9
 19498,101548,20140915,-9999,    9
 19498,101548,20140916,-9999,    9
 19498,101548,20140917,-9999,    9
 19498,101548,20140918,-9999,    9
 19498,101548,20140919,-9999,    9
 19498,101548,20140920,-9999,    9
 19498,101548,20140921,-9999,    9
 19498,101548,20140922,-9999,    9
 19498,101548,20140923,-9999,    9
 19498,101548,20140924,-9999,    9
 19498,101548,20140925,-9999,    9
 19498,101548,20140926,-9999,    9
 19498,101548,20140927,-9999,    9
 19498,101548,20140928,-9999,    9
 19498,101548,20140929,-9999,    9
 19498,101548,20140930,-9999,    9
 19498,101548,20141001,-9999,    9
 19498,101548,20141002,-9999,    9
 19498,101548,20141003,-9999,    9
 19498,101548,20141004,-9999,    9
 19498,101548,20141005,-9999,    9
 19498,101548,20141006,-9999,    9
 19498,101548,20141007,-9999,    9
 19498,101548,20141008,-9999,    9
 19498,101548,20141009,-9999,    9
 19498,101548,20141010,-9999,    9
 19498,101548,20141011,-9999,    9
 19498,101548,20141012,-9999,    9
 19498,101548,20141013,-9999,    9
 19498,101548,20141014,-9999,    9
 19498,101548,20141015,-9999,    9
 19498,101548,20141016,-9999,    9
 19498,101548,20141017,-9999,    9
 19498,101548,20141018,-9999,    9
 19498,101548,20141019,-9999,    9
 19498,101548,20141020,-9999,    9
 19498,101548,20141021,-9999,    9
 19498,101548,20141022,-9999,    9
 19498,101548,20141023,-9999,    9
 19498,101548,20141024,-9999,    9
 19498,101548,20141025,-9999,    9
 19498,101548,20141026,-9999,    9
 19498,101548,20141027,-9999,    9
 19498,101548,20141028,-9999,    9
 19498,101548,20141029,-9999,    9
 19498,101548,20141030,-9999,    9
 19498,101548,20141031,-9999,    9
 19498,101548,20141101,-9999,    9
 19498,101548,20141102,-9999,    9
 19498,101548,20141103,-9999,    9
 19498,101548,20141104,-9999,    9
 19498,101548,20141105,-9999,    9
 19498,101548,20141106,-9999,    9
 19498,101548,20141107,-9999,    9
 19498,101548,20141108,-9999,    9
 19498,101548,20141109,-9999,    9
 19498,101548,20141110,-9999,    9
 19498,101548,20141111,-9999,    9
 19498,101548,20141112,-9999,    9
 19498,101548,20141113,-9999,    9
 19498,101548,20141114,-9999,    9
 19498,101548,20141115,-9999,    9
 19498,101548,20141116,-9999,    9
 19498,101548,20141117,-9999,    9
 19498,101548,20141118,-9999,    9
 19498,101548,20141119,-9999,    9
 19498,101548,20141120,-9999,    9
 19498,101548,20141121,-9999,    9
 19498,101548,20141122,-9999,    9
 19498,101548,20141123,-9999,    9
 19498,101548,20141124,-9999,    9
 19498,101548,20141125,-9999,    9
 19498,101548,20141126,-9999,    9
 19498,101548,20141127,-9999,    9
 19498,101548,20141128,-9999,    9
 19498,101548,20141129,-9999,    9
 19498,101548,20141130,-9999,    9
 19498,101548,20141201,-9999,    9
 19498,101548,20141202,-9999,    9
 19498,101548,20141203,-9999,    9
 19498,101548,20141204,-9999,    9
 19498,101548,20141205,-9999,    9
 19498,101548,20141206,-9999,    9
 19498,101548,20141207,-9999,    9
 19498,101548,20141208,-9999,    9
 19498,101548,20141209,-9999,    9
 19498,101548,20141210,-9999,    9
 19498,101548,20141211,-9999,    9
 19498,101548,20141212,-9999,    9
 19498,101548,20141213,-9999,    9
 19498,101548,20141214,-9999,    9
 19498,101548,20141215,-9999,    9
 19498,101548,20141216,-9999,    9
 19498,101548,20141217,-9999,    9
 19498,101548,20141218,-9999,    9
 19498,101548,20141219,-9999,    9
 19498,101548,20141220,-9999,    9
 19498,101548,20141221,-9999,    9
 19498,101548,20141222,-9999,    9
 19498,101548,20141223,-9999,    9
 19498,101548,20141224,-9999,    9
 19498,101548,20141225,-9999,    9
 19498,101548,20141226,-9999,    9
 19498,101548,20141227,-9999,    9
 19498,101548,20141228,-9999,    9
 19498,101548,20141229,-9999,    9
 19498,101548,20141230,-9999,    9
 19498,101548,20141231,-9999,    9
 19498,101548,20150101,-9999,    9
 19498,101548,20150102,-9999,    9
 19498,101548,20150103,-9999,    9
 19498,101548,20150104,-9999,    9
 19498,101548,20150105,-9999,    9
 19498,101548,20150106,-9999,    9
 19498,101548,20150107,-9999,    9
 19498,101548,20150108,-9999,    9
 19498,101548,20150109,-9999,    9
 19498,101548,20150110,-9999,    9
 19498,101548,20150111,-9999,    9
 19498,101548,20150112,-9999,    9
 19498,101548,20150113,-9999,    9
 19498,101548,20150114,-9999,    9
 19498,101548,20150115,-9999,    9
 19498,101548,20150116,-9999,    9
 19498,101548,20150117,-9999,    9
 19498,101548,20150118,-9999,    9
 19498,101548,20150119,-9999,    9
 19498,101548,20150120,-9999,    9
 19498,101548,20150121,-9999,    9
 19498,101548,20150122,-9999,    9
 19498,101548,20150123,-9999,    9
 19498,101548,20150124,-9999,    9
 19498,101548,20150125,-9999,    9
 19498,101548,20150126,-9999,    9
 19498,101548,20150127,-9999,    9
 19498,101548,20150128,-9999,    9
 19498,101548,20150129,-9999,    9
