EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERGAHOLM, SWEDEN (STAID: 6257)
Blended and updated with sources:38798 38818 38824 38834 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6257, 38818,19450101,    4,    0
  6257, 38818,19450102,   54,    0
  6257, 38818,19450103,   52,    0
  6257, 38818,19450104,    7,    0
  6257, 38818,19450105,    0,    0
  6257, 38818,19450106,    0,    0
  6257, 38818,19450107,   77,    0
  6257, 38818,19450108,   31,    0
  6257, 38818,19450109,   18,    0
  6257, 38818,19450110,    0,    0
  6257, 38818,19450111,   17,    0
  6257, 38818,19450112,    0,    0
  6257, 38818,19450113,    0,    0
  6257, 38818,19450114,    0,    0
  6257, 38818,19450115,    0,    0
  6257, 38818,19450116,   16,    0
  6257, 38818,19450117,    0,    0
  6257, 38818,19450118,   30,    0
  6257, 38818,19450119,  108,    0
  6257, 38818,19450120,    0,    0
  6257, 38818,19450121,    0,    0
  6257, 38818,19450122,   26,    0
  6257, 38818,19450123,   24,    0
  6257, 38818,19450124,   15,    0
  6257, 38818,19450125,   38,    0
  6257, 38818,19450126,    8,    0
  6257, 38818,19450127,    4,    0
  6257, 38818,19450128,    5,    0
  6257, 38818,19450129,   28,    0
  6257, 38818,19450130,   12,    0
  6257, 38818,19450131,   37,    0
  6257, 38818,19450201,   77,    0
  6257, 38818,19450202,   45,    0
  6257, 38818,19450203,  106,    0
  6257, 38818,19450204,    0,    0
  6257, 38818,19450205,    0,    0
  6257, 38818,19450206,   10,    0
  6257, 38818,19450207,   52,    0
  6257, 38818,19450208,    0,    0
  6257, 38818,19450209,    2,    0
  6257, 38818,19450210,    0,    0
  6257, 38818,19450211,   26,    0
  6257, 38818,19450212,    3,    0
  6257, 38818,19450213,   18,    0
  6257, 38818,19450214,   15,    0
  6257, 38818,19450215,    0,    0
  6257, 38818,19450216,    0,    0
  6257, 38818,19450217,    0,    0
  6257, 38818,19450218,   29,    0
  6257, 38818,19450219,   18,    0
  6257, 38818,19450220,    2,    0
  6257, 38818,19450221,    5,    0
  6257, 38818,19450222,    0,    0
  6257, 38818,19450223,    0,    0
  6257, 38818,19450224,    1,    0
  6257, 38818,19450225,    2,    0
  6257, 38818,19450226,    0,    0
  6257, 38818,19450227,    0,    0
  6257, 38818,19450228,    0,    0
  6257, 38818,19450301,    7,    0
  6257, 38818,19450302,    3,    0
  6257, 38818,19450303,    0,    0
  6257, 38818,19450304,    4,    0
  6257, 38818,19450305,   12,    0
  6257, 38818,19450306,    0,    0
  6257, 38818,19450307,    1,    0
  6257, 38818,19450308,    5,    0
  6257, 38818,19450309,   37,    0
  6257, 38818,19450310,    0,    0
  6257, 38818,19450311,    2,    0
  6257, 38818,19450312,    0,    0
  6257, 38818,19450313,    0,    0
  6257, 38818,19450314,    0,    0
  6257, 38818,19450315,    5,    0
  6257, 38818,19450316,    0,    0
  6257, 38818,19450317,    0,    0
  6257, 38818,19450318,    0,    0
  6257, 38818,19450319,    0,    0
  6257, 38818,19450320,  121,    0
  6257, 38818,19450321,    8,    0
  6257, 38818,19450322,    0,    0
  6257, 38818,19450323,    0,    0
  6257, 38818,19450324,    0,    0
  6257, 38818,19450325,    0,    0
  6257, 38818,19450326,    0,    0
  6257, 38818,19450327,    0,    0
  6257, 38818,19450328,    0,    0
  6257, 38818,19450329,    0,    0
  6257, 38818,19450330,    8,    0
  6257, 38818,19450331,   11,    0
  6257, 38818,19450401,    0,    0
  6257, 38818,19450402,   10,    0
  6257, 38818,19450403,    0,    0
  6257, 38818,19450404,    9,    0
  6257, 38818,19450405,    0,    0
  6257, 38818,19450406,    0,    0
  6257, 38818,19450407,    0,    0
  6257, 38818,19450408,    0,    0
  6257, 38818,19450409,    0,    0
  6257, 38818,19450410,    0,    0
  6257, 38818,19450411,    0,    0
  6257, 38818,19450412,    0,    0
  6257, 38818,19450413,    0,    0
  6257, 38818,19450414,    0,    0
  6257, 38818,19450415,    0,    0
  6257, 38818,19450416,    0,    0
  6257, 38818,19450417,   28,    0
  6257, 38818,19450418,   26,    0
  6257, 38818,19450419,    6,    0
  6257, 38818,19450420,   29,    0
  6257, 38818,19450421,    0,    0
  6257, 38818,19450422,   55,    0
  6257, 38818,19450423,   11,    0
  6257, 38818,19450424,    6,    0
  6257, 38818,19450425,    6,    0
  6257, 38818,19450426,    0,    0
  6257, 38818,19450427,    0,    0
  6257, 38818,19450428,  102,    0
  6257, 38818,19450429,  143,    0
  6257, 38818,19450430,   21,    0
  6257, 38818,19450501,    8,    0
  6257, 38818,19450502,    0,    0
  6257, 38818,19450503,  121,    0
  6257, 38818,19450504,   82,    0
  6257, 38818,19450505,    0,    0
  6257, 38818,19450506,    0,    0
