EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRYCKSBO_D, SWEDEN (STAID: 6456)
Blended and updated with sources:39422 39444 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  6456, 39422,18600101,   74,    0
  6456, 39422,18600102,  101,    0
  6456, 39422,18600103,   26,    0
  6456, 39422,18600104,    0,    0
  6456, 39422,18600105,  129,    0
  6456, 39422,18600106,    0,    0
  6456, 39422,18600107,    0,    0
  6456, 39422,18600108,    0,    0
  6456, 39422,18600109,    0,    0
  6456, 39422,18600110,    0,    0
  6456, 39422,18600111,    0,    0
  6456, 39422,18600112,    0,    0
  6456, 39422,18600113,    0,    0
  6456, 39422,18600114,    0,    0
  6456, 39422,18600115,    4,    0
  6456, 39422,18600116,    3,    0
  6456, 39422,18600117,   81,    0
  6456, 39422,18600118,    0,    0
  6456, 39422,18600119,    0,    0
  6456, 39422,18600120,    0,    0
  6456, 39422,18600121,   59,    0
  6456, 39422,18600122,    0,    0
  6456, 39422,18600123,   80,    0
  6456, 39422,18600124,   10,    0
  6456, 39422,18600125,    0,    0
  6456, 39422,18600126,   61,    0
  6456, 39422,18600127,   29,    0
  6456, 39422,18600128,  119,    0
  6456, 39422,18600129,  119,    0
  6456, 39422,18600130,    0,    0
  6456, 39422,18600131,   89,    0
  6456, 39422,18600201,    0,    0
  6456, 39422,18600202,    0,    0
  6456, 39422,18600203,    0,    0
  6456, 39422,18600204,    0,    0
  6456, 39422,18600205,    0,    0
  6456, 39422,18600206,    0,    0
  6456, 39422,18600207,    9,    0
  6456, 39422,18600208,    6,    0
  6456, 39422,18600209,    1,    0
  6456, 39422,18600210,    0,    0
  6456, 39422,18600211,    0,    0
  6456, 39422,18600212,    3,    0
  6456, 39422,18600213,    0,    0
  6456, 39422,18600214,    1,    0
  6456, 39422,18600215,    0,    0
  6456, 39422,18600216,    1,    0
  6456, 39422,18600217,    0,    0
  6456, 39422,18600218,    0,    0
  6456, 39422,18600219,   12,    0
  6456, 39422,18600220,   87,    0
  6456, 39422,18600221,    0,    0
  6456, 39422,18600222,    0,    0
  6456, 39422,18600223,    0,    0
  6456, 39422,18600224,    0,    0
  6456, 39422,18600225,    0,    0
  6456, 39422,18600226,    0,    0
  6456, 39422,18600227,    0,    0
  6456, 39422,18600228,   15,    0
  6456, 39422,18600229,    0,    0
  6456, 39422,18600301,    0,    0
  6456, 39422,18600302,    4,    0
  6456, 39422,18600303,    0,    0
  6456, 39422,18600304,    1,    0
  6456, 39422,18600305,    0,    0
  6456, 39422,18600306,    0,    0
  6456, 39422,18600307,    8,    0
  6456, 39422,18600308,    3,    0
  6456, 39422,18600309,    0,    0
  6456, 39422,18600310,   20,    0
  6456, 39422,18600311,    0,    0
  6456, 39422,18600312,    0,    0
  6456, 39422,18600313,    0,    0
  6456, 39422,18600314,    0,    0
  6456, 39422,18600315,    8,    0
  6456, 39422,18600316,    0,    0
  6456, 39422,18600317,    0,    0
  6456, 39422,18600318,   42,    0
  6456, 39422,18600319,    0,    0
  6456, 39422,18600320,   14,    0
  6456, 39422,18600321,    0,    0
  6456, 39422,18600322,   93,    0
  6456, 39422,18600323,    0,    0
  6456, 39422,18600324,    0,    0
  6456, 39422,18600325,    0,    0
  6456, 39422,18600326,   68,    0
  6456, 39422,18600327,    0,    0
  6456, 39422,18600328,    0,    0
  6456, 39422,18600329,   10,    0
  6456, 39422,18600330,    0,    0
  6456, 39422,18600331,    0,    0
  6456, 39422,18600401,    0,    0
  6456, 39422,18600402,   32,    0
  6456, 39422,18600403,   49,    0
  6456, 39422,18600404,   12,    0
  6456, 39422,18600405,    0,    0
  6456, 39422,18600406,    0,    0
  6456, 39422,18600407,    0,    0
  6456, 39422,18600408,    0,    0
  6456, 39422,18600409,    8,    0
  6456, 39422,18600410,    0,    0
  6456, 39422,18600411,    0,    0
  6456, 39422,18600412,    0,    0
  6456, 39422,18600413,    0,    0
  6456, 39422,18600414,    0,    0
  6456, 39422,18600415,    0,    0
  6456, 39422,18600416,    0,    0
  6456, 39422,18600417,    3,    0
  6456, 39422,18600418,    0,    0
  6456, 39422,18600419,  143,    0
  6456, 39422,18600420,   82,    0
  6456, 39422,18600421,   27,    0
  6456, 39422,18600422,   30,    0
  6456, 39422,18600423,  118,    0
  6456, 39422,18600424,   58,    0
  6456, 39422,18600425,   66,    0
  6456, 39422,18600426,    6,    0
  6456, 39422,18600427,    0,    0
  6456, 39422,18600428,    0,    0
  6456, 39422,18600429,    0,    0
  6456, 39422,18600430,    0,    0
  6456, 39422,18600501,    0,    0
  6456, 39422,18600502,    0,    0
  6456, 39422,18600503,    0,    0
  6456, 39422,18600504,    0,    0
  6456, 39422,18600505,    7,    0
  6456, 39422,18600506,    0,    0
  6456, 39422,18600507,    0,    0
  6456, 39422,18600508,    0,    0
  6456, 39422,18600509,    0,    0
  6456, 39422,18600510,    8,    0
  6456, 39422,18600511,    0,    0
  6456, 39422,18600512,   38,    0
  6456, 39422,18600513,   26,    0
  6456, 39422,18600514,   59,    0
  6456, 39422,18600515,    0,    0
  6456, 39422,18600516,    0,    0
  6456, 39422,18600517,    0,    0
  6456, 39422,18600518,    0,    0
  6456, 39422,18600519,    0,    0
  6456, 39422,18600520,    0,    0
  6456, 39422,18600521,  101,    0
  6456, 39422,18600522,    0,    0
  6456, 39422,18600523,  125,    0
  6456, 39422,18600524,    0,    0
  6456, 39422,18600525,   62,    0
  6456, 39422,18600526,    0,    0
  6456, 39422,18600527,    3,    0
  6456, 39422,18600528,   88,    0
  6456, 39422,18600529,    0,    0
  6456, 39422,18600530,    0,    0
  6456, 39422,18600531,   36,    0
  6456, 39422,18600601,   27,    0
  6456, 39422,18600602,    0,    0
  6456, 39422,18600603,    0,    0
  6456, 39422,18600604,    4,    0
  6456, 39422,18600605,    0,    0
  6456, 39422,18600606,    0,    0
  6456, 39422,18600607,    0,    0
  6456, 39422,18600608,    0,    0
  6456, 39422,18600609,   42,    0
  6456, 39422,18600610,    3,    0
  6456, 39422,18600611,   76,    0
  6456, 39422,18600612,   24,    0
  6456, 39422,18600613,    0,    0
  6456, 39422,18600614,    0,    0
  6456, 39422,18600615,   15,    0
  6456, 39422,18600616,  161,    0
  6456, 39422,18600617,    0,    0
  6456, 39422,18600618,   10,    0
  6456, 39422,18600619,    0,    0
  6456, 39422,18600620,   31,    0
  6456, 39422,18600621,   71,    0
  6456, 39422,18600622,   19,    0
  6456, 39422,18600623,    0,    0
  6456, 39422,18600624,    0,    0
  6456, 39422,18600625,    0,    0
  6456, 39422,18600626,   15,    0
  6456, 39422,18600627,    0,    0
  6456, 39422,18600628,    0,    0
  6456, 39422,18600629,    0,    0
  6456, 39422,18600630,  129,    0
  6456, 39422,18600701,    0,    0
  6456, 39422,18600702,    0,    0
  6456, 39422,18600703,  110,    0
  6456, 39422,18600704,  174,    0
  6456, 39422,18600705,   14,    0
  6456, 39422,18600706,   59,    0
  6456, 39422,18600707,   10,    0
  6456, 39422,18600708,    0,    0
  6456, 39422,18600709,    0,    0
  6456, 39422,18600710,    0,    0
  6456, 39422,18600711,    0,    0
  6456, 39422,18600712,    0,    0
  6456, 39422,18600713,    0,    0
  6456, 39422,18600714,    0,    0
  6456, 39422,18600715,    0,    0
  6456, 39422,18600716,    0,    0
  6456, 39422,18600717,    0,    0
  6456, 39422,18600718,    0,    0
  6456, 39422,18600719,    0,    0
  6456, 39422,18600720,   18,    0
  6456, 39422,18600721,    0,    0
  6456, 39422,18600722,    0,    0
  6456, 39422,18600723,    6,    0
  6456, 39422,18600724,   16,    0
  6456, 39422,18600725,    0,    0
  6456, 39422,18600726,    0,    0
  6456, 39422,18600727,    0,    0
  6456, 39422,18600728,    0,    0
  6456, 39422,18600729,    0,    0
  6456, 39422,18600730,    0,    0
  6456, 39422,18600731,    0,    0
  6456, 39422,18600801,   12,    0
  6456, 39422,18600802,    3,    0
  6456, 39422,18600803,    0,    0
  6456, 39422,18600804,   30,    0
  6456, 39422,18600805,  102,    0
  6456, 39422,18600806,    4,    0
  6456, 39422,18600807,   33,    0
  6456, 39422,18600808,    0,    0
  6456, 39422,18600809,    0,    0
  6456, 39422,18600810,   69,    0
  6456, 39422,18600811,    0,    0
  6456, 39422,18600812,   24,    0
  6456, 39422,18600813,    1,    0
  6456, 39422,18600814,  111,    0
  6456, 39422,18600815,    6,    0
  6456, 39422,18600816,    0,    0
  6456, 39422,18600817,    0,    0
  6456, 39422,18600818,   59,    0
  6456, 39422,18600819,    3,    0
  6456, 39422,18600820,   28,    0
  6456, 39422,18600821,    0,    0
  6456, 39422,18600822,    0,    0
  6456, 39422,18600823,    0,    0
  6456, 39422,18600824,   35,    0
  6456, 39422,18600825,   70,    0
  6456, 39422,18600826,   80,    0
  6456, 39422,18600827,   29,    0
