EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LODOLONE, ITALY (STAID: 17661)
Blended and updated with sources:95731 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 17661, 95731,20051201,-9999,    9
 17661, 95731,20051202,-9999,    9
 17661, 95731,20051203,-9999,    9
 17661, 95731,20051204,-9999,    9
 17661, 95731,20051205,-9999,    9
 17661, 95731,20051206,-9999,    9
 17661, 95731,20051207,-9999,    9
 17661, 95731,20051208,-9999,    9
 17661, 95731,20051209,-9999,    9
 17661, 95731,20051210,-9999,    9
 17661, 95731,20051211,-9999,    9
 17661, 95731,20051212,-9999,    9
 17661, 95731,20051213,-9999,    9
 17661, 95731,20051214,-9999,    9
 17661, 95731,20051215,-9999,    9
 17661, 95731,20051216,-9999,    9
 17661, 95731,20051217,-9999,    9
 17661, 95731,20051218,-9999,    9
 17661, 95731,20051219,-9999,    9
 17661, 95731,20051220,-9999,    9
 17661, 95731,20051221,-9999,    9
 17661, 95731,20051222,-9999,    9
 17661, 95731,20051223,-9999,    9
 17661, 95731,20051224,-9999,    9
 17661, 95731,20051225,-9999,    9
 17661, 95731,20051226,-9999,    9
 17661, 95731,20051227,-9999,    9
 17661, 95731,20051228,-9999,    9
 17661, 95731,20051229,-9999,    9
 17661, 95731,20051230,-9999,    9
 17661, 95731,20051231,    2,    0
 17661, 95731,20060101,   36,    0
 17661, 95731,20060102,    2,    0
 17661, 95731,20060103,    0,    0
 17661, 95731,20060104,    0,    0
 17661, 95731,20060105,    0,    0
 17661, 95731,20060106,    0,    0
 17661, 95731,20060107,    0,    0
 17661, 95731,20060108,   30,    0
 17661, 95731,20060109,    0,    0
 17661, 95731,20060110,    0,    0
 17661, 95731,20060111,    0,    0
 17661, 95731,20060112,    0,    0
 17661, 95731,20060113,    0,    0
 17661, 95731,20060114,    0,    0
 17661, 95731,20060115,    0,    0
 17661, 95731,20060116,    0,    0
 17661, 95731,20060117,    4,    0
 17661, 95731,20060118,    2,    0
 17661, 95731,20060119,    0,    0
 17661, 95731,20060120,    0,    0
 17661, 95731,20060121,    0,    0
 17661, 95731,20060122,    0,    0
 17661, 95731,20060123,    0,    0
 17661, 95731,20060124,    0,    0
 17661, 95731,20060125,    0,    0
 17661, 95731,20060126,    0,    0
 17661, 95731,20060127,    2,    0
 17661, 95731,20060128,    0,    0
 17661, 95731,20060129,   12,    0
 17661, 95731,20060130,   22,    0
 17661, 95731,20060131,    0,    0
 17661, 95731,20060201,    0,    0
 17661, 95731,20060202,    0,    0
 17661, 95731,20060203,    0,    0
 17661, 95731,20060204,    0,    0
 17661, 95731,20060205,    0,    0
 17661, 95731,20060206,    0,    0
 17661, 95731,20060207,    0,    0
 17661, 95731,20060208,    0,    0
 17661, 95731,20060209,    0,    0
 17661, 95731,20060210,    0,    0
 17661, 95731,20060211,    0,    0
 17661, 95731,20060212,    0,    0
 17661, 95731,20060213,    0,    0
 17661, 95731,20060214,    0,    0
 17661, 95731,20060215,    0,    0
 17661, 95731,20060216,    0,    0
 17661, 95731,20060217,    0,    0
 17661, 95731,20060218,    0,    0
 17661, 95731,20060219,    0,    0
 17661, 95731,20060220,    6,    0
 17661, 95731,20060221,   32,    0
 17661, 95731,20060222,  118,    0
 17661, 95731,20060223,   50,    0
 17661, 95731,20060224,  196,    0
 17661, 95731,20060225,   26,    0
 17661, 95731,20060226,    0,    0
 17661, 95731,20060227,   28,    0
 17661, 95731,20060228,    0,    0
 17661, 95731,20060301,    0,    0
 17661, 95731,20060302,    4,    0
 17661, 95731,20060303,    0,    0
 17661, 95731,20060304,    0,    0
 17661, 95731,20060305,   82,    0
 17661, 95731,20060306,   36,    0
 17661, 95731,20060307,    0,    0
 17661, 95731,20060308,    0,    0
 17661, 95731,20060309,    0,    0
 17661, 95731,20060310,  138,    0
 17661, 95731,20060311,   24,    0
